State Name ,District Name,Urban Local Bodies (Municipality/Munipal Corparation/Nac,Block,Rural Local Bodies (Gp/Ward),Total_IGNDPS
Odisha ,Angul,NA,Talacher,Santhapada,2.16
Odisha ,Angul,NA,Talacher,Tentulei,11.24
Odisha ,Angul,NA,Talacher,Total,339.29
Odisha ,Angul,Talcher Urban,NA,Ward-1,4.28
Odisha ,Angul,Talcher Urban,NA,Ward-10,1.43
Odisha ,Angul,Talcher Urban,NA,Ward-12,2.58
Odisha ,Angul,Talcher Urban,NA,Ward-16,1.43
Odisha ,Angul,Talcher Urban,NA,Ward-17,2.03
Odisha ,Angul,Talcher Urban,NA,Ward-18,1.43
Odisha ,Angul,Talcher Urban,NA,Ward-19,5.71
Odisha ,Angul,Talcher Urban,NA,Ward-2,2.86
Odisha ,Angul,Talcher Urban,NA,Ward-20,2.95
Odisha ,Angul,Talcher Urban,NA,Ward-5,3.46
Odisha ,Angul,Talcher Urban,NA,Ward-6,2.86
Odisha ,Angul,Talcher Urban,NA,Ward-7,4.28
Odisha ,Angul,Talcher Urban,NA,Ward-8,9.23
Odisha ,Angul,Talcher Urban,NA,Ward-9,0.6
Odisha ,Angul,Talcher Urban,NA,Total,45.13
Odisha ,Angul,NA,Total,NA,925.13
Odisha ,Baleshwar,NA,Bahanaga,Bahanaga,1.06
Odisha ,Baleshwar,NA,Bahanaga,Patharpentha,0.35
Odisha ,Baleshwar,NA,Bahanaga,Dandaharipur,0.16
Odisha ,Baleshwar,NA,Bahanaga,Saud,3.14
Odisha ,Baleshwar,NA,Bahanaga,Chakjagannathpur,0.97
Odisha ,Baleshwar,NA,Bahanaga,Khantapada,1.13
Odisha ,Baleshwar,NA,Bahanaga,Kasabajaypur,0.91
Odisha ,Baleshwar,NA,Bahanaga,Panapana,0.32
Odisha ,Baleshwar,NA,Bahanaga,Gopalpur,7.32
Odisha ,Baleshwar,NA,Bahanaga,Kalyani,2.34
Odisha ,Baleshwar,NA,Bahanaga,Baripada,2.32
Odisha ,Baleshwar,NA,Bahanaga,Aruhabad,0.48
Odisha ,Baleshwar,NA,Bahanaga,Bishnupur,0.16
Odisha ,Baleshwar,NA,Bahanaga,Sahaspura,0.16
Odisha ,Baleshwar,NA,Bahanaga,Anji,0.07
Odisha ,Baleshwar,NA,Bahanaga,Avana,0.48
Odisha ,Baleshwar,NA,Bahanaga,Kharasahapur,2.39
Odisha ,Baleshwar,NA,Bahanaga,Chittal,0.16
Odisha ,Baleshwar,NA,Bahanaga,Kochiakoili,1.34
Odisha ,Baleshwar,NA,Bahanaga,Kuruda,0.04
Odisha ,Baleshwar,NA,Bahanaga,Talakurunia,0.48
Odisha ,Baleshwar,NA,Bahanaga,Pandasuni,3.31
Odisha ,Baleshwar,NA,Bahanaga,Odasal,1.13
Odisha ,Baleshwar,NA,Bahanaga,Nuapur,3.35
Odisha ,Baleshwar,NA,Bahanaga,Total,33.57
Odisha ,Baleshwar,Balasore Urban,NA,Ward-1,1.1
Odisha ,Baleshwar,Balasore Urban,NA,Ward-10,0.22
Odisha ,Baleshwar,Balasore Urban,NA,Ward-11,0.65
Odisha ,Baleshwar,Balasore Urban,NA,Ward-12,0.87
Odisha ,Baleshwar,Balasore Urban,NA,Ward-13,0.22
Odisha ,Baleshwar,Balasore Urban,NA,Ward-14,0.65
Odisha ,Baleshwar,Balasore Urban,NA,Ward-15,0.87
Odisha ,Baleshwar,Balasore Urban,NA,Ward-16,0.22
Odisha ,Baleshwar,Balasore Urban,NA,Ward-18,0.65
Odisha ,Baleshwar,Balasore Urban,NA,Ward-2,0.43
Odisha ,Baleshwar,Balasore Urban,NA,Ward-20,0.43
Odisha ,Baleshwar,Balasore Urban,NA,Ward-21,0.43
Odisha ,Baleshwar,Balasore Urban,NA,Ward-22,0.43
Odisha ,Baleshwar,Balasore Urban,NA,Ward-23,0.22
Odisha ,Baleshwar,Balasore Urban,NA,Ward-24,1.52
Odisha ,Baleshwar,Balasore Urban,NA,Ward-25,0.65
Odisha ,Baleshwar,Balasore Urban,NA,Ward-27,1.3
Odisha ,Baleshwar,Balasore Urban,NA,Ward-29,0.65
Odisha ,Baleshwar,Balasore Urban,NA,Ward-3,0.22
Odisha ,Baleshwar,Balasore Urban,NA,Ward-30,0.43
Odisha ,Baleshwar,Balasore Urban,NA,Ward-4,0.43
Odisha ,Baleshwar,Balasore Urban,NA,Ward-5,1.3
Odisha ,Baleshwar,Balasore Urban,NA,Ward-6,0.22
Odisha ,Baleshwar,Balasore Urban,NA,Ward-7,1.52
Odisha ,Baleshwar,Balasore Urban,NA,Ward-8,0.87
Odisha ,Baleshwar,Balasore Urban,NA,Total,16.5
Odisha ,Baleshwar,NA,Baleshwar,Jayadeba Kasaba,2.27
Odisha ,Baleshwar,NA,Baleshwar,Buanl,3.4
Odisha ,Baleshwar,NA,Baleshwar,Parikhi,15.25
Odisha ,Baleshwar,NA,Baleshwar,Hidigan,9.14
Odisha ,Baleshwar,NA,Baleshwar,Genguti,10.21
Odisha ,Baleshwar,NA,Baleshwar,Odangi,13.48
Odisha ,Baleshwar,NA,Baleshwar,Ranasahi,11.72
Odisha ,Baleshwar,NA,Baleshwar,Kasipada,5.67
Odisha ,Baleshwar,NA,Baleshwar,Sartha,26.08
Odisha ,Baleshwar,NA,Baleshwar,Kuradiha,7.94
Odisha ,Baleshwar,NA,Baleshwar,Chhanua,9.07
Odisha ,Baleshwar,NA,Baleshwar,Bahabalpur,13.61
Odisha ,Baleshwar,NA,Baleshwar,Srirampur,13.61
