s_state,s_district,s_block,Number of Gram Panchayats,s_gp,Openning Balance for FY 2018-19,Total Fund Available for the FY 2018-19,Total Expenditure on Wages for FY 2018-19,Total Expenditure on Materials for FY 2018-19,Total Expenditure on Tax for FY 2018-19,Total Expenditure on Admin Expenses  for FY 2018-19,Grand Total Expenditure for FY 2018-19,Total Unspent Balance for FY 2018-19,Total Payment Due for FY 2018-19,s_id,updated_district_name,updated_block_name,updated_gp_name
odisha,bolangir,bangomunda,12,dedgaon,0.26,54.41,41.08,12.99,0,0,54.07,0.34,0.55,57,bolangir,bangomunda,dedgaon
odisha,bolangir,bangomunda,13,gandharabandh,0,28.7,25.58,9.03,0,0,34.6,-5.89,0.36,58,bolangir,bangomunda,gandharabandh
odisha,bolangir,bangomunda,14,gandharla,0.5,61.45,44.87,15.94,0,0,60.82,0.63,0.23,59,bolangir,bangomunda,gandharla
odisha,bolangir,bangomunda,15,jamkhunta,4.1,70.09,49.23,16.71,0,0,65.94,4.15,0.28,60,bolangir,bangomunda,jamkhunta
odisha,bolangir,bangomunda,16,jhalap,0.58,90.95,56.61,33.71,0,0,90.32,0.63,0.21,61,bolangir,bangomunda,jhalap
odisha,bolangir,bangomunda,17,jharial,1.67,18.76,12.58,4.51,0,0,17.09,1.67,0.36,62,bolangir,bangomunda,jharial
odisha,bolangir,bangomunda,18,jurabandh,0.83,33.92,24.27,8.73,0,0,33,0.92,0.4,63,bolangir,bangomunda,jurabandh
odisha,bolangir,bangomunda,19,kansil,0,17.85,17.72,0,0,0,17.72,0.13,0.18,64,bolangir,bangomunda,kansil
odisha,bolangir,bangomunda,20,kapilbhata,-0.48,58.14,38.93,19.56,0,0,58.49,-0.35,0.53,65,bolangir,bangomunda,kapilbhata
odisha,bolangir,bangomunda,21,khaira,1,30.7,24.64,4.92,0.15,0,29.7,1,0.21,66,bolangir,bangomunda,khaira
odisha,bolangir,bangomunda,22,kundabutula,6.69,32.94,16.69,9.51,0,0,26.2,6.74,0.07,67,bolangir,bangomunda,kundabutula
