s_state,s_district,s_block,Number of Gram Panchayats,s_gp,Openning Balance for FY 2018-19,Total Fund Available for the FY 2018-19,Total Expenditure on Wages for FY 2018-19,Total Expenditure on Materials for FY 2018-19,Total Expenditure on Tax for FY 2018-19,Total Expenditure on Admin Expenses  for FY 2018-19,Grand Total Expenditure for FY 2018-19,Total Unspent Balance for FY 2018-19,Total Payment Due for FY 2018-19,s_id,updated_district_name,updated_block_name,updated_gp_name
odisha,sundargarh,bisra,3,bhalulata,0,32.73,34.97,0.4,0,0,35.36,-2.63,0.26,3725,sundargarh,bisra,bhalulata
odisha,sundargarh,bisra,4,bisra,0,23.61,19.51,7.83,0,0,27.34,-3.74,0.28,3726,sundargarh,bisra,bisra
odisha,sundargarh,bisra,5,dareikela,0,30.93,28.49,4.03,0,0,32.52,-1.59,0.49,3727,sundargarh,bisra,dareikela
odisha,sundargarh,bisra,6,jagada,NA,NA,NA,NA,NA,NA,NA,NA,NA,3728,sundargarh,bisra,jagada
odisha,sundargarh,bisra,7,jamsera,0,21.9,22.54,1.89,0,0,24.43,-2.53,0.55,3729,sundargarh,bisra,jamsera
odisha,sundargarh,bisra,8,jaroikela,0,15.01,15.84,0,0,0,15.83,-0.82,0.13,3730,sundargarh,bisra,jaroikela
odisha,sundargarh,bisra,9,jhirpani,0,7,7.06,0,0,0,7.06,-0.06,0.02,3731,sundargarh,bisra,jhirpani
odisha,sundargarh,bisra,10,kapatmunda,0,40.03,39.47,1.8,0,0,41.27,-1.24,1.21,3732,sundargarh,bisra,kapatmunda
odisha,sundargarh,bisra,11,manko,0,41.7,38.83,4.67,0,0,43.5,-1.81,0.31,3733,sundargarh,bisra,manko
odisha,sundargarh,bisra,12,santoshpur,0,25.1,28.41,1.54,0,0,29.95,-4.84,0.36,3734,sundargarh,bisra,santoshpur
odisha,sundargarh,bisra,13,theteiposh,0,12.96,11.93,1.7,0,0,13.63,-0.68,0.15,3735,sundargarh,bisra,theteiposh
odisha,sundargarh,bisra,14,tulasikani,0,37.97,37.78,0.19,0,0,37.98,0,0.22,3736,sundargarh,bisra,tulasikani
odisha,sundargarh,bisra,15,udusu,0,54.45,51.88,3.98,0,0,55.86,-1.41,1.32,3737,sundargarh,bisra,udusu
odisha,sundargarh,bonaigarh,1,badgugua,0,12.46,9.87,2.62,0,0,12.5,-0.04,0.06,3738,sundargarh,bonaigarh,badgugua
odisha,sundargarh,bonaigarh,2,baneikala,0,8.24,8.24,0,0,0,8.24,0,0.03,3739,sundargarh,bonaigarh,baneikala
odisha,sundargarh,bonaigarh,3,bhalupani,0,67.4,49.97,17.35,0,0,67.31,0.08,1.66,3740,sundargarh,bonaigarh,bhalupani
odisha,sundargarh,bonaigarh,4,bonaigarh,0,13.4,13.1,0.31,0,0,13.4,0,0,3741,sundargarh,bonaigarh,bonaigarh
odisha,sundargarh,bonaigarh,5,gobindpur,0,16.43,14.61,1.8,0,0,16.41,0.02,0.06,3742,sundargarh,bonaigarh,gobindpur
odisha,sundargarh,bonaigarh,6,jakeikala,0,22.27,21.12,1.14,0,0,22.26,0.01,0,3743,sundargarh,bonaigarh,jakeikala
odisha,sundargarh,bonaigarh,7,jhirdapali,0,28.54,25.19,3.33,0,0,28.52,0.02,0.39,3744,sundargarh,bonaigarh,jhirdapali
odisha,sundargarh,bonaigarh,8,kasada,0,46.09,44.99,0.98,0,0,45.98,0.12,0.13,3745,sundargarh,bonaigarh,kasada
odisha,sundargarh,bonaigarh,9,kedrikala,0,18.61,18.61,0,0,0,18.61,0,0.25,3746,sundargarh,bonaigarh,kedrikala
odisha,sundargarh,bonaigarh,10,kenavata,0,12.65,12.65,0,0,0,12.65,0,0.01,3747,sundargarh,bonaigarh,kenavata
odisha,sundargarh,bonaigarh,11,pithachor,0,18.65,17.79,0.86,0,0,18.65,0,0.01,3748,sundargarh,bonaigarh,pithachor
odisha,sundargarh,bonaigarh,12,ruguda,0,26.84,25.88,0.87,0,0,26.75,0.09,0.03,3749,sundargarh,bonaigarh,ruguda
odisha,sundargarh,bonaigarh,13,s.balang,0,29.13,26.55,2.41,0,0,28.96,0.17,0.25,3750,sundargarh,bonaigarh,s.balang
odisha,sundargarh,gurundia,1,banaikela,0,71.05,59.62,11.43,0,0,71.05,0,0.35,3751,sundargarh,gurundia,banaikela
odisha,sundargarh,gurundia,2,banki,0,15.57,13.23,2.34,0,0,15.57,0,0.06,3752,sundargarh,gurundia,banki
odisha,sundargarh,gurundia,3,bhaludunguri,0,44.1,28.83,15.14,0.12,0,44.1,0,0.23,3753,sundargarh,gurundia,bhaludunguri
odisha,sundargarh,gurundia,4,chandipose,0,20.55,20.22,0.06,0,0,20.29,0.27,0.34,3754,sundargarh,gurundia,chandipose
odisha,sundargarh,gurundia,5,gurundia,0,25.74,21.66,4.08,0,0,25.74,0,0.05,3755,sundargarh,gurundia,gurundia
odisha,sundargarh,gurundia,6,jarda,0,24.14,20.94,3.15,0,0,24.1,0.04,0.19,3756,sundargarh,gurundia,jarda
odisha,sundargarh,gurundia,7,kucheita,0,29.68,27.07,2.6,0.01,0,29.68,0,0.03,3757,sundargarh,gurundia,kucheita
odisha,sundargarh,gurundia,8,kundheidiha,0,49.45,46.91,2.46,0.01,0,49.38,0.07,0.32,3758,sundargarh,gurundia,kundheidiha
odisha,sundargarh,gurundia,9,narendra,0,45.26,43.87,1.35,0.04,0,45.25,0.01,0.35,3759,sundargarh,gurundia,narendra
odisha,sundargarh,gurundia,10,pankadihi,0,48.81,38.98,9.69,0.06,0,48.73,0.08,0.22,3760,sundargarh,gurundia,pankadihi
odisha,sundargarh,gurundia,11,sole,0,21.49,16.76,4.48,0,0,21.26,0.23,0.31,3761,sundargarh,gurundia,sole
odisha,sundargarh,gurundia,12,tamda,0,26.93,22.93,3.98,0.01,0,26.92,0.01,0.27,3762,sundargarh,gurundia,tamda
odisha,sundargarh,gurundia,13,tamparkela,0,53.53,50.33,3.2,0,0,53.53,0,0.06,3763,sundargarh,gurundia,tamparkela
odisha,sundargarh,hemgiri,1,ankel bira,0,53.39,59.87,1.24,0,0,61.12,-7.72,0.11,3764,sundargarh,hemgiri,ankel bira
odisha,sundargarh,hemgiri,2,balinga,0,11.57,11.04,0.82,0,0,11.86,-0.28,0.08,3765,sundargarh,hemgiri,balinga
odisha,sundargarh,hemgiri,3,duduka,0,40.31,35.82,6.21,0,0,42.03,-1.72,0,3766,sundargarh,hemgiri,duduka
odisha,sundargarh,hemgiri,4,durubaga,0,10.39,16.08,3.38,0,0,19.45,-9.06,0.17,3767,sundargarh,hemgiri,durubaga
odisha,sundargarh,hemgiri,5,gad tumulia,0,35.37,33.47,2.09,0,0,35.56,-0.19,0.15,3768,sundargarh,hemgiri,gad tumulia
odisha,sundargarh,hemgiri,6,garjan jore,0,29.2,49.14,1.38,0,0,50.52,-21.32,0.26,3769,sundargarh,hemgiri,garjan jore
odisha,sundargarh,hemgiri,7,gopal pur,0,9.1,12.13,4.32,0,0,16.44,-7.34,0,3770,sundargarh,hemgiri,gopal pur
odisha,sundargarh,hemgiri,8,hemgir,0,15.2,34.47,1.02,0,0,35.49,-20.28,0.53,3771,sundargarh,hemgiri,hemgir
odisha,sundargarh,hemgiri,9,jharpalam,0,13.58,18.04,2.94,0,0,20.99,-7.41,0.23,3772,sundargarh,hemgiri,jharpalam
odisha,sundargarh,hemgiri,10,julum bahal,0,44.48,52.03,6.83,0,0,58.86,-14.37,0.21,3773,sundargarh,hemgiri,julum bahal
odisha,sundargarh,hemgiri,11,kanak tura,0,23.16,38.83,1.95,0,0,40.77,-17.62,0.15,3774,sundargarh,hemgiri,kanak tura
odisha,sundargarh,hemgiri,12,kanika,0,22.88,44.12,2.76,0,0,46.88,-24,0.17,3775,sundargarh,hemgiri,kanika
odisha,sundargarh,hemgiri,13,kendudihi,0,8.12,18.89,0,0,0,18.89,-10.76,0.07,3776,sundargarh,hemgiri,kendudihi
odisha,sundargarh,hemgiri,14,kuchedega,0,27.79,34.6,2.78,0,0,37.38,-9.59,0.14,3777,sundargarh,hemgiri,kuchedega
odisha,sundargarh,hemgiri,15,laikera,0,40.27,42.48,2.33,0,0,44.8,-4.53,0.27,3778,sundargarh,hemgiri,laikera
odisha,sundargarh,hemgiri,16,mundharkhet,0,13.62,25.43,0.55,0,0,25.99,-12.37,0.2,3779,sundargarh,hemgiri,mundharkhet
odisha,sundargarh,hemgiri,17,sanghumunda,0,1.62,7.77,0.74,0.05,0,8.56,-6.94,0,3780,sundargarh,hemgiri,sanghumunda
odisha,sundargarh,hemgiri,18,sumura,0,14.89,17.88,3.01,0,0,20.89,-5.99,0.13,3781,sundargarh,hemgiri,sumura
odisha,sundargarh,hemgiri,19,taparia,0,14.73,25.74,0.63,0,0,26.37,-11.64,0.13,3782,sundargarh,hemgiri,taparia
odisha,sundargarh,koira,1,bimalagarh,0,22.15,22.17,0,0,0,22.17,-0.02,0.19,3783,sundargarh,koira,bimalagarh
odisha,sundargarh,koira,2,chordhara,0,17.43,17.08,0.29,0,0,17.36,0.06,0.16,3784,sundargarh,koira,chordhara
odisha,sundargarh,koira,3,dengula,0,10.22,10.22,0,0,0,10.22,0,0.01,3785,sundargarh,koira,dengula
odisha,sundargarh,koira,4,gopna,0,20.32,20.31,0,0,0,20.31,0.01,0.05,3786,sundargarh,koira,gopna
odisha,sundargarh,koira,5,jamudihi,0,23.5,20.41,2.78,0,0,23.19,0.31,0.19,3787,sundargarh,koira,jamudihi
odisha,sundargarh,koira,6,k.balang,0,39.43,37.53,1.86,0,0,39.4,0.03,0.54,3788,sundargarh,koira,k.balang
odisha,sundargarh,koira,7,kalta,0,9.98,4.87,5.11,0,0,9.98,0,0,3789,sundargarh,koira,kalta
odisha,sundargarh,koira,8,kasira,0,5.75,5.74,0,0,0,5.74,0.01,0.17,3790,sundargarh,koira,kasira
odisha,sundargarh,koira,9,koira,0,9.94,9.93,0,0,0,9.93,0.01,0.35,3791,sundargarh,koira,koira
odisha,sundargarh,koira,10,malda,0,18.17,13.17,4.75,0.24,0,18.16,0,0.06,3792,sundargarh,koira,malda
odisha,sundargarh,koira,11,patamunda,0,29.33,24.84,4.29,0.19,0,29.33,0,0.19,3793,sundargarh,koira,patamunda
odisha,sundargarh,koira,12,relhatu,0,14.37,14.18,0,0,0,14.17,0.2,0.22,3794,sundargarh,koira,relhatu
odisha,sundargarh,koira,13,sanroxy,0,5.39,6.1,14.35,0.1,0,20.54,-15.16,0.01,3795,sundargarh,koira,sanroxy
odisha,sundargarh,koira,14,sayamba,0,16.13,15.35,0.65,0,0,16,0.13,0.16,3796,sundargarh,koira,sayamba
odisha,sundargarh,koira,15,tensa,0,1.03,1.03,0,0,0,1.03,0,0.11,3797,sundargarh,koira,tensa
odisha,sundargarh,kuarmunda,1,andali,0,38.44,42.65,2.59,0.32,0,45.56,-7.13,0.78,3798,sundargarh,kuarmunda,andali
odisha,sundargarh,kuarmunda,2,andhari,0,23.04,26.49,2.04,0,0,28.53,-5.49,0.21,3799,sundargarh,kuarmunda,andhari
odisha,sundargarh,kuarmunda,3,dalki,0,33.13,26.19,6.65,0.54,0,33.38,-0.25,0.1,3800,sundargarh,kuarmunda,dalki
odisha,sundargarh,kuarmunda,4,dumerjore,0,36.88,28.59,8.69,0.41,0,37.69,-0.8,0.4,3801,sundargarh,kuarmunda,dumerjore
odisha,sundargarh,kuarmunda,5,jalangbira,0,8.51,30.44,2.72,0,0,33.17,-24.66,0.32,3802,sundargarh,kuarmunda,jalangbira
odisha,sundargarh,kuarmunda,6,jaydega,0,13.88,12.87,1.15,0,0,14.02,-0.15,0.22,3803,sundargarh,kuarmunda,jaydega
odisha,sundargarh,kuarmunda,7,jharbeda,0,33.1,25.45,11.72,0.36,0,37.52,-4.43,0.28,3804,sundargarh,kuarmunda,jharbeda
odisha,sundargarh,kuarmunda,8,jhunmur,0,32.6,18.19,14.46,0,0,32.64,-0.05,0.64,3805,sundargarh,kuarmunda,jhunmur
odisha,sundargarh,kuarmunda,9,kacharu,0,28.82,27.84,5.34,0.27,0,33.45,-4.63,1.69,3806,sundargarh,kuarmunda,kacharu
odisha,sundargarh,kuarmunda,10,kadobahal,0,24,24.49,0.79,0,0,25.28,-1.27,0.45,3807,sundargarh,kuarmunda,kadobahal
odisha,sundargarh,kuarmunda,11,kalosihiria,0,29.05,28.56,0.48,0,0,29.04,0.02,0.16,3808,sundargarh,kuarmunda,kalosihiria
odisha,sundargarh,kuarmunda,12,khukhundu bahal,0,21.38,23.8,0.62,0,0,24.42,-3.04,0.2,3809,sundargarh,kuarmunda,khukhundu bahal
odisha,sundargarh,kuarmunda,13,kuarmunda,0,24.95,23.39,2.68,0.07,0,26.14,-1.19,0.29,3810,sundargarh,kuarmunda,kuarmunda
odisha,sundargarh,kuarmunda,14,kumjharia,0,39.27,39.47,0,0,0,39.46,-0.2,0.23,3811,sundargarh,kuarmunda,kumjharia
odisha,sundargarh,kuarmunda,15,majhapada,0,110.86,79.84,31.3,0,0,111.14,-0.28,0.44,3812,sundargarh,kuarmunda,majhapada
odisha,sundargarh,kuarmunda,16,padam pur,0,23.29,25.65,3.31,0.42,0,29.39,-6.1,4.34,3813,sundargarh,kuarmunda,padam pur
odisha,sundargarh,kuarmunda,17,pratappur,0,20.21,12.77,7.79,0,0,20.55,-0.34,0.38,3814,sundargarh,kuarmunda,pratappur
odisha,sundargarh,kuarmunda,18,putrikhaman,0,35.33,32.36,2.89,0.13,0,35.37,-0.04,0.58,3815,sundargarh,kuarmunda,putrikhaman
odisha,sundargarh,kuarmunda,19,raibaga,0,47.42,39.67,8.24,0,0,47.91,-0.49,0.38,3816,sundargarh,kuarmunda,raibaga
odisha,sundargarh,kuarmunda,20,salanga bahal,0,42.21,40.56,2.13,0,0,42.69,-0.48,0.14,3817,sundargarh,kuarmunda,salanga bahal
odisha,sundargarh,kutra,1,ambhagova,0,53.55,55.61,33.72,0.04,0,89.36,-35.81,0.67,3818,sundargarh,kutra,ambhagova
odisha,sundargarh,kutra,2,biringa toli,0,12.37,11.83,0.56,0.03,0,12.42,-0.06,0.08,3819,sundargarh,kutra,biringa toli
odisha,sundargarh,kutra,3,gangajal,0,21.96,16.85,7.22,0,0,24.07,-2.11,0.16,3820,sundargarh,kutra,gangajal
odisha,sundargarh,kutra,4,gyanapali,0,15.22,11.54,9.09,0,0,20.63,-5.41,0.29,3821,sundargarh,kutra,gyanapali
odisha,sundargarh,kutra,5,jharbeda,0,6.48,22.23,0.66,0,0,22.9,-16.41,0.47,3822,sundargarh,kutra,jharbeda
odisha,sundargarh,kutra,6,kandeimunda,0,39.33,32.71,9.96,0.01,0,42.68,-3.35,1.45,3823,sundargarh,kutra,kandeimunda
odisha,sundargarh,kutra,7,katang,0,2.83,14.5,1.68,0,0,16.18,-13.35,0.27,3824,sundargarh,kutra,katang
odisha,sundargarh,kutra,8,khatkur bahal,0,34.47,26.63,17.96,0,0,44.6,-10.12,0.16,3825,sundargarh,kutra,khatkur bahal
odisha,sundargarh,kutra,9,kiringsira,0,37.28,27.34,11.8,0,0,39.14,-1.87,0.38,3826,sundargarh,kutra,kiringsira
odisha,sundargarh,kutra,10,kutra,0,31.86,25.66,14.27,0,0,39.93,-8.07,0.24,3827,sundargarh,kutra,kutra
odisha,sundargarh,kutra,11,nuagaon,0,25.83,24.81,1.31,0.02,0,26.13,-0.3,0.11,3828,sundargarh,kutra,nuagaon
odisha,sundargarh,kutra,12,panchara,0,34.5,33.33,3.28,0,0,36.61,-2.11,0.14,3829,sundargarh,kutra,panchara
odisha,sundargarh,kutra,13,purkapali,0,33.42,33.81,0,0,0,33.8,-0.39,0.3,3830,sundargarh,kutra,purkapali
odisha,sundargarh,kutra,14,rajabasa,0,31.13,27.82,3.17,0,0,30.99,0.14,0.27,3831,sundargarh,kutra,rajabasa
odisha,sundargarh,kutra,15,tarkera,0,21.72,19.35,2.57,0,0,21.93,-0.21,0.16,3832,sundargarh,kutra,tarkera
odisha,sundargarh,kutra,16,tunmura,0,15.49,19.64,12.95,0.01,0,32.6,-17.11,0.81,3833,sundargarh,kutra,tunmura
odisha,sundargarh,lahunipara,1,bada purunapani,0,33.27,29.27,4.04,0,0,33.32,-0.04,0.22,3834,sundargarh,lahunipara,bada purunapani
odisha,sundargarh,lahunipara,2,bhutuda,0,18.13,15.37,3.12,0,0,18.49,-0.36,0.04,3835,sundargarh,lahunipara,bhutuda
odisha,sundargarh,lahunipara,3,daleisara,0,101.72,62.03,39.96,0.1,0,102.09,-0.37,0.65,3836,sundargarh,lahunipara,daleisara
odisha,sundargarh,lahunipara,4,darjing,0,34.17,31.71,2.48,0,0,34.2,-0.02,0.2,3837,sundargarh,lahunipara,darjing
odisha,sundargarh,lahunipara,5,fuljhar,0,26.45,26.81,2.43,0,0,29.23,-2.78,0.22,3838,sundargarh,lahunipara,fuljhar
odisha,sundargarh,lahunipara,6,haladikudar,0,29.5,22.31,7.33,0,0,29.65,-0.15,0.23,3839,sundargarh,lahunipara,haladikudar
odisha,sundargarh,lahunipara,7,kaleiposh,0,32.86,33.27,0.56,0,0,33.83,-0.97,0.01,3840,sundargarh,lahunipara,kaleiposh
odisha,sundargarh,lahunipara,8,khuntgaon,0,41.65,39.17,2.16,0,0,41.33,0.32,0.36,3841,sundargarh,lahunipara,khuntgaon
odisha,sundargarh,lahunipara,9,kudheikala,0,31.85,32.32,3.98,0,0,36.31,-4.46,0.37,3842,sundargarh,lahunipara,kudheikala
odisha,sundargarh,lahunipara,10,kuliposh,0,17.29,20.17,0.16,0,0,20.33,-3.04,0.07,3843,sundargarh,lahunipara,kuliposh
odisha,sundargarh,lahunipara,11,kurda,0,30.99,25.79,14.08,0,0,39.87,-8.88,0.37,3844,sundargarh,lahunipara,kurda
odisha,sundargarh,lahunipara,12,lahunipara,0,22.88,23.27,1.93,0,0,25.19,-2.32,0,3845,sundargarh,lahunipara,lahunipara
odisha,sundargarh,lahunipara,13,mahulpada,0,31.39,19.22,13.08,0.02,0,32.31,-0.92,0.04,3846,sundargarh,lahunipara,mahulpada
odisha,sundargarh,lahunipara,14,rajamunda,0,21.19,19.98,0.22,0,0,20.2,0.99,0.24,3847,sundargarh,lahunipara,rajamunda
odisha,sundargarh,lahunipara,15,sankhaposh,0,70.18,62.56,8.7,0,0,71.26,-1.08,0.2,3848,sundargarh,lahunipara,sankhaposh
odisha,sundargarh,lahunipara,16,sashykala,0,17.65,14.83,4.77,0.01,0,19.6,-1.95,0.08,3849,sundargarh,lahunipara,sashykala
odisha,sundargarh,lahunipara,17,tal bahali,0,58.81,45.19,14.02,0,0,59.22,-0.4,0.32,3850,sundargarh,lahunipara,tal bahali
odisha,sundargarh,lathikata,1,baddalki,0,43.78,43.67,0,0,0,43.67,0.11,0.34,3851,sundargarh,lathikata,baddalki
odisha,sundargarh,lathikata,2,balanda,0,20.04,15.08,4.95,0,0,20.03,0.01,0.01,3852,sundargarh,lathikata,balanda
odisha,sundargarh,lathikata,3,balani,0,9.74,10.54,11.64,0.13,0,22.31,-12.57,0.05,3853,sundargarh,lathikata,balani
odisha,sundargarh,lathikata,4,birida,0,28.59,29.7,2.02,0.23,0,31.95,-3.37,0.19,3854,sundargarh,lathikata,birida
odisha,sundargarh,lathikata,5,birkera,0,56.16,45.87,14.64,0.5,0,61.02,-4.85,0.27,3855,sundargarh,lathikata,birkera
odisha,sundargarh,lathikata,6,chikatmati,0,21.88,20.31,1.52,0.02,0,21.85,0.03,0.07,3856,sundargarh,lathikata,chikatmati
odisha,sundargarh,lathikata,7,garjan,0,35.14,23.59,11.51,0,0,35.1,0.04,0.2,3857,sundargarh,lathikata,garjan
odisha,sundargarh,lathikata,8,hatibandha,0,13.86,12.55,1.31,0,0,13.86,0,0.06,3858,sundargarh,lathikata,hatibandha
odisha,sundargarh,lathikata,9,jadakudar,0,38.41,38.35,0,0,0,38.35,0.06,0.62,3859,sundargarh,lathikata,jadakudar
odisha,sundargarh,lathikata,10,jalda,0,33.62,15.17,23.33,0.19,0,38.69,-5.07,0.08,3860,sundargarh,lathikata,jalda
odisha,sundargarh,lathikata,11,kalunga a,0,0.6,0.6,0,0,0,0.6,0,0,3861,sundargarh,lathikata,kalunga a
odisha,sundargarh,lathikata,12,kalunga b,0,0.84,0.84,0,0,0,0.84,0,0,3862,sundargarh,lathikata,kalunga b
odisha,sundargarh,lathikata,13,lathikata,0,14.69,13.92,1.51,0,0,15.43,-0.74,0.28,3863,sundargarh,lathikata,lathikata
odisha,sundargarh,lathikata,14,lungei,0,5.19,7.57,11.7,0.13,0,19.39,-14.21,0.17,3864,sundargarh,lathikata,lungei
odisha,sundargarh,lathikata,15,mundajore,0,26.17,20.95,5.09,0,0,26.04,0.12,0.13,3865,sundargarh,lathikata,mundajore
odisha,sundargarh,lathikata,16,ramjodi,0,66.22,36.95,32.12,0.05,0,69.12,-2.9,0.27,3866,sundargarh,lathikata,ramjodi
odisha,sundargarh,lathikata,17,suidihi,0,21.48,17.58,3.88,0,0,21.46,0.02,0.22,3867,sundargarh,lathikata,suidihi
odisha,sundargarh,lathikata,18,tainsar,0,28.06,24.74,5.08,0.4,0,30.22,-2.16,0.16,3868,sundargarh,lathikata,tainsar
odisha,sundargarh,lathikata,19,jhartarang,NA,NA,NA,NA,NA,NA,NA,NA,NA,3869,sundargarh,lathikata,jhartarang
odisha,sundargarh,lephripara,1,alapaka,0,51.34,47.7,6.31,0.07,0,54.08,-2.74,0.53,3870,sundargarh,lephripara,alapaka
odisha,sundargarh,lephripara,2,badbanga,0,164.8,83.92,80.93,0.86,0,165.72,-0.92,1.14,3871,sundargarh,lephripara,badbanga
odisha,sundargarh,lephripara,3,chhaten pali,0,40.51,22.94,21.07,0.21,0,44.22,-3.71,0.28,3872,sundargarh,lephripara,chhaten pali
odisha,sundargarh,lephripara,4,darlipali,0,40.74,33.25,10.07,0.13,0,43.46,-2.72,0.76,3873,sundargarh,lephripara,darlipali
odisha,sundargarh,lephripara,5,dumabahal,0,53.9,38.53,20.79,0.37,0,59.69,-5.79,0.46,3874,sundargarh,lephripara,dumabahal
odisha,sundargarh,lephripara,6,giring kela,0,110.65,71.55,39.11,0.42,0,111.08,-0.43,2.93,3875,sundargarh,lephripara,giring kela
odisha,sundargarh,lephripara,7,gundia dihi,0,49.32,35.06,18.81,0.19,0,54.06,-4.74,0.38,3876,sundargarh,lephripara,gundia dihi
odisha,sundargarh,lephripara,8,hurmei,0,40.05,32.04,15.74,0.16,0,47.94,-7.9,0.78,3877,sundargarh,lephripara,hurmei
odisha,sundargarh,lephripara,9,j raibaga,0,42.16,34.23,17.26,0.2,0,51.69,-9.53,1.15,3878,sundargarh,lephripara,j raibaga
odisha,sundargarh,lephripara,10,jhurimal,0,64.06,35.36,28.25,1.91,0,65.54,-1.47,0.01,3879,sundargarh,lephripara,jhurimal
odisha,sundargarh,lephripara,11,kulabira,0,52.78,36.75,16.64,0.3,0,53.69,-0.91,0.24,3880,sundargarh,lephripara,kulabira
odisha,sundargarh,lephripara,12,lephripara,0,47.04,33.74,14.02,0.85,0,48.61,-1.57,0.75,3881,sundargarh,lephripara,lephripara
odisha,sundargarh,lephripara,13,masabira,0,87.42,63,24.04,0.6,0,87.64,-0.22,1.38,3882,sundargarh,lephripara,masabira
odisha,sundargarh,lephripara,14,raidihi,0,76.25,42.1,40.52,0.48,0,83.11,-6.86,0.63,3883,sundargarh,lephripara,raidihi
odisha,sundargarh,lephripara,15,raj bahal,0,20.87,16.93,13.14,0.38,0,30.44,-9.57,0.21,3884,sundargarh,lephripara,raj bahal
odisha,sundargarh,lephripara,16,sarafgarh,0,39.3,36.67,3.53,0.03,0,40.22,-0.92,1.01,3885,sundargarh,lephripara,sarafgarh
odisha,sundargarh,lephripara,17,sargipali,0,46.04,32.19,13.79,0.57,0,46.55,-0.51,0.24,3886,sundargarh,lephripara,sargipali
odisha,sundargarh,nuagaon,1,ankurpali,0,41.9,35.64,8.07,0,0,43.71,-1.81,1.43,3887,sundargarh,nuagaon,ankurpali
odisha,sundargarh,nuagaon,2,badajojoda,0,80.3,46.33,35.1,0,0,81.43,-1.13,0.7,3888,sundargarh,nuagaon,badajojoda
odisha,sundargarh,nuagaon,3,bagdega,0,37.97,19.42,18.49,0,0,37.92,0.06,0.79,3889,sundargarh,nuagaon,bagdega
odisha,sundargarh,nuagaon,4,barilapatta,0,109.59,49.63,60.27,0,0,109.9,-0.31,1.82,3890,sundargarh,nuagaon,barilapatta
odisha,sundargarh,nuagaon,5,chitapedi,0,59,46.38,13.87,0,0,60.25,-1.25,1.01,3891,sundargarh,nuagaon,chitapedi
odisha,sundargarh,nuagaon,6,hatibari,0,20.39,17.9,3.25,0,0,21.15,-0.76,0.3,3892,sundargarh,nuagaon,hatibari
odisha,sundargarh,nuagaon,7,jahari toli,0,32.72,23.49,10.71,0,0,34.2,-1.48,0.45,3893,sundargarh,nuagaon,jahari toli
odisha,sundargarh,nuagaon,8,kandarkela,0,40.31,38.41,2.46,0,0,40.87,-0.56,0.59,3894,sundargarh,nuagaon,kandarkela
odisha,sundargarh,nuagaon,9,kardega,0,20.67,18.65,2.68,0,0,21.34,-0.67,0.28,3895,sundargarh,nuagaon,kardega
odisha,sundargarh,nuagaon,10,karkatnasa,0,26.34,20.1,6.49,0,0,26.58,-0.24,0.22,3896,sundargarh,nuagaon,karkatnasa
odisha,sundargarh,nuagaon,11,khuntagaon,0,36.94,25.4,15.82,0,0,41.22,-4.28,0.47,3897,sundargarh,nuagaon,khuntagaon
odisha,sundargarh,nuagaon,12,kokerema,0,46.25,36.24,10.02,0,0,46.27,-0.02,0.85,3898,sundargarh,nuagaon,kokerema
odisha,sundargarh,nuagaon,13,limida,0,52.44,34.52,18.37,0,0,52.9,-0.46,0.26,3899,sundargarh,nuagaon,limida
odisha,sundargarh,nuagaon,14,lukum beda,0,54.52,33.79,21.09,0,0,54.87,-0.35,0.07,3900,sundargarh,nuagaon,lukum beda
odisha,sundargarh,nuagaon,15,menmena,0,35.83,28.06,8.88,0,0,36.95,-1.12,0.25,3901,sundargarh,nuagaon,menmena
odisha,sundargarh,nuagaon,16,nuagaon,0,67.68,49.52,18.28,0,0,67.8,-0.12,0.56,3902,sundargarh,nuagaon,nuagaon
odisha,sundargarh,nuagaon,17,purunapani,0,22.3,21.4,1.34,0,0,22.74,-0.44,0.38,3903,sundargarh,nuagaon,purunapani
odisha,sundargarh,nuagaon,18,sorda,0,74.05,57.18,19.54,0,0,76.71,-2.66,1.61,3904,sundargarh,nuagaon,sorda
odisha,sundargarh,nuagaon,19,teterkela,0,24.98,21.76,3.54,0,0,25.3,-0.32,0.41,3905,sundargarh,nuagaon,teterkela
odisha,sundargarh,nuagaon,20,urmei,0,44.16,32.05,12.78,0,0,44.82,-0.67,0.18,3906,sundargarh,nuagaon,urmei
odisha,sundargarh,rajgangpur,1,alanda,0,37.05,33.21,4.64,0,0,37.86,-0.82,0.43,3907,sundargarh,rajgangpur,alanda
odisha,sundargarh,rajgangpur,2,buchukpara,0,80.89,74.79,6.11,0,0,80.89,0,0.35,3908,sundargarh,rajgangpur,buchukpara
odisha,sundargarh,rajgangpur,3,budham,0,100,73.31,26.43,0.23,0,99.97,0.04,0.35,3909,sundargarh,rajgangpur,budham
odisha,sundargarh,rajgangpur,4,chhatam,0,47.26,30.06,17.1,0.11,0,47.27,-0.01,0.04,3910,sundargarh,rajgangpur,chhatam
odisha,sundargarh,rajgangpur,5,chungimati,0,34.71,29.71,5,0,0,34.71,0,0.13,3911,sundargarh,rajgangpur,chungimati
odisha,sundargarh,rajgangpur,6,dhelua,0,44.39,43.64,0.69,0,0,44.33,0.07,0.29,3912,sundargarh,rajgangpur,dhelua
