Name of The State ,Name of The District,Name of The Block,Number of Gram Panchayats,Name  of Gram Panchayats,Opening Balance For FY 2019-20,Total Fund Available For  FY 2019-20,Total Expenditure on Wages For FY 2019-20,Total Expenditure On Materials For FY 2019-20,Total Tax Paid For FY 2019-20,Total Admin Expenses  For FY 2019-20,Grand Total Expenditure For FY 2019-20,Total Unspent Balance For FY 2019-20,Total Payment Due For FY 2019-20
Odisha,Bolangir,Belpara,7,Darlipali,0.000,39.210,25.930,13.290,0.000,0.000,39.210,0.000,0.170
Odisha,Bolangir,Belpara,8,Dhumabhata,1.140,66.390,65.250,0.000,0.000,0.000,65.250,1.130,3.170
Odisha,Bolangir,Belpara,9,Gambhari,0.710,45.710,43.520,1.460,0.010,0.000,45.000,0.710,0.760
Odisha,Bolangir,Belpara,10,Ghagurli,2.950,79.080,64.990,10.200,0.000,0.000,75.190,3.890,4.910
Odisha,Bolangir,Belpara,11,Juba,1.410,35.090,33.640,0.000,0.000,0.000,33.640,1.450,0.300
Odisha,Bolangir,Belpara,12,Kandhenjhula,0.460,24.950,24.500,0.000,0.000,0.000,24.500,0.460,0.040
Odisha,Bolangir,Belpara,13,Kanut,-0.800,55.320,56.120,0.000,0.000,0.000,56.120,-0.800,0.210
Odisha,Bolangir,Belpara,14,Kapani,0.210,20.750,20.550,0.000,0.000,0.000,20.550,0.210,0.530
Odisha,Bolangir,Belpara,15,Madhyapur,1.920,22.490,20.600,0.000,0.000,0.000,20.600,1.890,0.470
Odisha,Bolangir,Belpara,16,Mandal,0.290,57.180,45.720,11.180,0.000,0.000,56.910,0.270,0.310
Odisha,Bolangir,Belpara,17,Nunhad,1.840,39.500,32.200,5.430,0.000,0.000,37.630,1.870,0.130
Odisha,Bolangir,Belpara,18,Pandrijore,2.550,49.410,46.860,0.000,0.000,0.000,46.860,2.550,0.220
Odisha,Bolangir,Belpara,19,Parlimal,1.220,24.220,11.550,11.440,0.000,0.000,23.000,1.220,0.110
Odisha,Bolangir,Belpara,20,Salendi,-0.040,21.470,21.510,0.000,0.000,0.000,21.510,-0.040,1.960
Odisha,Bolangir,Belpara,21,Sarmuhan,4.860,46.350,41.490,0.000,0.000,0.000,41.490,4.860,1.410
Odisha,Bolangir,Belpara,22,Sihini,3.940,16.850,12.740,0.000,0.000,0.000,12.740,4.100,2.440
Odisha,Bolangir,Belpara,23,Sulekela,-0.140,56.080,56.220,0.000,0.000,0.000,56.220,-0.140,0.280
Odisha,Bolangir,Belpara,24,Tentelmunda,-2.410,42.980,41.820,3.560,0.000,0.000,45.380,-2.400,0.480
Odisha,Bolangir,Belpara,,Total,23.320,956.840,861.930,70.150,0.010,0.000,932.090,24.750,21.830
Odisha,Bolangir,Belpara,,Block Level Line Deptt.,-75.860,-75.860,54.610,42.170,0.000,0.440,97.220,-173.080,4.570
Odisha,Bolangir,Belpara,,Po,-15.330,63.680,0.000,NA,NA,40.350,40.350,23.330,NA
Odisha,Bolangir,Belpara,,Grand Total,-67.860,944.650,916.540,112.320,0.010,40.790,1069.660,-125.000,26.400
Odisha,Bolangir,Deogaon,1,Arjunpur,-0.270,13.900,14.160,0.000,0.000,0.000,14.160,-0.260,0.090
Odisha,Bolangir,Deogaon,2,Badbahal,-0.070,62.920,32.490,30.510,0.000,0.000,62.990,-0.070,0.000
Odisha,Bolangir,Deogaon,3,Badbandh,1.660,31.160,24.930,4.540,0.000,0.000,29.480,1.680,0.020
Odisha,Bolangir,Deogaon,4,Bandhpara,0.970,25.490,22.820,1.710,0.000,0.000,24.520,0.970,0.540
Odisha,Bolangir,Deogaon,5,Brahmanijore,9.200,22.820,13.620,0.000,0.000,0.000,13.620,9.200,0.000
Odisha,Bolangir,Deogaon,6,Deogaon,0.030,25.680,21.700,3.960,0.000,0.000,25.650,0.030,0.190
Odisha,Bolangir,Deogaon,7,Desandh,-5.840,33.610,39.450,0.000,0.000,0.000,39.450,-5.840,0.240
Odisha,Bolangir,Deogaon,8,Dhandamal,3.940,31.950,28.010,0.000,0.000,0.000,28.000,3.940,0.290
Odisha,Bolangir,Deogaon,9,Dumerpita,0.000,14.940,14.910,0.000,0.000,0.000,14.910,0.030,0.190
Odisha,Bolangir,Deogaon,10,Gaibahal,0.730,33.720,31.880,1.100,0.000,0.000,32.990,0.730,0.100
Odisha,Bolangir,Deogaon,11,Gourgoth,-0.650,44.850,38.940,6.300,0.000,0.000,45.230,-0.380,0.240
Odisha,Bolangir,Deogaon,12,Gudkhapala,0.000,23.880,17.800,6.080,0.000,0.000,23.880,0.000,0.140
Odisha,Bolangir,Deogaon,13,Hatisara,0.000,11.710,11.710,0.000,0.000,0.000,11.710,0.000,0.330
Odisha,Bolangir,Deogaon,14,Jarasingha,1.860,24.550,16.500,6.200,0.000,0.000,22.690,1.860,0.010
Odisha,Bolangir,Deogaon,15,Kultapada,1.400,42.020,35.150,5.470,0.000,0.000,40.620,1.400,0.000
Odisha,Bolangir,Deogaon,16,Kuturla,9.820,32.820,22.960,0.040,0.000,0.000,23.000,9.820,0.130
Odisha,Bolangir,Deogaon,17,Landapathar,5.600,32.080,26.490,0.000,0.000,0.000,26.490,5.600,0.120
Odisha,Bolangir,Deogaon,18,Mahalei,7.190,39.870,29.560,3.120,0.000,0.000,32.680,7.190,0.040
Odisha,Bolangir,Deogaon,19,Makundpur,0.490,53.630,42.760,10.380,0.000,0.000,53.140,0.490,0.000
Odisha,Bolangir,Deogaon,20,Ramchandrapur,-0.270,27.280,24.630,2.920,0.000,0.000,27.550,-0.270,0.700
Odisha,Bolangir,Deogaon,21,Salepali,1.810,20.320,18.510,0.000,0.000,0.000,18.510,1.810,1.370
Odisha,Bolangir,Deogaon,22,Sarasmal,1.140,38.570,36.360,1.060,0.000,0.000,37.420,1.140,0.080
Odisha,Bolangir,Deogaon,23,Sikuan,-0.960,18.550,12.360,7.160,0.000,0.000,19.520,-0.960,0.020
Odisha,Bolangir,Deogaon,24,Singhanmunda,3.590,16.790,13.110,0.000,0.000,0.000,13.110,3.680,0.540
Odisha,Bolangir,Deogaon,25,Sirabahal(Udar),-12.070,7.580,19.540,0.100,0.000,0.000,19.640,-12.060,0.120
Odisha,Bolangir,Deogaon,26,Uperjhar,0.260,16.670,12.830,3.580,0.000,0.000,16.410,0.260,0.000
Odisha,Bolangir,Deogaon,,Total,29.570,747.380,623.150,94.220,0.000,0.000,717.370,30.000,5.480
Odisha,Bolangir,Deogaon,,Block Level Line Deptt.,-259.870,-259.870,45.380,109.960,0.580,0.400,156.330,-416.200,0.330
Odisha,Bolangir,Deogaon,,Po,96.040,236.070,0.000,NA,NA,42.360,42.360,193.710,NA
Odisha,Bolangir,Deogaon,,Grand Total,-134.260,723.580,668.530,204.180,0.580,42.760,916.060,-192.490,5.810
Odisha,Bolangir,Gudvella,1,Badangomunda,0.310,29.180,24.870,3.980,0.000,0.000,28.860,0.320,0.080
Odisha,Bolangir,Gudvella,2,Birmunda,0.390,44.380,34.590,9.260,0.130,0.000,43.980,0.390,0.230
Odisha,Bolangir,Gudvella,3,Chinched,-0.760,27.830,23.890,4.660,0.040,0.000,28.580,-0.760,0.220
Odisha,Bolangir,Gudvella,4,Deulgudi,0.000,58.470,38.440,19.810,0.220,0.000,58.470,0.000,0.180
Odisha,Bolangir,Gudvella,5,Gambhariguda,0.000,56.610,45.370,11.120,0.100,0.000,56.600,0.010,0.050
Odisha,Bolangir,Gudvella,6,Ghuna,1.400,52.270,42.050,8.550,0.080,0.000,50.690,1.580,0.100
Odisha,Bolangir,Gudvella,7,Gudvela,0.040,29.540,22.490,6.910,0.020,0.000,29.420,0.120,0.040
Odisha,Bolangir,Gudvella,8,Jamut,1.170,44.320,22.150,20.960,0.040,0.000,43.150,1.170,2.550
Odisha,Bolangir,Gudvella,9,Madhekela,-0.500,42.860,40.550,2.810,0.000,0.000,43.360,-0.500,0.090
Odisha,Bolangir,Gudvella,10,Nuapada,-0.170,70.690,61.980,8.700,0.000,0.000,70.670,0.020,0.370
Odisha,Bolangir,Gudvella,11,Rusuda,0.630,85.550,66.310,18.480,0.200,0.000,84.990,0.560,0.390
Odisha,Bolangir,Gudvella,12,Samara,-0.030,15.420,13.620,1.840,0.000,0.000,15.450,-0.030,0.000
Odisha,Bolangir,Gudvella,13,Tentelkhunti,1.060,44.260,39.900,3.200,0.040,0.000,43.150,1.120,0.390
Odisha,Bolangir,Gudvella,,Total,3.550,601.380,476.210,120.270,0.880,0.000,597.370,4.020,4.700
Odisha,Bolangir,Gudvella,,Block Level Line Deptt.,-0.060,-0.060,52.230,113.710,1.800,0.000,167.740,-167.800,0.570
Odisha,Bolangir,Gudvella,,Po,-1.330,147.460,0.000,NA,NA,10.480,10.480,136.980,NA
Odisha,Bolangir,Gudvella,,Grand Total,2.160,748.780,528.440,233.980,2.680,10.480,775.590,-26.800,5.270
Odisha,Bolangir,Khaprakhol,1,Baghmund,3.010,61.740,55.780,3.050,0.000,0.000,58.820,2.920,0.680
Odisha,Bolangir,Khaprakhol,2,Bender,3.820,88.320,55.300,28.640,0.000,0.000,83.930,4.390,0.550
Odisha,Bolangir,Khaprakhol,3,Bhanpur,0.190,37.010,31.700,2.620,0.000,0.000,34.320,2.690,1.620
Odisha,Bolangir,Khaprakhol,4,Changria,0.000,64.530,57.300,7.170,0.000,0.000,64.470,0.060,0.250
Odisha,Bolangir,Khaprakhol,5,Dameipali,4.070,28.520,24.430,0.000,0.000,0.000,24.440,4.090,0.220
Odisha,Bolangir,Khaprakhol,6,Dhandamunda,0.520,101.040,85.080,15.240,0.110,0.000,100.430,0.610,3.660
Odisha,Bolangir,Khaprakhol,7,Ghunsar,-0.330,40.280,34.630,5.970,0.000,0.000,40.610,-0.330,1.380
Odisha,Bolangir,Khaprakhol,8,Karuanjhar,-0.650,22.010,22.660,0.000,0.000,0.000,22.660,-0.650,0.980
Odisha,Bolangir,Khaprakhol,9,Khaprakhol,2.010,141.850,76.130,63.720,0.000,0.000,139.840,2.010,1.970
Odisha,Bolangir,Khaprakhol,10,Lathor,5.370,46.470,33.440,7.660,0.000,0.000,41.100,5.370,1.060
Odisha,Bolangir,Khaprakhol,11,Luhasingha,0.330,112.000,88.330,23.410,0.000,0.000,111.740,0.250,2.420
Odisha,Bolangir,Khaprakhol,12,Maharapadar,0.420,92.510,89.210,2.830,0.000,0.000,92.040,0.470,0.750
Odisha,Bolangir,Khaprakhol,13,Malpara,0.000,45.580,41.340,4.240,0.000,0.000,45.580,0.000,0.370
Odisha,Bolangir,Khaprakhol,14,Matiabhata,0.290,87.370,74.540,12.290,0.040,0.000,86.870,0.500,1.210
Odisha,Bolangir,Khaprakhol,15,Nandupala,2.740,44.870,39.130,3.030,0.000,0.000,42.150,2.730,0.200
Odisha,Bolangir,Khaprakhol,16,Padiabahal,3.540,70.240,64.960,1.790,0.000,0.000,66.750,3.490,2.490
Odisha,Bolangir,Khaprakhol,17,Rengali,0.310,55.100,51.910,2.870,0.000,0.000,54.780,0.320,2.390
Odisha,Bolangir,Khaprakhol,18,Sahajpani,0.000,38.430,32.300,6.120,0.000,0.000,38.430,0.000,0.160
Odisha,Bolangir,Khaprakhol,19,Tankapani,0.320,107.270,85.090,21.850,0.000,0.000,106.940,0.330,1.170
Odisha,Bolangir,Khaprakhol,20,Telenpali,2.120,65.600,63.060,0.630,0.000,0.000,63.690,1.900,0.660
Odisha,Bolangir,Khaprakhol,21,Udiapali,0.230,48.490,48.200,0.100,0.000,0.000,48.300,0.180,0.800
Odisha,Bolangir,Khaprakhol,,Total,28.310,1399.220,1154.510,213.220,0.160,0.000,1367.880,31.340,25.000
Odisha,Bolangir,Khaprakhol,,Block Level Line Deptt.,-108.130,-108.130,107.460,141.180,0.000,1.090,249.730,-357.860,9.940
Odisha,Bolangir,Khaprakhol,,Po,-3.030,216.770,0.000,NA,NA,58.020,58.020,158.750,NA
Odisha,Bolangir,Khaprakhol,,Grand Total,-82.860,1507.860,1261.970,354.400,0.160,59.110,1675.630,-167.770,34.940
Odisha,Bolangir,Loisingha,1,Badibahal,-5.210,89.360,63.920,30.480,0.170,0.000,94.570,-5.210,0.980
Odisha,Bolangir,Loisingha,2,Badimunda,1.440,43.850,28.000,14.260,0.160,0.000,42.420,1.440,1.190
Odisha,Bolangir,Loisingha,3,Banipali,0.000,37.910,31.050,15.030,0.140,0.000,46.220,-8.300,1.850
Odisha,Bolangir,Loisingha,4,Budhipadar,0.650,63.230,32.850,29.410,0.330,0.000,62.580,0.660,0.200
Odisha,Bolangir,Loisingha,5,Burda,-0.340,16.120,13.070,4.480,0.060,0.000,17.610,-1.500,1.220
Odisha,Bolangir,Loisingha,6,Dunguripali,-8.510,45.330,36.200,17.540,0.150,0.000,53.890,-8.560,0.460
Odisha,Bolangir,Loisingha,7,Hirapur,1.990,43.990,29.590,12.230,0.180,0.000,42.000,1.990,0.360
Odisha,Bolangir,Loisingha,8,Jharmunda,0.860,31.260,24.560,5.870,0.050,0.000,30.480,0.780,0.740
Odisha,Bolangir,Loisingha,9,Jogisurda,0.440,25.970,21.960,3.930,0.030,0.000,25.910,0.060,0.350
Odisha,Bolangir,Loisingha,10,Kandajuri,-1.690,26.060,14.570,12.390,0.800,0.000,27.750,-1.690,0.290
Odisha,Bolangir,Loisingha,11,Kusang,0.490,25.430,16.270,9.810,0.120,0.000,26.190,-0.760,0.200
Odisha,Bolangir,Loisingha,12,Kusmel,-1.950,36.200,34.260,3.860,0.020,0.000,38.150,-1.950,0.390
Odisha,Bolangir,Loisingha,13,Kutenpali,3.140,17.070,13.910,0.000,0.000,0.000,13.910,3.160,0.340
Odisha,Bolangir,Loisingha,14,Loisingha,-0.210,52.220,33.240,19.180,0.120,0.000,52.550,-0.330,0.080
Odisha,Bolangir,Loisingha,15,Magurbeda,0.000,37.340,27.200,16.980,0.160,0.000,44.330,-6.990,0.710
Odisha,Bolangir,Loisingha,16,Ratakhandi,-5.920,30.170,24.920,11.070,0.140,0.000,36.140,-5.960,0.070
Odisha,Bolangir,Loisingha,17,Rengali,-2.540,39.610,30.770,11.240,0.140,0.000,42.150,-2.540,0.390
Odisha,Bolangir,Loisingha,18,Sargad,-2.820,33.000,19.840,15.840,0.150,0.000,35.820,-2.820,0.150
Odisha,Bolangir,Loisingha,19,Taliudar,2.280,23.930,19.650,1.990,0.020,0.000,21.660,2.280,0.700
Odisha,Bolangir,Loisingha,20,Uperbahal,-5.110,138.780,58.790,84.560,0.670,0.000,144.030,-5.250,3.040
Odisha,Bolangir,Loisingha,,Total,-23.000,856.860,574.600,320.120,3.620,0.000,898.340,-41.490,13.720
Odisha,Bolangir,Loisingha,,Block Level Line Deptt.,-67.610,-67.610,34.290,53.710,0.620,0.000,88.630,-156.240,1.300
Odisha,Bolangir,Loisingha,,Po,31.340,121.360,0.000,NA,NA,34.150,34.150,87.210,NA
Odisha,Bolangir,Loisingha,,Grand Total,-59.270,910.610,608.890,373.830,4.240,34.150,1021.120,-110.520,15.020
Odisha,Bolangir,Muribahal,1,Badsaimara,-0.280,63.340,60.000,6.120,0.000,0.000,66.120,-2.780,1.460
Odisha,Bolangir,Muribahal,2,Bandupala,0.000,19.380,21.140,0.000,0.000,0.000,21.140,-1.760,1.090
Odisha,Bolangir,Muribahal,3,Bankel,-9.800,43.090,54.890,0.910,0.000,0.000,55.800,-12.720,1.490
Odisha,Bolangir,Muribahal,4,Belpadar,-3.120,18.580,23.260,0.000,0.000,0.000,23.260,-4.670,1.170
Odisha,Bolangir,Muribahal,5,Bitabandh,0.000,16.520,18.980,6.790,0.000,0.000,25.770,-9.250,1.610
Odisha,Bolangir,Muribahal,6,Chalki,-7.330,30.220,34.330,5.840,0.000,0.000,40.170,-9.950,0.700
Odisha,Bolangir,Muribahal,7,Chanabahal,-12.120,54.290,65.210,0.960,0.000,0.000,66.170,-11.880,1.790
Odisha,Bolangir,Muribahal,8,Dangarpada,0.000,43.160,46.350,0.620,0.000,0.000,46.970,-3.810,0.490
Odisha,Bolangir,Muribahal,9,Gadgadabahal,0.000,20.030,19.430,5.240,0.000,0.000,24.660,-4.630,0.650
Odisha,Bolangir,Muribahal,10,Ganrei,-17.640,38.740,51.530,4.840,0.000,0.000,56.370,-17.640,0.900
Odisha,Bolangir,Muribahal,11,Goimund,0.000,28.500,29.030,0.000,0.000,0.000,29.030,-0.530,0.810
Odisha,Bolangir,Muribahal,12,Gudighat,-9.460,46.190,55.660,0.000,0.000,0.000,55.660,-9.460,0.940
Odisha,Bolangir,Muribahal,13,Haldi,-2.310,70.630,67.130,5.790,0.000,0.000,72.910,-2.290,0.680
Odisha,Bolangir,Muribahal,14,Ichhapada,-4.890,85.750,82.980,12.060,0.430,0.000,95.480,-9.720,2.380
Odisha,Bolangir,Muribahal,15,Lakhana,-3.050,19.720,24.300,3.870,0.000,0.000,28.170,-8.450,0.770
Odisha,Bolangir,Muribahal,16,Lebda,0.030,27.310,39.320,2.790,0.000,0.000,42.120,-14.810,0.590
Odisha,Bolangir,Muribahal,17,Malisira,-0.660,52.990,49.970,3.630,0.000,0.000,53.600,-0.610,1.280
Odisha,Bolangir,Muribahal,18,Muribahal,0.000,53.570,49.440,7.560,0.000,0.000,57.000,-3.420,0.510
Odisha,Bolangir,Muribahal,19,Patrapali,-10.080,51.120,46.060,16.070,0.000,0.000,62.120,-11.010,2.410
Odisha,Bolangir,Muribahal,20,Patrapali- Kha,0.000,19.870,13.900,6.240,0.000,0.000,20.140,-0.280,0.240
Odisha,Bolangir,Muribahal,21,Tentelkhunti,-1.530,32.250,35.000,0.000,0.000,0.000,35.000,-2.750,0.370
Odisha,Bolangir,Muribahal,22,Tupaudar,0.440,17.150,16.190,1.770,0.000,0.000,17.960,-0.810,1.040
Odisha,Bolangir,Muribahal,,Total,-81.790,852.390,904.090,91.110,0.430,0.000,995.630,-143.240,23.350
Odisha,Bolangir,Muribahal,,Block Level Line Deptt.,-34.410,-34.410,46.760,57.220,0.000,0.640,104.630,-139.040,4.310
Odisha,Bolangir,Muribahal,,Po,-5.690,133.690,0.000,NA,NA,30.770,30.770,102.920,NA
Odisha,Bolangir,Muribahal,,Grand Total,-121.900,951.670,950.850,148.330,0.430,31.410,1131.030,-179.360,27.660
