Name of The State ,Name of The District,Name of The Block,Number of Gram Panchayats,Name  of Gram Panchayats,Opening Balance For FY 2019-20,Total Fund Available For  FY 2019-20,Total Expenditure on Wages For FY 2019-20,Total Expenditure On Materials For FY 2019-20,Total Tax Paid For FY 2019-20,Total Admin Expenses  For FY 2019-20,Grand Total Expenditure For FY 2019-20,Total Unspent Balance For FY 2019-20,Total Payment Due For FY 2019-20
Odisha,Mayurbhanj,Rasagobindapur,16,Totapada,0,57.53,45.91,11.51,0.11,0,57.53,0,0.23
Odisha,Mayurbhanj,Rasagobindapur,,Total,-0.02,179.09,131.52,47.04,0.46,0,179.02,0.07,1.12
Odisha,Mayurbhanj,Rasagobindapur,,Block Level Line Deptt.,0,0,464.97,27.21,0.01,0.76,492.94,-492.94,5.32
Odisha,Mayurbhanj,Rasagobindapur,,Po,8.39,488.52,0,NA,NA,27.42,27.42,461.1,NA
Odisha,Mayurbhanj,Rasagobindapur,,Grand Total,8.37,667.61,596.49,74.25,0.47,28.18,699.38,-31.77,6.44
Odisha,Mayurbhanj,Shamakhunta,1,Balidiha,0,87.06,15.05,71.1,0.9,0,87.06,0,0.05
Odisha,Mayurbhanj,Shamakhunta,2,Baunsabilla,0,32.51,7.25,24.93,0.32,0,32.51,0,0.1
Odisha,Mayurbhanj,Shamakhunta,3,Bhaluki,0,44.84,8.77,35.65,0.42,0,44.84,0,0.03
Odisha,Mayurbhanj,Shamakhunta,4,Gundihudi,0,41.94,11.38,30.13,0.41,0,41.93,0.01,0.01
Odisha,Mayurbhanj,Shamakhunta,5,Kalapathar,0,27.5,3.66,23.57,0.27,0,27.5,0,0.03
Odisha,Mayurbhanj,Shamakhunta,6,Kendua,0,14.2,2.87,11.19,0.14,0,14.2,0,0.49
Odisha,Mayurbhanj,Shamakhunta,7,Khandia,0,91.14,18.61,71.51,0.99,0,91.11,0.03,0.26
Odisha,Mayurbhanj,Shamakhunta,8,Kuchilaghati,0,50.74,10.9,39.32,0.52,0,50.74,0,0.13
Odisha,Mayurbhanj,Shamakhunta,9,Mahulia,0,5.77,1.63,4.08,0.05,0,5.77,0,0.05
Odisha,Mayurbhanj,Shamakhunta,10,Paikabasa,0,36.98,13.91,22.79,0.26,0,36.96,0.02,0.05
Odisha,Mayurbhanj,Shamakhunta,11,Rangamatia,0,37.62,12.96,24.34,0.31,0,37.62,0,0.23
Odisha,Mayurbhanj,Shamakhunta,12,Samakhunta,0,50.58,13.45,36.6,0.53,0,50.58,0,0.12
Odisha,Mayurbhanj,Shamakhunta,13,Sindurgoura,0,45.26,13.02,31.8,0.44,0,45.26,0,0.05
Odisha,Mayurbhanj,Shamakhunta,14,Sirishbani,0,19.5,11.95,7.37,0.11,0,19.43,0.07,0
Odisha,Mayurbhanj,Shamakhunta,,Total,0,585.63,145.43,434.39,5.68,0,585.5,0.13,1.6
Odisha,Mayurbhanj,Shamakhunta,,Block Level Line Deptt.,-0.15,-0.15,545.91,516.71,5.8,2.8,1071.22,-1071.37,7.67
Odisha,Mayurbhanj,Shamakhunta,,Po,37.73,861.69,0,NA,NA,21.93,21.93,839.76,NA
Odisha,Mayurbhanj,Shamakhunta,,Grand Total,37.58,1447.17,691.34,951.1,11.48,24.73,1678.65,-231.48,9.27
Odisha,Mayurbhanj,Saraskana,1,Bagbuda,0,111.98,48.26,62.79,0.87,0,111.93,0.06,0.08
Odisha,Mayurbhanj,Saraskana,2,Bhursani,0,94.16,62.32,31.39,0.46,0,94.16,0,0
Odisha,Mayurbhanj,Saraskana,3,Dhangidisole,0,32.64,18.26,14.05,0.34,0,32.64,0,0
Odisha,Mayurbhanj,Saraskana,4,Jalda,0,92.86,62.35,30.04,0.44,0,92.84,0.02,0.06
Odisha,Mayurbhanj,Saraskana,5,Jharpokharia,0,67.24,31.78,34.88,0.48,0,67.14,0.09,0.17
Odisha,Mayurbhanj,Saraskana,6,Joka,0,96.99,65.97,30.75,0.46,0,97.18,-0.19,1.12
Odisha,Mayurbhanj,Saraskana,7,Murunia,0,21.65,8.35,13.06,0.16,0,21.57,0.08,0.19
Odisha,Mayurbhanj,Saraskana,8,Paktia,0,63.5,45.85,17.2,0.27,0,63.33,0.17,0.07
Odisha,Mayurbhanj,Saraskana,9,Pandara,0,19.45,7.43,11.84,0.14,0,19.42,0.03,0.08
Odisha,Mayurbhanj,Saraskana,10,Pokharia,0,97.16,78.12,18.13,0.31,0,96.55,0.61,0.49
Odisha,Mayurbhanj,Saraskana,11,Pokharidiha,0,94.08,49.47,43.67,0.67,0,93.8,0.28,0.17
Odisha,Mayurbhanj,Saraskana,12,Rajaloka,0,66.71,28.03,38.16,0.5,0,66.7,0.01,0
Odisha,Mayurbhanj,Saraskana,13,Sankhabhanga,0,71.1,32.56,37.97,0.56,0,71.1,0,0
Odisha,Mayurbhanj,Saraskana,14,Saraskana,0,91.44,44.46,46.18,0.6,0,91.23,0.21,0.12
Odisha,Mayurbhanj,Saraskana,15,Silphodi,0,74.13,49.88,23.74,0.38,0,74,0.13,0
Odisha,Mayurbhanj,Saraskana,16,Sirsa,0,131.08,70.82,59.43,0.78,0,131.03,0.05,0.36
Odisha,Mayurbhanj,Saraskana,17,Umadeipur,0,73.22,35.43,37.27,0.51,0,73.21,0.01,0.45
Odisha,Mayurbhanj,Saraskana,,Total,0,1299.38,739.36,550.55,7.94,0,1297.84,1.54,3.65
Odisha,Mayurbhanj,Saraskana,,Block Level Line Deptt.,0,0,511.23,39.59,0.24,0.3,551.35,-551.35,4.28
Odisha,Mayurbhanj,Saraskana,,Po,17.15,537.64,0,NA,NA,16.97,16.97,520.67,NA
Odisha,Mayurbhanj,Saraskana,,Grand Total,17.15,1837.02,1250.59,590.14,8.18,17.27,1866.16,-29.14,7.93
Odisha,Mayurbhanj,Sukruli,1,Arjunbilla,0,59.35,29.36,32.59,0.4,0,59.35,0,0.15
Odisha,Mayurbhanj,Sukruli,2,Baria,0,65.9,45.87,19.76,0.28,0,65.9,0,0.23
Odisha,Mayurbhanj,Sukruli,3,Chaturanjali,0,94.55,55.82,38.17,0.55,0,94.55,0,1.36
Odisha,Mayurbhanj,Sukruli,4,Galusahi,0,23.32,16.89,6.32,0.11,0,23.32,0,0.89
Odisha,Mayurbhanj,Sukruli,5,Haladia,0,67.65,39.35,27.91,0.39,0,67.65,0,1.23
Odisha,Mayurbhanj,Sukruli,6,Jamunti,0,134.21,64.54,68.69,1,0,134.24,-0.03,2.4
Odisha,Mayurbhanj,Sukruli,7,Jhadaghosada,0,88.05,42.77,44.7,0.57,0,88.05,0,0.06
Odisha,Mayurbhanj,Sukruli,8,Khiching,0,41.28,25.35,15.69,0.23,0,41.28,0,0.22
Odisha,Mayurbhanj,Sukruli,9,Sukruli,0,41.97,21.93,19.76,0.27,0,41.96,0.01,0.14
Odisha,Mayurbhanj,Sukruli,10,Teranty,0,90.91,65.68,24.92,0.33,0,90.93,-0.01,0.42
Odisha,Mayurbhanj,Sukruli,,Total,0,707.19,404.57,298.51,4.14,0,707.22,-0.03,7.47
Odisha,Mayurbhanj,Sukruli,,Block Level Line Deptt.,0,0,99.19,38.45,0,2.52,140.16,-140.16,1.93
Odisha,Mayurbhanj,Sukruli,,Po,2.67,18.72,0,NA,NA,16.05,16.05,2.67,NA
Odisha,Mayurbhanj,Sukruli,,Grand Total,2.67,725.91,503.76,336.96,4.14,18.57,863.43,-137.52,9.4
Odisha,Mayurbhanj,Suliapada,1,Anlakuda,0,28.76,26.86,0.58,0.08,0,27.53,1.23,0
Odisha,Mayurbhanj,Suliapada,2,Badbhalia,0,6.86,5.83,0.23,0,0,6.06,0.8,0.14
Odisha,Mayurbhanj,Suliapada,3,Baghada,0,40.05,33.68,5.05,0.05,0,38.78,1.27,0.42
Odisha,Mayurbhanj,Suliapada,4,Chuhat,0,30.9,22.71,4.25,0.07,0,27.04,3.86,0.32
Odisha,Mayurbhanj,Suliapada,5,Deuli,0,2.87,2.57,0,0,0,2.57,0.3,0.03
Odisha,Mayurbhanj,Suliapada,6,Dhatika,0,3.67,3.46,0.17,0,0,3.64,0.03,0.06
Odisha,Mayurbhanj,Suliapada,7,Fania,0,11.66,10.09,0.59,0.01,0,10.69,0.97,0.07
Odisha,Mayurbhanj,Suliapada,8,Jhaliamara,0,4.67,2.85,0.22,0,0,3.07,1.59,0
Odisha,Mayurbhanj,Suliapada,9,Kanimohuli,0,12.55,8.14,1.59,0.06,0,9.79,2.75,0.02
Odisha,Mayurbhanj,Suliapada,10,Kantisahi,0,5.5,4.2,0,0,0,4.2,1.3,0.11
Odisha,Mayurbhanj,Suliapada,11,Kostha,0,5.91,1.19,4.02,0.05,0,5.26,0.65,0
Odisha,Mayurbhanj,Suliapada,12,Kujidihi,0,11.19,9.22,0.96,0,0,10.19,1,0.05
Odisha,Mayurbhanj,Suliapada,13,Mohabilla,0,4.68,1.16,0.6,0.03,0,1.79,2.89,0
Odisha,Mayurbhanj,Suliapada,14,Nuagaon,0,14.89,12.87,0.59,0.02,0,13.48,1.41,0.01
Odisha,Mayurbhanj,Suliapada,15,Paktia,0,12.55,12.34,0.05,0.01,0,12.4,0.15,0.14
Odisha,Mayurbhanj,Suliapada,16,Ufalgadia,0,33.46,25.55,6.1,0.19,0,31.84,1.61,0.06
Odisha,Mayurbhanj,Suliapada,,Total,0,230.15,182.73,25.02,0.58,0,208.33,21.81,1.44
Odisha,Mayurbhanj,Suliapada,,Block Level Line Deptt.,0,0,707.28,195.52,0.01,2.08,904.9,-904.9,7.3
Odisha,Mayurbhanj,Suliapada,,Po,10.97,469.35,0,NA,NA,28.17,28.17,441.18,NA
Odisha,Mayurbhanj,Suliapada,,Grand Total,10.97,699.5,890.01,220.54,0.59,30.25,1141.4,-441.91,8.74
Odisha,Mayurbhanj,Thakurmunda,1,Bhaliadal,-0.03,74.23,66.1,7.92,0.12,0,74.14,0.08,3.49
Odisha,Mayurbhanj,Thakurmunda,2,Bharandia,0,144.23,75.81,68.01,0.94,0,144.76,-0.53,1.88
Odisha,Mayurbhanj,Thakurmunda,3,Champajhar,0,197.43,85.57,110.74,1.45,0,197.75,-0.32,2.08
Odisha,Mayurbhanj,Thakurmunda,4,Dhatikidiha,0,51.8,35.93,15.81,0.21,0,51.95,-0.15,0.53
Odisha,Mayurbhanj,Thakurmunda,5,Digdhar,0,73.9,33.89,43.65,0.58,0,78.12,-4.22,0.03
Odisha,Mayurbhanj,Thakurmunda,6,Hatigoda,0,54.03,43.26,10.36,0.14,0,53.76,0.27,0.59
Odisha,Mayurbhanj,Thakurmunda,7,Jarak,0,140.22,83.2,56.07,0.73,0,140.01,0.21,1.17
Odisha,Mayurbhanj,Thakurmunda,8,Kendujiani,0,79.31,63.33,16.05,0.21,0,79.58,-0.27,0.72
Odisha,Mayurbhanj,Thakurmunda,9,Kesdiha,0,159.09,92.17,73.85,0.92,0,166.94,-7.85,0.55
Odisha,Mayurbhanj,Thakurmunda,10,Khandbandh,0,142.06,74.74,66.62,0.85,0,142.2,-0.13,3.37
Odisha,Mayurbhanj,Thakurmunda,11,Mahuldiha,0,35.26,27.55,7.6,0.11,0,35.26,0,0.08
Odisha,Mayurbhanj,Thakurmunda,12,Padiabeda,0,81.88,60.84,20.74,0.3,0,81.88,0,0.82
Odisha,Mayurbhanj,Thakurmunda,13,Salchua,0,188.49,95.76,91.93,1.22,0,188.92,-0.43,2.43
Odisha,Mayurbhanj,Thakurmunda,14,Saleibeda,0,80.66,53.7,26.6,0.36,0,80.66,0,0.37
Odisha,Mayurbhanj,Thakurmunda,15,Satkosia,0,130.5,59.3,70.76,0.89,0,130.95,-0.45,1.09
Odisha,Mayurbhanj,Thakurmunda,16,Talapada,0,102.02,59.79,41.7,0.54,0,102.03,-0.01,0.48
Odisha,Mayurbhanj,Thakurmunda,17,Taramara,0,169.27,64.7,117.3,1.53,0,183.53,-14.26,1.74
Odisha,Mayurbhanj,Thakurmunda,18,Thakurmunda,0,191.92,78.3,118.51,1.62,0,198.43,-6.51,1.26
Odisha,Mayurbhanj,Thakurmunda,,Total,-0.03,2096.31,1153.93,964.22,12.72,0,2130.87,-34.55,22.67
Odisha,Mayurbhanj,Thakurmunda,,Block Level Line Deptt.,0,0,172.88,91.33,0.06,2.83,267.1,-267.1,1.53
Odisha,Mayurbhanj,Thakurmunda,,Po,6.88,93.55,0,NA,NA,44.84,44.84,48.71,NA
Odisha,Mayurbhanj,Thakurmunda,,Grand Total,6.85,2189.86,1326.81,1055.55,12.78,47.67,2442.81,-252.94,24.2
Odisha,Mayurbhanj,Tiring,1,Bad Dalima,0,52.6,41.51,10.12,0.11,0,51.74,0.86,0.09
Odisha,Mayurbhanj,Tiring,2,Bad Narini,0,18.29,18.04,0,0,0,18.04,0.24,0.9
Odisha,Mayurbhanj,Tiring,3,Gitilata,0,3.56,2.73,0.46,0.01,0,3.19,0.37,0.09
Odisha,Mayurbhanj,Tiring,4,Kulughutu,0,17.2,15.18,1.9,0.02,0,17.11,0.09,0.03
Odisha,Mayurbhanj,Tiring,5,Lupung,0,22.45,22.4,0,0,0,22.4,0.05,0.09
Odisha,Mayurbhanj,Tiring,6,Naranpur,0,34.45,32.89,1.51,0.02,0,34.42,0.03,0.46
Odisha,Mayurbhanj,Tiring,7,Pandupani,0,14.13,13.58,0,0,0,13.58,0.55,0.13
Odisha,Mayurbhanj,Tiring,8,Rengalbeda,0,23.19,22.55,0.31,0,0,22.86,0.33,0.02
Odisha,Mayurbhanj,Tiring,9,Sanbhundu,0,25.98,25.43,0,0,0,25.42,0.56,0.41
Odisha,Mayurbhanj,Tiring,10,Tiring,0,24.15,23.97,0.09,0,0,24.06,0.09,0.3
Odisha,Mayurbhanj,Tiring,,Total,0,236,218.29,14.38,0.16,0,232.83,3.17,2.51
Odisha,Mayurbhanj,Tiring,,Block Level Line Deptt.,0,0,197.94,6.31,0.03,1.13,205.41,-205.41,2.58
Odisha,Mayurbhanj,Tiring,,Po,7.45,211.42,0,NA,NA,16.23,16.23,195.19,NA
Odisha,Mayurbhanj,Tiring,,Grand Total,7.45,447.42,416.23,20.69,0.19,17.36,454.47,-7.05,5.09
Odisha,Mayurbhanj,Udala,1,Badkhaman,0,92.53,41.03,50.85,0.65,0,92.53,0,0.42
Odisha,Mayurbhanj,Udala,2,Bad-Singaria,0,87.91,52.22,35.36,0.55,0,88.13,-0.22,0.59
Odisha,Mayurbhanj,Udala,3,Bahubandh,0,128.38,56.59,70.43,1.05,0,128.07,0.31,0.36
Odisha,Mayurbhanj,Udala,4,Bhimtali,0,41.22,25.25,15.72,0.26,0,41.22,0,0.13
Odisha,Mayurbhanj,Udala,5,Dugudha,0,58.35,32.93,25.81,0.34,0,59.08,-0.73,0.63
Odisha,Mayurbhanj,Udala,6,Khaladi,0,72.62,55.66,16.71,0.18,0,72.55,0.07,0.94
Odisha,Mayurbhanj,Udala,7,Kochiladiha,0,97.38,74.32,22.79,0.5,0,97.6,-0.23,1.25
Odisha,Mayurbhanj,Udala,8,Kundabai,0,69.14,52.21,16.58,0.35,0,69.14,0,1.43
Odisha,Mayurbhanj,Udala,9,Nuagaon,0,71.37,31.64,39.13,0.53,0,71.3,0.07,0.12
Odisha,Mayurbhanj,Udala,10,Patsanipur,0,76.26,37.19,38.49,0.58,0,76.26,0,0.87
Odisha,Mayurbhanj,Udala,11,Radho,0,118.24,86.38,30.77,0.67,0,117.83,0.41,0.43
Odisha,Mayurbhanj,Udala,12,Sridamchandrapur,0,122.04,40.98,79.87,1.18,0,122.04,0,0.37
Odisha,Mayurbhanj,Udala,,Total,0,1035.44,586.39,442.51,6.85,0,1035.75,-0.32,7.54
Odisha,Mayurbhanj,Udala,,Block Level Line Deptt.,0,0,315.11,82.06,1.37,0.64,399.18,-399.18,3.34
Odisha,Mayurbhanj,Udala,,Po,5.38,274.47,0,NA,NA,24.64,24.64,249.83,NA
Odisha,Mayurbhanj,Udala,,Grand Total,5.38,1309.91,901.5,524.57,8.22,25.28,1459.57,-149.67,10.88
Odisha,Nabrangpur,Chandahandi,1,Anakabeda,0,48.28,44.45,3.83,0,0,48.28,0,0.01
Odisha,Nabrangpur,Chandahandi,2,Beheramunda,0,47.25,42.84,4.35,0,0,47.19,0.06,0.2
Odisha,Nabrangpur,Chandahandi,3,Chandahandi,0,34.47,33.43,0.97,0,0,34.4,0.07,0.03
Odisha,Nabrangpur,Chandahandi,4,Dalabeda,-1.96,43.34,37.8,7.23,0,0,45.03,-1.69,0.32
Odisha,Nabrangpur,Chandahandi,5,Dhodipani,0,58.45,56.6,1.51,0,0,58.11,0.35,0.31
Odisha,Nabrangpur,Chandahandi,6,Fataki,0,55.92,52.73,3.24,0,0,55.96,-0.04,0.02
Odisha,Nabrangpur,Chandahandi,7,Gambariguda,-2.69,19.3,21.31,0.69,0,0,21.99,-2.69,0.02
Odisha,Nabrangpur,Chandahandi,8,Jamadarpada,0,54.89,53.23,1.66,0,0,54.89,0,0.07
Odisha,Nabrangpur,Chandahandi,9,Koilimunda,0,38.59,36.86,1.74,0,0,38.59,0,0.07
Odisha,Nabrangpur,Chandahandi,10,Kuhudi,0,24.28,24.28,0,0,0,24.28,0,0
Odisha,Nabrangpur,Chandahandi,11,Malgam,0,30.41,29.98,0.23,0,0,30.21,0.2,0.26
Odisha,Nabrangpur,Chandahandi,12,Mohara,0,12.79,13,0.1,0,0,13.1,-0.32,0
Odisha,Nabrangpur,Chandahandi,13,Patkhalia,0,35.04,33.04,2.3,0,0,35.34,-0.3,0.22
Odisha,Nabrangpur,Chandahandi,14,Sardhapur,-4.95,18.04,22.35,0.63,0,0,22.99,-4.95,0.08
Odisha,Nabrangpur,Chandahandi,,Total,-9.6,521.06,501.89,28.47,0,0,530.36,-9.3,1.6
Odisha,Nabrangpur,Chandahandi,,Block Level Line Deptt.,-57.9,-57.9,91.12,54.31,0,0,145.43,-203.33,0.52
Odisha,Nabrangpur,Chandahandi,,Po,-12.1,159.71,0,NA,NA,24.87,24.87,134.84,NA
Odisha,Nabrangpur,Chandahandi,,Grand Total,-79.6,622.87,593.01,82.78,0,24.87,700.66,-77.79,2.12
Odisha,Nabrangpur,Dabugam,1,Anchala,0,42.54,42.57,0,0,0,42.57,-0.04,1.46
Odisha,Nabrangpur,Dabugam,2,Bada Olama,-1.53,39.28,40.75,0,0,0,40.75,-1.48,2.24
Odisha,Nabrangpur,Dabugam,3,Borigam,-2.93,32.92,36.24,0,0,0,36.24,-3.32,2.62
Odisha,Nabrangpur,Dabugam,4,Chacharaguda,-4.73,43.78,46.89,1.58,0,0,48.47,-4.7,3.8
Odisha,Nabrangpur,Dabugam,5,Dabugam,4.27,35.23,30.32,0.69,0,0,31.01,4.22,1.92
Odisha,Nabrangpur,Dabugam,6,Dangriguda,0,13.81,13.81,0,0,0,13.81,0,0.82
Odisha,Nabrangpur,Dabugam,7,Ghodakhunta,0.67,48.43,47.77,0,0,0,47.77,0.67,7.68
Odisha,Nabrangpur,Dabugam,8,Jabaguda,-5.92,19.44,23.82,1.56,0,0,25.38,-5.94,0.16
Odisha,Nabrangpur,Dabugam,9,Junapani,-3.32,42.28,43.82,1.94,0,0,45.77,-3.49,3.22
Odisha,Nabrangpur,Dabugam,10,Koilari,0,17.48,18,0,0,0,18,-0.52,0.48
Odisha,Nabrangpur,Dabugam,11,Medena,-4.68,26.6,31.3,0,0,0,31.3,-4.7,1.11
Odisha,Nabrangpur,Dabugam,12,Nandapura,0,21.34,20.38,0,0,0,20.38,0.96,5.19
Odisha,Nabrangpur,Dabugam,,Total,-18.18,383.12,395.68,5.77,0,0,401.45,-18.33,30.7
Odisha,Nabrangpur,Dabugam,,Block Level Line Deptt.,-70.91,-70.91,161.6,85.81,0,0,247.41,-318.32,3.11
Odisha,Nabrangpur,Dabugam,,Po,32.08,296.65,0,NA,NA,13.96,13.96,282.69,NA
Odisha,Nabrangpur,Dabugam,,Grand Total,-57.02,608.86,557.28,91.58,0,13.96,662.82,-53.96,33.81
Odisha,Nabrangpur,Jharigam,1,Badatemra,-0.62,46.65,47.34,0,0,0,47.34,-0.69,1.3
Odisha,Nabrangpur,Jharigam,2,Bakadabeda,-1.39,27.43,23.23,5.61,0,0,28.85,-1.41,0.8
Odisha,Nabrangpur,Jharigam,3,Banuaguda,7.99,47.23,39.25,0,0,0,39.25,7.98,1.5
Odisha,Nabrangpur,Jharigam,4,Belgam,0.94,72.28,48.03,22.87,0,0,70.89,1.39,1.07
Odisha,Nabrangpur,Jharigam,5,Bhalukanadi,0,25.32,25.32,0,0,0,25.32,0,0.17
Odisha,Nabrangpur,Jharigam,6,Bhikya,-3.37,41.47,43.93,1.94,0,0,45.87,-4.39,1.5
Odisha,Nabrangpur,Jharigam,7,Chacha,-0.64,40.36,28.88,12.13,0,0,41.01,-0.64,0.87
Odisha,Nabrangpur,Jharigam,8,Chakalapadar,-3.66,94.97,47.42,51.55,0,0,98.97,-4,3.38
Odisha,Nabrangpur,Jharigam,9,Chatiguda,-0.35,105.09,58,47.43,0,0,105.43,-0.34,2.06
Odisha,Nabrangpur,Jharigam,10,Chitabeda,-0.12,125.53,66.79,58.8,0,0,125.59,-0.06,0.86
Odisha,Nabrangpur,Jharigam,11,Dhamanaguda,-1.28,84.26,70.19,15.72,0,0,85.91,-1.66,1.21
Odisha,Nabrangpur,Jharigam,12,Dhodra,-4.78,55.67,56.52,3.94,0,0,60.45,-4.78,1.35
Odisha,Nabrangpur,Jharigam,13,Dongariguda,-1.26,96.65,63.62,34.28,0,0,97.9,-1.26,2.94
Odisha,Nabrangpur,Jharigam,14,Ekamba,1.22,64.11,38.11,24.76,0,0,62.87,1.24,0.49
Odisha,Nabrangpur,Jharigam,15,Gursingha,-3.76,42.79,35.43,11.02,0,0,46.45,-3.65,3.74
Odisha,Nabrangpur,Jharigam,16,Ichhapur,0,78.79,70.2,8.94,0,0,79.14,-0.34,6.02
Odisha,Nabrangpur,Jharigam,17,Jhorigam,0.34,117.39,84.21,32.81,0,0,117.02,0.36,0.62
Odisha,Nabrangpur,Jharigam,18,Kanakota,-4.34,52.24,56.88,1.3,0,0,58.17,-5.93,2.83
Odisha,Nabrangpur,Jharigam,19,Kutrichhapar,1.04,44.82,35.8,7.98,0,0,43.78,1.05,0.95
Odisha,Nabrangpur,Jharigam,20,Palia,7.37,60.36,49.72,3.26,0,0,52.99,7.37,0.24
Odisha,Nabrangpur,Jharigam,21,Phupugam,-1.87,72.78,65.54,9.12,0,0,74.66,-1.88,2.74
Odisha,Nabrangpur,Jharigam,22,Ratakhandiguda,0.92,71.35,56.5,14.25,0,0,70.75,0.6,0.22
Odisha,Nabrangpur,Jharigam,23,Telonadigam,5.94,90.87,48.34,36.65,0,0,84.99,5.88,0.52
Odisha,Nabrangpur,Jharigam,,Total,-1.66,1558.44,1159.25,404.35,0,0,1563.59,-5.15,37.36
Odisha,Nabrangpur,Jharigam,,Block Level Line Deptt.,-224.85,-224.85,106.71,201.78,0,0,308.48,-533.33,2.95
Odisha,Nabrangpur,Jharigam,,Po,181.63,514.99,0,NA,NA,18.29,18.29,496.7,NA
Odisha,Nabrangpur,Jharigam,,Grand Total,-44.88,1848.58,1265.96,606.13,0,18.29,1890.36,-41.78,40.31
Odisha,Nabrangpur,Kosagumuda,1,Atigam,-0.09,50.96,51.06,0,0,0,51.05,-0.09,0.1
Odisha,Nabrangpur,Kosagumuda,2,B.M.Semla,-1.29,38.74,38.06,2.42,0,0,40.49,-1.74,3.4
Odisha,Nabrangpur,Kosagumuda,3,Badaamda,0.79,16.67,12.24,3.19,0,0,15.43,1.23,0.8
Odisha,Nabrangpur,Kosagumuda,4,Badagumuda,0.89,16.62,13.88,1.86,0,0,15.73,0.89,0.26
Odisha,Nabrangpur,Kosagumuda,5,Balenga,5.1,48.79,43.69,0,0,0,43.69,5.1,4.26
Odisha,Nabrangpur,Kosagumuda,6,Bamuni,2.06,48.16,40.38,5.63,0,0,46.02,2.15,0.16
Odisha,Nabrangpur,Kosagumuda,7,Bankuli,-2.79,20.07,21.38,0.96,0,0,22.34,-2.27,1.37
Odisha,Nabrangpur,Kosagumuda,8,Binjili,1.29,22.92,20.6,1.16,0,0,21.76,1.16,2.46
Odisha,Nabrangpur,Kosagumuda,9,Chirma,0.02,24.56,23.48,1.01,0,0,24.49,0.06,4.77
Odisha,Nabrangpur,Kosagumuda,10,Ekori,0.05,18.74,15.29,3.4,0,0,18.69,0.05,0.99
Odisha,Nabrangpur,Kosagumuda,11,K.Semla,1.3,29.92,25.95,2.67,0,0,28.62,1.3,0.38
Odisha,Nabrangpur,Kosagumuda,12,Karchamal,0,6.24,4.94,1.31,0,0,6.24,0,0.3
Odisha,Nabrangpur,Kosagumuda,13,Kodinga,0.13,26.68,25.77,0.75,0,0,26.52,0.15,3.25
Odisha,Nabrangpur,Kosagumuda,14,Kosagumuda,-0.36,45.97,44.08,2.4,0,0,46.48,-0.51,3.28
Odisha,Nabrangpur,Kosagumuda,15,M.Keragam,0.05,32.33,23.9,8.31,0,0,32.21,0.12,0.3
Odisha,Nabrangpur,Kosagumuda,16,Majhidhanua,0.88,34.13,25.1,8.16,0,0,33.26,0.88,1.41
Odisha,Nabrangpur,Kosagumuda,17,Madeigam,1.31,10.89,8.37,1.21,0,0,9.58,1.31,4.18
Odisha,Nabrangpur,Kosagumuda,18,Motigam,2.59,56.12,40.73,12.8,0,0,53.53,2.59,4.15
Odisha,Nabrangpur,Kosagumuda,19,Pharsaguda,0,11.01,10.88,0,0,0,10.88,0.13,1.34
Odisha,Nabrangpur,Kosagumuda,20,Ponduguda,1.42,30.69,24.45,4.83,0,0,29.27,1.42,0.53
Odisha,Nabrangpur,Kosagumuda,21,Rajoda,0.14,25.75,22.67,2.86,0,0,25.53,0.22,1.69
Odisha,Nabrangpur,Kosagumuda,22,Sanamda,0.8,16.99,15.9,0.27,0,0,16.17,0.83,2.91
Odisha,Nabrangpur,Kosagumuda,23,Sontoshpur,0.28,48.19,40.81,7.1,0,0,47.91,0.28,1.21
Odisha,Nabrangpur,Kosagumuda,24,Taragam,4.76,29.46,24.72,0,0,0,24.73,4.73,3.04
Odisha,Nabrangpur,Kosagumuda,25,Temera,2.83,29.59,24.25,2.51,0,0,26.76,2.83,0
Odisha,Nabrangpur,Kosagumuda,26,Ukiapalli,0.47,36.33,35.84,0,0,0,35.84,0.49,1.29
Odisha,Nabrangpur,Kosagumuda,,Total,22.64,776.54,678.42,74.8,0,0,753.22,23.33,47.82
Odisha,Nabrangpur,Kosagumuda,,Block Level Line Deptt.,-271.95,-271.95,238.78,90.71,0,0,329.5,-601.45,16.07
Odisha,Nabrangpur,Kosagumuda,,Po,106.93,468.86,0,NA,NA,33.38,33.38,435.48,NA
Odisha,Nabrangpur,Kosagumuda,,Grand Total,-142.39,973.45,917.2,165.51,0,33.38,1116.1,-142.64,63.89
Odisha,Nabrangpur,Nabarangpur,1,Agnipur,0.45,27.19,25.52,1.22,0,0,26.75,0.45,0.2
Odisha,Nabrangpur,Nabarangpur,2,Baghsiuni,3.84,39.75,28.65,7.35,0,0,36,3.75,0.3
Odisha,Nabrangpur,Nabarangpur,3,Basini,1.16,31.56,29.24,1.16,0,0,30.4,1.16,0.27
Odisha,Nabrangpur,Nabarangpur,4,Bhatrasiuni,1.42,30.96,28.25,1.31,0,0,29.56,1.4,0.18
Odisha,Nabrangpur,Nabarangpur,5,Bikrampur,0.67,32.51,28.01,3.88,0,0,31.89,0.62,0.29
Odisha,Nabrangpur,Nabarangpur,6,Bodokumuli,2.85,80.08,39.4,37.78,0,0,77.19,2.89,0.31
Odisha,Nabrangpur,Nabarangpur,7,Bodomosigam,-0.51,41.85,42.31,0.03,0,0,42.34,-0.49,0.39
