s_state,s_district,s_block,Sl.No,s_gp,SC,ST,Minority,Others,Total,s_id,updated_district_name,updated_block_name,updated_gp_name
odisha,anugul,banarpal,21,kulad,0.3,0,0,2.4,2.7,79,anugul,banarpal,kulad
odisha,anugul,banarpal,22,kumunda,3.1,0,0,4.8,7.9,80,anugul,banarpal,kumunda
odisha,anugul,banarpal,23,kurudol,6.6,0,0,6,12.6,81,anugul,banarpal,kurudol
odisha,anugul,banarpal,24,mahidhar pur,11.9,0,0,39.3,51.2,82,anugul,banarpal,mahidhar pur
odisha,anugul,banarpal,25,nuahata,3.3,0,0,2.7,6,83,anugul,banarpal,nuahata
odisha,anugul,banarpal,26,raniguda jungle,4.1,0,0,0.5,4.6,84,anugul,banarpal,raniguda jungle
odisha,anugul,banarpal,27,sankerjanga,4.1,0,0,0.6,4.7,85,anugul,banarpal,sankerjanga
odisha,anugul,banarpal,28,santarapur,8.2,0,0,29.8,38,86,anugul,banarpal,santarapur
odisha,anugul,banarpal,29,santarapur(kha),1.1,1.2,0,29.2,31.5,87,anugul,banarpal,santarapur(kha)
odisha,anugul,banarpal,30,shakosingha,0.4,0,0,0,0.4,88,anugul,banarpal,shakosingha
odisha,anugul,banarpal,31,talamul,3.2,5.9,0,13.8,22.9,89,anugul,banarpal,talamul
odisha,anugul,banarpal,32,talamul sasan,13.4,0.3,0,28.1,41.8,90,anugul,banarpal,talamul sasan
odisha,anugul,banarpal,33,tubey,15.6,0.6,0,53.3,69.5,91,anugul,banarpal,tubey
odisha,anugul,banarpal,34,tulasipal,7.2,0.3,0,19.2,26.7,92,anugul,banarpal,tulasipal
odisha,anugul,banarpal,35,turanga,10.1,0,0,3,13.1,93,anugul,banarpal,turanga
odisha,anugul,chhendipada,1,bagedia,1,1.5,0,3.2,5.7,94,anugul,chhendipada,bagedia
odisha,anugul,chhendipada,2,balipata,29,49.7,0,61.9,140.6,95,anugul,chhendipada,balipata
odisha,anugul,chhendipada,3,barapada,2.4,0.3,0,2.6,5.3,96,anugul,chhendipada,barapada
odisha,anugul,chhendipada,4,barasahi,3.5,0,0,3.5,7,97,anugul,chhendipada,barasahi
odisha,anugul,chhendipada,5,brahmanbil,12.2,0,0,9.9,22.1,98,anugul,chhendipada,brahmanbil
