g_match_id,s_id,g_district,district_mapped,g_block,block_mapped,g_gp,gp_mapped,g_ac_id,g_ac,g_pc,s_state,s_district,s_block,Number of Gram Panchayats,s_gp,Openning Balance for FY 2018-19,Total Fund Available for the FY 2018-19,Total Expenditure on Wages for FY 2018-19,Total Expenditure on Materials for FY 2018-19,Total Expenditure on Tax for FY 2018-19,Total Expenditure on Admin Expenses  for FY 2018-19,Grand Total Expenditure for FY 2018-19,Total Unspent Balance for FY 2018-19,Total Payment Due for FY 2018-19,updated_district_name,updated_block_name,updated_gp_name
56,4756,baragarh,yes,padampur,yes,melchhamunda,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,18,melchhamunda,1.64,14.39,11.9,1.25,0,0,13.16,1.23,0.01,baragarh,padampur,melchhamunda
57,4759,baragarh,yes,padampur,yes,sargibahal,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,21,sargibahal,1,21.62,15.07,7.88,0,0,22.95,-1.33,0.05,baragarh,padampur,sargibahal
58,4754,baragarh,yes,padampur,yes,loharpali,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,16,loharpali,1.15,17.22,18.68,1.41,0.06,0,20.15,-2.93,0.02,baragarh,padampur,loharpali
59,4706,baragarh,yes,gaisilet,yes,buromunda,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,1,buromunda,0,44.52,29.89,15.28,0.58,0,45.74,-1.22,0.11,baragarh,gaisilet,buromunda
60,4707,baragarh,yes,gaisilet,yes,chantipali,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,2,chantipali,2.54,28.79,24.56,1.93,0,0,26.49,2.29,0.09,baragarh,gaisilet,chantipali
61,4708,baragarh,yes,gaisilet,yes,chikhili,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,3,chikhili,0.06,11.57,11.67,0,0,0,11.67,-0.1,0,baragarh,gaisilet,chikhili
62,4709,baragarh,yes,gaisilet,yes,dangbahal,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,4,dangbahal,0.63,42.07,23.9,22.33,1.3,0,47.54,-5.47,0.05,baragarh,gaisilet,dangbahal
63,4710,baragarh,yes,gaisilet,yes,firingimal,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,5,firingimal,0,81.62,31.8,45.63,5.17,0,82.6,-0.98,0.07,baragarh,gaisilet,firingimal
64,4711,baragarh,yes,gaisilet,yes,gajsilet,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,6,gajsilet,0.31,16.82,14.55,2.02,0,0,16.57,0.24,0,baragarh,gaisilet,gajsilet
65,4712,baragarh,yes,gaisilet,yes,ganiapali,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,7,ganiapali,1.4,16.1,14.7,0,0,0,14.7,1.4,0,baragarh,gaisilet,ganiapali
66,4713,baragarh,yes,gaisilet,yes,gauramunda,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,8,gauramunda,-11.5,6.81,18.38,0.5,0,0,18.89,-12.07,0.04,baragarh,gaisilet,gauramunda
67,4714,baragarh,yes,gaisilet,yes,guderpali,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,9,guderpali,0,9.55,10.1,0.3,0,0,10.4,-0.85,0,baragarh,gaisilet,guderpali
68,4715,baragarh,yes,gaisilet,yes,jagalpat,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,10,jagalpat,0,15.97,8.16,8.36,0,0,16.52,-0.55,0.03,baragarh,gaisilet,jagalpat
69,4716,baragarh,yes,gaisilet,yes,jamutpali,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,11,jamutpali,0,30.43,14.88,15.19,0.57,0,30.63,-0.21,0.02,baragarh,gaisilet,jamutpali
70,4717,baragarh,yes,gaisilet,yes,kandagad,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,12,kandagad,0,11.69,11.28,3.59,0.24,0,15.1,-3.41,0.02,baragarh,gaisilet,kandagad
71,4718,baragarh,yes,gaisilet,yes,katabahal,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,13,katabahal,0,13.55,10.26,3.59,0.06,0,13.9,-0.35,0.01,baragarh,gaisilet,katabahal
72,4719,baragarh,yes,gaisilet,yes,kathaumal,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,14,kathaumal,0,13.19,14.6,5.92,0.18,0,20.7,-7.51,0.07,baragarh,gaisilet,kathaumal
73,4720,baragarh,yes,gaisilet,yes,kundakhai,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,15,kundakhai,-0.02,6.77,7.06,0.11,0,0,7.17,-0.39,0.1,baragarh,gaisilet,kundakhai
74,4721,baragarh,yes,gaisilet,yes,raisalpadar,yes,2,2 bijepur,bargarh,odisha,baragarh,gaisilet,16,raisalpadar,0,13.01,12.97,0.65,0.05,0,13.67,-0.66,0.05,baragarh,gaisilet,raisalpadar
