g_match_id,s_id,g_district,district_mapped,g_block,block_mapped,g_gp,gp_mapped,g_ac_id,g_ac,g_pc,s_state,s_district,s_block,Number of Gram Panchayats,s_gp,Openning Balance for FY 2018-19,Total Fund Available for the FY 2018-19,Total Expenditure on Wages for FY 2018-19,Total Expenditure on Materials for FY 2018-19,Total Expenditure on Tax for FY 2018-19,Total Expenditure on Admin Expenses  for FY 2018-19,Grand Total Expenditure for FY 2018-19,Total Unspent Balance for FY 2018-19,Total Payment Due for FY 2018-19,updated_district_name,updated_block_name,updated_gp_name
3218,132,bolangir,yes,gudvella,yes,rusuda,yes,69,69 titlagarh,bolangir,odisha,bolangir,gudvella,11,rusuda,0.63,29.25,24.52,3.43,0.68,0,28.62,0.63,0.11,bolangir,gudvella,rusuda
3219,133,bolangir,yes,gudvella,yes,samara,yes,69,69 titlagarh,bolangir,odisha,bolangir,gudvella,12,samara,-0.03,10.94,10.84,0.08,0,0,10.92,0.02,0.03,bolangir,gudvella,samara
3220,134,bolangir,yes,gudvella,yes,tentelkhunti,yes,69,69 titlagarh,bolangir,odisha,bolangir,gudvella,13,tentelkhunti,1.06,19.94,17.67,1.12,0.09,0,18.88,1.06,0.36,bolangir,gudvella,tentelkhunti
3221,299,bolangir,yes,turekela,yes,badbanki,yes,70,70 kantabanji,bolangir,odisha,bolangir,turekela,1,badbanki,-3.33,44.24,35.68,11.03,0.74,0,47.46,-3.22,0.13,bolangir,turekela,badbanki
3222,300,bolangir,yes,turekela,yes,baddakla,yes,70,70 kantabanji,bolangir,odisha,bolangir,turekela,2,baddakla,0.36,22.3,20.34,1.4,0.14,0,21.87,0.42,0.4,bolangir,turekela,baddakla
3223,301,bolangir,yes,turekela,yes,buromal,yes,70,70 kantabanji,bolangir,odisha,bolangir,turekela,3,buromal,0,13.14,13.13,0,0,0,13.13,0.01,0.18,bolangir,turekela,buromal
3224,302,bolangir,yes,turekela,yes,chatuanka,yes,70,70 kantabanji,bolangir,odisha,bolangir,turekela,4,chatuanka,0,4.53,4.51,0,0,0,4.51,0.02,0.1,bolangir,turekela,chatuanka
3225,303,bolangir,yes,turekela,yes,chaulsukha,yes,70,70 kantabanji,bolangir,odisha,bolangir,turekela,5,chaulsukha,0.97,20.99,20.03,0,0,0,20.03,0.96,0,bolangir,turekela,chaulsukha
3226,304,bolangir,yes,turekela,yes,dhamandanga,yes,70,70 kantabanji,bolangir,odisha,bolangir,turekela,6,dhamandanga,-1.04,43.39,44.23,0,0,0,44.23,-0.85,0.46,bolangir,turekela,dhamandanga
3227,305,bolangir,yes,turekela,yes,dholmandal,yes,70,70 kantabanji,bolangir,odisha,bolangir,turekela,7,dholmandal,-5.56,9.8,13.38,1.99,0,0,15.36,-5.56,0.13,bolangir,turekela,dholmandal
3228,306,bolangir,yes,turekela,yes,ghunesh,yes,70,70 kantabanji,bolangir,odisha,bolangir,turekela,8,ghunesh,-2.25,20.34,22.57,0,0,0,22.57,-2.23,0.33,bolangir,turekela,ghunesh
3229,307,bolangir,yes,turekela,yes,halanbhata,yes,70,70 kantabanji,bolangir,odisha,bolangir,turekela,9,halanbhata,1.05,11.24,10.04,0,0,0,10.04,1.2,0.22,bolangir,turekela,halanbhata
3230,308,bolangir,yes,turekela,yes,hial,yes,70,70 kantabanji,bolangir,odisha,bolangir,turekela,10,hial,1.11,15.37,14.18,0,0,0,14.18,1.2,0.07,bolangir,turekela,hial
3231,309,bolangir,yes,turekela,yes,jharni,yes,70,70 kantabanji,bolangir,odisha,bolangir,turekela,11,jharni,0.01,18.7,18.73,0,0,0,18.74,-0.04,0.32,bolangir,turekela,jharni
3232,310,bolangir,yes,turekela,yes,kameimunda,yes,70,70 kantabanji,bolangir,odisha,bolangir,turekela,12,kameimunda,0.95,9.92,8.97,0,0,0,8.97,0.95,0.36,bolangir,turekela,kameimunda
3233,311,bolangir,yes,turekela,yes,kandei,yes,70,70 kantabanji,bolangir,odisha,bolangir,turekela,13,kandei,-2.56,15.79,17.8,0.48,0.02,0,18.31,-2.52,0.03,bolangir,turekela,kandei
3234,312,bolangir,yes,turekela,yes,karuanmunda,yes,70,70 kantabanji,bolangir,odisha,bolangir,turekela,14,karuanmunda,0.74,24.88,24.09,0.05,0,0,24.14,0.74,0.03,bolangir,turekela,karuanmunda
3235,313,bolangir,yes,turekela,yes,khagsa,yes,70,70 kantabanji,bolangir,odisha,bolangir,turekela,15,khagsa,1.41,26.35,24.73,0.15,0,0,24.88,1.47,0.33,bolangir,turekela,khagsa
3236,314,bolangir,yes,turekela,yes,kuibahal,yes,70,70 kantabanji,bolangir,odisha,bolangir,turekela,16,kuibahal,-0.12,31.81,25.43,6.48,0.05,0,31.94,-0.14,0.02,bolangir,turekela,kuibahal
3237,315,bolangir,yes,turekela,yes,mahakhand,yes,70,70 kantabanji,bolangir,odisha,bolangir,turekela,17,mahakhand,-0.55,31.51,27.01,4.73,0.31,0,32.05,-0.54,0.01,bolangir,turekela,mahakhand
3238,316,bolangir,yes,turekela,yes,mahulpati,yes,70,70 kantabanji,bolangir,odisha,bolangir,turekela,18,mahulpati,0.79,12.49,11.7,0,0,0,11.7,0.79,0.01,bolangir,turekela,mahulpati
3239,317,bolangir,yes,turekela,yes,turekela,yes,70,70 kantabanji,bolangir,odisha,bolangir,turekela,19,turekela,-0.23,25.12,24.71,0.62,0,0,25.34,-0.23,0.14,bolangir,turekela,turekela
3240,46,bolangir,yes,bangomunda,yes,alanda,yes,70,70 kantabanji,bolangir,odisha,bolangir,bangomunda,1,alanda,-0.36,90.01,61.38,28.93,0,0,90.3,-0.29,0.37,bolangir,bangomunda,alanda
3241,47,bolangir,yes,bangomunda,yes,arsatula,yes,70,70 kantabanji,bolangir,odisha,bolangir,bangomunda,2,arsatula,-3.17,33.94,27.62,9.49,0,0,37.1,-3.16,0.16,bolangir,bangomunda,arsatula
3242,48,bolangir,yes,bangomunda,yes,baldha,yes,70,70 kantabanji,bolangir,odisha,bolangir,bangomunda,3,baldha,-1.6,47.2,31.93,15.93,0.9,0,48.76,-1.56,0.27,bolangir,bangomunda,baldha
3243,49,bolangir,yes,bangomunda,yes,bangomunda,yes,70,70 kantabanji,bolangir,odisha,bolangir,bangomunda,4,bangomunda,0.06,36.49,22.08,14.29,0,0,36.38,0.11,0.22,bolangir,bangomunda,bangomunda
3244,50,bolangir,yes,bangomunda,yes,belpada,yes,70,70 kantabanji,bolangir,odisha,bolangir,bangomunda,5,belpada,-3.88,64.99,40.54,28.02,0.07,0,68.63,-3.64,0.43,bolangir,bangomunda,belpada
3245,51,bolangir,yes,bangomunda,yes,bhalumunda,yes,70,70 kantabanji,bolangir,odisha,bolangir,bangomunda,6,bhalumunda,2.9,38.22,17.59,17.72,0,0,35.32,2.91,0.26,bolangir,bangomunda,bhalumunda
3246,52,bolangir,yes,bangomunda,yes,bhursagura,yes,70,70 kantabanji,bolangir,odisha,bolangir,bangomunda,7,bhursagura,0,27.18,22.97,4.26,0,0,27.23,-0.04,0.08,bolangir,bangomunda,bhursagura
3247,53,bolangir,yes,bangomunda,yes,bhuslad,yes,70,70 kantabanji,bolangir,odisha,bolangir,bangomunda,8,bhuslad,2.99,75.82,45.89,26.88,0,0,72.76,3.07,0.27,bolangir,bangomunda,bhuslad
3248,54,bolangir,yes,bangomunda,yes,biripali,yes,70,70 kantabanji,bolangir,odisha,bolangir,bangomunda,9,biripali,2.93,11.58,8.66,0,0,0,8.65,2.93,0.12,bolangir,bangomunda,biripali
3249,55,bolangir,yes,bangomunda,yes,chandotara,yes,70,70 kantabanji,bolangir,odisha,bolangir,bangomunda,10,chandotara,2.36,58.5,34.66,21.41,0,0,56.07,2.43,0.1,bolangir,bangomunda,chandotara
3250,56,bolangir,yes,bangomunda,yes,chulifunka,yes,70,70 kantabanji,bolangir,odisha,bolangir,bangomunda,11,chulifunka,4.89,66.29,41.74,19.55,0,0,61.29,5,0.05,bolangir,bangomunda,chulifunka
3251,57,bolangir,yes,bangomunda,yes,dedgaon,yes,70,70 kantabanji,bolangir,odisha,bolangir,bangomunda,12,dedgaon,0.26,54.41,41.08,12.99,0,0,54.07,0.34,0.55,bolangir,bangomunda,dedgaon
3252,58,bolangir,yes,bangomunda,yes,gandharabandh,yes,70,70 kantabanji,bolangir,odisha,bolangir,bangomunda,13,gandharabandh,0,28.7,25.58,9.03,0,0,34.6,-5.89,0.36,bolangir,bangomunda,gandharabandh
3253,59,bolangir,yes,bangomunda,yes,gandharla,yes,70,70 kantabanji,bolangir,odisha,bolangir,bangomunda,14,gandharla,0.5,61.45,44.87,15.94,0,0,60.82,0.63,0.23,bolangir,bangomunda,gandharla
3254,60,bolangir,yes,bangomunda,yes,jamkhunta,yes,70,70 kantabanji,bolangir,odisha,bolangir,bangomunda,15,jamkhunta,4.1,70.09,49.23,16.71,0,0,65.94,4.15,0.28,bolangir,bangomunda,jamkhunta
3255,61,bolangir,yes,bangomunda,yes,jhalap,yes,70,70 kantabanji,bolangir,odisha,bolangir,bangomunda,16,jhalap,0.58,90.95,56.61,33.71,0,0,90.32,0.63,0.21,bolangir,bangomunda,jhalap
3256,62,bolangir,yes,bangomunda,yes,jharial,yes,70,70 kantabanji,bolangir,odisha,bolangir,bangomunda,17,jharial,1.67,18.76,12.58,4.51,0,0,17.09,1.67,0.36,bolangir,bangomunda,jharial
3257,63,bolangir,yes,bangomunda,yes,jurabandh,yes,70,70 kantabanji,bolangir,odisha,bolangir,bangomunda,18,jurabandh,0.83,33.92,24.27,8.73,0,0,33,0.92,0.4,bolangir,bangomunda,jurabandh
3258,64,bolangir,yes,bangomunda,yes,kansil,yes,70,70 kantabanji,bolangir,odisha,bolangir,bangomunda,19,kansil,0,17.85,17.72,0,0,0,17.72,0.13,0.18,bolangir,bangomunda,kansil
3259,65,bolangir,yes,bangomunda,yes,kapilbhata,yes,70,70 kantabanji,bolangir,odisha,bolangir,bangomunda,20,kapilbhata,-0.48,58.14,38.93,19.56,0,0,58.49,-0.35,0.53,bolangir,bangomunda,kapilbhata
3260,66,bolangir,yes,bangomunda,yes,khaira,yes,70,70 kantabanji,bolangir,odisha,bolangir,bangomunda,21,khaira,1,30.7,24.64,4.92,0.15,0,29.7,1,0.21,bolangir,bangomunda,khaira
3261,67,bolangir,yes,bangomunda,yes,kundabutula,yes,70,70 kantabanji,bolangir,odisha,bolangir,bangomunda,22,kundabutula,6.69,32.94,16.69,9.51,0,0,26.2,6.74,0.07,bolangir,bangomunda,kundabutula
3262,68,bolangir,yes,bangomunda,yes,mundapadar,yes,70,70 kantabanji,bolangir,odisha,bolangir,bangomunda,23,mundapadar,-0.04,47.93,36.48,11.44,0,0,47.93,0.01,0.45,bolangir,bangomunda,mundapadar
3263,69,bolangir,yes,bangomunda,yes,sindhekela,yes,70,70 kantabanji,bolangir,odisha,bolangir,bangomunda,24,sindhekela,4.19,45.07,25.4,15.4,0,0,40.79,4.27,0.07,bolangir,bangomunda,sindhekela
3264,70,bolangir,yes,bangomunda,yes,themra,yes,70,70 kantabanji,bolangir,odisha,bolangir,bangomunda,25,themra,-0.21,100.17,67.62,32.58,0,0,100.2,-0.04,2.35,bolangir,bangomunda,themra
3265,71,bolangir,yes,bangomunda,yes,turekela,yes,70,70 kantabanji,bolangir,odisha,bolangir,bangomunda,26,turekela,0,25.43,18.19,7.24,0,0,25.43,0,0.09,bolangir,bangomunda,turekela
3266,176,bolangir,yes,muribahal,yes,badsaimara,yes,70,70 kantabanji,bolangir,odisha,bolangir,muribahal,1,badsaimara,-0.28,31.77,27.57,4.47,0,0,32.04,-0.28,0.13,bolangir,muribahal,badsaimara
3267,177,bolangir,yes,muribahal,yes,bandupala,yes,70,70 kantabanji,bolangir,odisha,bolangir,muribahal,2,bandupala,0,18.06,18.06,0,0,0,18.06,0,0.24,bolangir,muribahal,bandupala
3268,178,bolangir,yes,muribahal,yes,bankel,yes,70,70 kantabanji,bolangir,odisha,bolangir,muribahal,3,bankel,-9.8,28.34,19.72,18.42,0,0,38.14,-9.8,0.62,bolangir,muribahal,bankel
3269,179,bolangir,yes,muribahal,yes,belpadar,yes,70,70 kantabanji,bolangir,odisha,bolangir,muribahal,4,belpadar,-3.12,21.86,21.27,3.71,0,0,24.98,-3.12,0.15,bolangir,muribahal,belpadar
3270,180,bolangir,yes,muribahal,yes,bitabandh,yes,70,70 kantabanji,bolangir,odisha,bolangir,muribahal,5,bitabandh,0,30.03,17.71,11.92,0,0,29.64,0.39,0.92,bolangir,muribahal,bitabandh
3271,181,bolangir,yes,muribahal,yes,chalki,yes,70,70 kantabanji,bolangir,odisha,bolangir,muribahal,6,chalki,-7.33,23.68,16.91,14.1,0,0,31.01,-7.33,0.46,bolangir,muribahal,chalki
3272,182,bolangir,yes,muribahal,yes,chanabahal,yes,70,70 kantabanji,bolangir,odisha,bolangir,muribahal,7,chanabahal,-12.12,13.5,25.62,0,0,0,25.62,-12.12,0.51,bolangir,muribahal,chanabahal
3273,183,bolangir,yes,muribahal,yes,dangarpada,yes,70,70 kantabanji,bolangir,odisha,bolangir,muribahal,8,dangarpada,0,33.13,25.64,7.49,0,0,33.13,0,0.26,bolangir,muribahal,dangarpada
3274,184,bolangir,yes,muribahal,yes,gadgadabahal,yes,70,70 kantabanji,bolangir,odisha,bolangir,muribahal,9,gadgadabahal,0,22.41,13.23,9.19,0,0,22.41,0,0.47,bolangir,muribahal,gadgadabahal
3275,185,bolangir,yes,muribahal,yes,ganrei,yes,70,70 kantabanji,bolangir,odisha,bolangir,muribahal,10,ganrei,-17.64,44.27,36.34,25.57,0,0,61.9,-17.64,0.2,bolangir,muribahal,ganrei
3276,186,bolangir,yes,muribahal,yes,goimund,yes,70,70 kantabanji,bolangir,odisha,bolangir,muribahal,11,goimund,0,43.37,24.75,18.61,0,0,43.37,0,0.19,bolangir,muribahal,goimund
3277,187,bolangir,yes,muribahal,yes,gudighat,yes,70,70 kantabanji,bolangir,odisha,bolangir,muribahal,12,gudighat,-9.46,8.17,13.04,4.59,0,0,17.63,-9.46,0.6,bolangir,muribahal,gudighat
3278,188,bolangir,yes,muribahal,yes,haldi,yes,70,70 kantabanji,bolangir,odisha,bolangir,muribahal,13,haldi,-2.31,90.86,57.58,35.57,0,0,93.15,-2.29,0.11,bolangir,muribahal,haldi
3279,189,bolangir,yes,muribahal,yes,ichhapada,yes,70,70 kantabanji,bolangir,odisha,bolangir,muribahal,14,ichhapada,-4.89,58.12,44.8,18.28,0,0,63.08,-4.96,0.06,bolangir,muribahal,ichhapada
3280,190,bolangir,yes,muribahal,yes,lakhana,yes,70,70 kantabanji,bolangir,odisha,bolangir,muribahal,15,lakhana,-3.05,16.21,15.21,4.05,0,0,19.26,-3.05,0.53,bolangir,muribahal,lakhana
3281,191,bolangir,yes,muribahal,yes,lebda,yes,70,70 kantabanji,bolangir,odisha,bolangir,muribahal,16,lebda,0.03,50.46,37.27,13.14,0,0,50.41,0.05,0,bolangir,muribahal,lebda
3282,192,bolangir,yes,muribahal,yes,malisira,yes,70,70 kantabanji,bolangir,odisha,bolangir,muribahal,17,malisira,-0.66,49.4,33.82,16.16,0,0,49.97,-0.57,0.9,bolangir,muribahal,malisira
3283,193,bolangir,yes,muribahal,yes,muribahal,yes,70,70 kantabanji,bolangir,odisha,bolangir,muribahal,18,muribahal,0,25.87,18.6,7.27,0,0,25.87,0,0.49,bolangir,muribahal,muribahal
3284,194,bolangir,yes,muribahal,yes,patrapali,yes,70,70 kantabanji,bolangir,odisha,bolangir,muribahal,19,patrapali,-10.08,50.79,35.96,24.89,0,0,60.86,-10.07,0.54,bolangir,muribahal,patrapali
3285,195,bolangir,yes,muribahal,yes,patrapali- kha,yes,70,70 kantabanji,bolangir,odisha,bolangir,muribahal,20,patrapali- kha,0,28.05,16.05,11.99,0,0,28.05,0,0.18,bolangir,muribahal,patrapali- kha
3286,196,bolangir,yes,muribahal,yes,tentelkhunti,yes,70,70 kantabanji,bolangir,odisha,bolangir,muribahal,21,tentelkhunti,-1.53,21.63,19.32,3.84,0,0,23.16,-1.53,0.21,bolangir,muribahal,tentelkhunti
3287,197,bolangir,yes,muribahal,yes,tupaudar,yes,70,70 kantabanji,bolangir,odisha,bolangir,muribahal,22,tupaudar,0.44,46.99,31.7,15.05,0,0,46.75,0.25,1.26,bolangir,muribahal,tupaudar
3288,3197,nuapara,yes,nuapada,yes,amanara,yes,71,71 nuapada,kalahandi,odisha,nuapara,nuapada,1,amanara,7.6,47.82,30.5,8.79,0.94,0,40.22,7.6,0.25,nuapara,nuapada,amanara
3289,3198,nuapara,yes,nuapada,yes,amsena,yes,71,71 nuapada,kalahandi,odisha,nuapara,nuapada,2,amsena,-1.21,18.85,14.1,5.35,0.2,0,19.65,-0.8,0.8,nuapara,nuapada,amsena
3290,3199,nuapara,yes,nuapada,yes,beltukri,yes,71,71 nuapada,kalahandi,odisha,nuapara,nuapada,3,beltukri,-1.46,1.67,3.01,0,0,0,3.01,-1.34,0.14,nuapara,nuapada,beltukri
3291,3200,nuapara,yes,nuapada,yes,bhainsatal,yes,71,71 nuapada,kalahandi,odisha,nuapara,nuapada,4,bhainsatal,0,5.73,5.7,0,0,0,5.7,0.03,0.3,nuapara,nuapada,bhainsatal
3292,3201,nuapara,yes,nuapada,yes,bhaleswar,yes,71,71 nuapada,kalahandi,odisha,nuapara,nuapada,5,bhaleswar,8.47,8.47,1.41,0.43,0.01,0,1.85,6.62,0,nuapara,nuapada,bhaleswar
3293,3202,nuapara,yes,nuapada,yes,bhanpur,yes,71,71 nuapada,kalahandi,odisha,nuapara,nuapada,6,bhanpur,0,15,14.56,5.51,0.52,0,20.6,-5.61,0.25,nuapara,nuapada,bhanpur
3294,3203,nuapara,yes,nuapada,yes,bharuamunda,yes,71,71 nuapada,kalahandi,odisha,nuapara,nuapada,7,bharuamunda,-0.54,13.45,11.91,2.04,0,0,13.95,-0.51,0.07,nuapara,nuapada,bharuamunda
3295,3204,nuapara,yes,nuapada,yes,biromal,yes,71,71 nuapada,kalahandi,odisha,nuapara,nuapada,8,biromal,4.02,13.46,10.84,0,0,0,10.84,2.62,0.29,nuapara,nuapada,biromal
3296,3205,nuapara,yes,nuapada,yes,bisora,yes,71,71 nuapada,kalahandi,odisha,nuapara,nuapada,9,bisora,8.56,39.64,28.66,2.37,0.12,0,31.14,8.5,0.21,nuapara,nuapada,bisora
3297,3206,nuapara,yes,nuapada,yes,boirbhadi,yes,71,71 nuapada,kalahandi,odisha,nuapara,nuapada,10,boirbhadi,1.07,25.03,23.68,0.05,0,0,23.73,1.3,0,nuapara,nuapada,boirbhadi
3298,3207,nuapara,yes,nuapada,yes,budhipali,yes,71,71 nuapada,kalahandi,odisha,nuapara,nuapada,11,budhipali,-0.5,15.34,11.61,4,0,0,15.6,-0.27,0.27,nuapara,nuapada,budhipali
3299,3208,nuapara,yes,nuapada,yes,chulabhat,yes,71,71 nuapada,kalahandi,odisha,nuapara,nuapada,12,chulabhat,0.69,32.05,30.88,0,0,0,30.88,1.17,0.61,nuapara,nuapada,chulabhat
3300,3209,nuapara,yes,nuapada,yes,darlimunda,yes,71,71 nuapada,kalahandi,odisha,nuapara,nuapada,13,darlimunda,1.06,24.42,23.31,0,0,0,23.31,1.11,0.26,nuapara,nuapada,darlimunda
3301,3210,nuapara,yes,nuapada,yes,dharambandha,yes,71,71 nuapada,kalahandi,odisha,nuapara,nuapada,14,dharambandha,0.93,33.78,28.34,4.25,0,0,32.59,1.19,0.15,nuapara,nuapada,dharambandha
3302,3211,nuapara,yes,nuapada,yes,dumarpani,yes,71,71 nuapada,kalahandi,odisha,nuapara,nuapada,15,dumarpani,0.83,23.99,21.62,1.39,0.02,0,23.02,0.97,0.89,nuapara,nuapada,dumarpani
3303,3212,nuapara,yes,nuapada,yes,godfula,yes,71,71 nuapada,kalahandi,odisha,nuapara,nuapada,16,godfula,0.2,29.11,28.27,0.58,0,0,28.85,0.26,0.21,nuapara,nuapada,godfula
3304,3213,nuapara,yes,nuapada,yes,jampani,yes,71,71 nuapada,kalahandi,odisha,nuapara,nuapada,17,jampani,1.66,14.24,12.5,0,0,0,12.5,1.74,0.21,nuapara,nuapada,jampani
3305,3214,nuapara,yes,nuapada,yes,kadomeri,yes,71,71 nuapada,kalahandi,odisha,nuapara,nuapada,18,kadomeri,0,4.2,7.71,14.63,1.55,0,23.89,-19.68,0.1,nuapara,nuapada,kadomeri
3306,3215,nuapara,yes,nuapada,yes,kendubahara,yes,71,71 nuapada,kalahandi,odisha,nuapara,nuapada,19,kendubahara,-0.1,33.29,26.85,6.24,0.12,0,33.22,0.07,0.21,nuapara,nuapada,kendubahara
3307,3216,nuapara,yes,nuapada,yes,kermeli,yes,71,71 nuapada,kalahandi,odisha,nuapara,nuapada,20,kermeli,0.58,9.42,8.09,0.65,0,0,8.74,0.69,0.39,nuapara,nuapada,kermeli
3308,3217,nuapara,yes,nuapada,yes,khairani,yes,71,71 nuapada,kalahandi,odisha,nuapara,nuapada,21,khairani,0,13.15,14.35,5.27,0.39,0,20.01,-6.86,0.23,nuapara,nuapada,khairani
3309,3218,nuapara,yes,nuapada,yes,khutbanbhera,yes,71,71 nuapada,kalahandi,odisha,nuapara,nuapada,22,khutbanbhera,0.56,32.43,28.71,2.8,0.3,0,31.81,0.62,0.25,nuapara,nuapada,khutbanbhera
3310,3219,nuapara,yes,nuapada,yes,kodomeri,yes,71,71 nuapada,kalahandi,odisha,nuapara,nuapada,23,kodomeri,-0.23,11.55,11.76,0,0,0,11.76,-0.2,0.57,nuapara,nuapada,kodomeri
3311,3220,nuapara,yes,nuapada,yes,kotenchuan,yes,71,71 nuapada,kalahandi,odisha,nuapara,nuapada,24,kotenchuan,-0.35,18.04,17.87,0,0,0,17.87,0.17,0.4,nuapara,nuapada,kotenchuan
3312,3221,nuapara,yes,nuapada,yes,kuliabandha,yes,71,71 nuapada,kalahandi,odisha,nuapara,nuapada,25,kuliabandha,0.96,33.76,32.71,0.09,0,0,32.8,0.96,0.07,nuapara,nuapada,kuliabandha
3313,3222,nuapara,yes,nuapada,yes,motanuapada,yes,71,71 nuapada,kalahandi,odisha,nuapara,nuapada,26,motanuapada,2.15,41.05,35.68,3.24,0.17,0,39.08,1.97,0.17,nuapara,nuapada,motanuapada
3314,3223,nuapara,yes,nuapada,yes,parkod,yes,71,71 nuapada,kalahandi,odisha,nuapara,nuapada,27,parkod,6.8,18.86,11.72,0,0,0,11.72,7.14,0.6,nuapara,nuapada,parkod
3315,3224,nuapara,yes,nuapada,yes,sahipala,yes,71,71 nuapada,kalahandi,odisha,nuapara,nuapada,28,sahipala,4.84,13.97,8.96,0.03,0,0,8.99,4.97,0,nuapara,nuapada,sahipala
3316,3225,nuapara,yes,nuapada,yes,saliha,yes,71,71 nuapada,kalahandi,odisha,nuapara,nuapada,29,saliha,-0.27,7.88,8.02,0,0,0,8.02,-0.14,0.39,nuapara,nuapada,saliha
3317,3226,nuapara,yes,nuapada,yes,sarabong,yes,71,71 nuapada,kalahandi,odisha,nuapara,nuapada,30,sarabong,6.76,23.35,14.56,1.75,0.21,0,16.52,6.83,0.29,nuapara,nuapada,sarabong
3318,3227,nuapara,yes,nuapada,yes,tanwat,yes,71,71 nuapada,kalahandi,odisha,nuapara,nuapada,31,tanwat,-0.58,34,31.62,2.77,0.29,0,34.68,-0.68,0.1,nuapara,nuapada,tanwat
3319,3165,nuapara,yes,komna,yes,agren,yes,71,71 nuapada,kalahandi,odisha,nuapara,komna,1,agren,-0.23,19.85,18.96,1.08,0,0,20.04,-0.19,0.33,nuapara,komna,agren
3320,3166,nuapara,yes,komna,yes,bhela,yes,71,71 nuapada,kalahandi,odisha,nuapara,komna,2,bhela,-0.13,22.13,16.09,6.17,0,0,22.26,-0.13,0.15,nuapara,komna,bhela
3321,3167,nuapara,yes,komna,yes,budhikomna,yes,71,71 nuapada,kalahandi,odisha,nuapara,komna,3,budhikomna,0,30.12,26.93,3.19,0,0,30.12,0,1.47,nuapara,komna,budhikomna
3322,3168,nuapara,yes,komna,yes,darlipada,yes,71,71 nuapada,kalahandi,odisha,nuapara,komna,4,darlipada,3.83,16.52,12.64,0.06,0,0,12.7,3.83,0.15,nuapara,komna,darlipada
3323,3169,nuapara,yes,komna,yes,deodhara,yes,71,71 nuapada,kalahandi,odisha,nuapara,komna,5,deodhara,0,3.36,2.38,1.7,0,0,4.08,-0.72,0.08,nuapara,komna,deodhara
3324,3170,nuapara,yes,komna,yes,dhorlamunda,yes,71,71 nuapada,kalahandi,odisha,nuapara,komna,6,dhorlamunda,0,19.37,18.13,1.24,0,0,19.37,0,0.18,nuapara,komna,dhorlamunda
3325,3171,nuapara,yes,komna,yes,gandamer,yes,71,71 nuapada,kalahandi,odisha,nuapara,komna,7,gandamer,-2.09,25.57,23.03,4.47,0,0,27.5,-1.93,2.37,nuapara,komna,gandamer
3326,3172,nuapara,yes,komna,yes,jadamunda,yes,71,71 nuapada,kalahandi,odisha,nuapara,komna,8,jadamunda,-0.49,18.2,18.62,0,0,0,18.62,-0.42,0.05,nuapara,komna,jadamunda
3327,3173,nuapara,yes,komna,yes,jatgarh,yes,71,71 nuapada,kalahandi,odisha,nuapara,komna,9,jatgarh,-0.07,13.94,13.67,0.32,0,0,13.99,-0.06,0.2,nuapara,komna,jatgarh
3328,3174,nuapara,yes,komna,yes,jhagrahi,yes,71,71 nuapada,kalahandi,odisha,nuapara,komna,10,jhagrahi,-8.09,16.42,19.67,3.98,0,0,23.65,-7.24,0.03,nuapara,komna,jhagrahi
3329,3175,nuapara,yes,komna,yes,kandetara,yes,71,71 nuapada,kalahandi,odisha,nuapara,komna,11,kandetara,0.56,32.81,29.88,2.36,0,0,32.25,0.56,0.1,nuapara,komna,kandetara
3330,3176,nuapara,yes,komna,yes,komna,yes,71,71 nuapada,kalahandi,odisha,nuapara,komna,12,komna,2.16,42.39,34.09,6.14,0,0,40.23,2.16,0.2,nuapara,komna,komna
3331,3177,nuapara,yes,komna,yes,konabira,yes,71,71 nuapada,kalahandi,odisha,nuapara,komna,13,konabira,0.25,51.15,41.68,9.04,0.12,0,50.84,0.31,0.53,nuapara,komna,konabira
3332,3178,nuapara,yes,komna,yes,kureswar,yes,71,71 nuapada,kalahandi,odisha,nuapara,komna,14,kureswar,-15.81,12.48,25.94,2.36,0,0,28.29,-15.81,0.07,nuapara,komna,kureswar
3333,3179,nuapara,yes,komna,yes,kurumpuri,yes,71,71 nuapada,kalahandi,odisha,nuapara,komna,15,kurumpuri,-0.64,26.19,26.25,0.58,0,0,26.83,-0.64,0.09,nuapara,komna,kurumpuri
3334,3180,nuapara,yes,komna,yes,lakhna,yes,71,71 nuapada,kalahandi,odisha,nuapara,komna,16,lakhna,-0.23,24.26,22.62,1.88,0,0,24.5,-0.23,0.73,nuapara,komna,lakhna
3335,3181,nuapara,yes,komna,yes,maniguda,yes,71,71 nuapada,kalahandi,odisha,nuapara,komna,17,maniguda,0,17.03,15.32,1.71,0,0,17.03,0,0.31,nuapara,komna,maniguda
3336,3182,nuapara,yes,komna,yes,michhapali,yes,71,71 nuapada,kalahandi,odisha,nuapara,komna,18,michhapali,-1.63,7.69,9.23,0,0,0,9.23,-1.54,0.02,nuapara,komna,michhapali
3337,3183,nuapara,yes,komna,yes,mundapala,yes,71,71 nuapada,kalahandi,odisha,nuapara,komna,19,mundapala,-5.19,8.11,13.3,0,0,0,13.3,-5.19,0.23,nuapara,komna,mundapala
3338,3184,nuapara,yes,komna,yes,nuagaon,yes,71,71 nuapada,kalahandi,odisha,nuapara,komna,20,nuagaon,-1.15,46.69,28.75,18.99,0,0,47.75,-1.06,0.49,nuapara,komna,nuagaon
