g_match_id,s_id,g_district,district_mapped,g_block,block_mapped,g_gp,gp_mapped,g_ac_id,g_ac,g_pc,s_state,s_district,s_block,Number of Gram Panchayats,s_gp,Opening Balance For FY 2019-20,Total Fund Available For  FY 2019-20,Total Expenditure on Wages For FY 2019-20,Total Expenditure On Materials For FY 2019-20,Total Tax Paid For FY 2019-20,Total Admin Expenses  For FY 2019-20,Grand Total Expenditure For FY 2019-20,Total Unspent Balance For FY 2019-20,Total Payment Due For FY 2019-20,updated_district_name,updated_block_name,updated_gp_name
38,4752,baragarh,yes,padampur,yes,kansingha,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,14,kansingha,0.61,41.55,32.9,9.76,0.65,0,43.3,-1.74,0.35,baragarh,padampur,kansingha
39,4753,baragarh,yes,padampur,yes,khaliapali,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,15,khaliapali,0.42,37.48,34.13,8.33,0.65,0,43.1,-5.63,0.15,baragarh,padampur,khaliapali
40,4744,baragarh,yes,padampur,yes,charpali,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,6,charpali,1.94,43.21,23.18,18.02,1.73,0,42.93,0.28,0.07,baragarh,padampur,charpali
41,4750,baragarh,yes,padampur,yes,jamartala,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,12,jamartala,0.57,36.9,28.36,7.85,0.26,0,36.47,0.43,0.02,baragarh,padampur,jamartala
42,4749,baragarh,yes,padampur,yes,jamala,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,11,jamala,0.79,29.13,27.82,3.33,0,0,31.16,-2.02,0.01,baragarh,padampur,jamala
43,4748,baragarh,yes,padampur,yes,gyan,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,10,gyan,0,11.76,10.84,1.04,0,0,11.88,-0.12,0.07,baragarh,padampur,gyan
44,4760,baragarh,yes,padampur,yes,tal,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,22,tal,0,24.12,23.11,2.02,0,0,25.13,-1.01,0.14,baragarh,padampur,tal
45,4747,baragarh,yes,padampur,yes,dangaghat,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,9,dangaghat,0,14.09,13.03,1.61,0,0,14.64,-0.55,0.02,baragarh,padampur,dangaghat
46,4745,baragarh,yes,padampur,yes,dahigaon,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,7,dahigaon,0,51.49,40.45,13.72,1.33,0,55.49,-4,0.06,baragarh,padampur,dahigaon
47,4746,baragarh,yes,padampur,yes,dahita,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,8,dahita,-0.01,47.69,44.75,3.74,0,0,48.5,-0.8,0.04,baragarh,padampur,dahita
48,4757,baragarh,yes,padampur,yes,palsapali,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,19,palsapali,0.54,62.23,58.27,3.64,0,0,61.91,0.32,0.22,baragarh,padampur,palsapali
