g_match_id,s_id,g_district,district_mapped,g_block,block_mapped,g_gp,gp_mapped,g_ac_id,g_ac,g_pc,s_state,s_district,s_block,Sl.No,s_gp,SC,ST,Minority,Others,Total,updated_district_name,updated_block_name,updated_gp_name
16,793,baragarh,yes,paikmal,yes,bartunda,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,2,bartunda,19.3,115.6,3.3,28.8,167,baragarh,paikmal,bartunda
17,794,baragarh,yes,paikmal,yes,bhengarajpur,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,3,bhengarajpur,55.7,159.7,0,49.5,264.9,baragarh,paikmal,bhengarajpur
18,795,baragarh,yes,paikmal,yes,bhubaneswarpur,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,4,bhubaneswarpur,17.6,133.3,0,27.1,178,baragarh,paikmal,bhubaneswarpur
19,796,baragarh,yes,paikmal,yes,bukramunda,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,5,bukramunda,18.2,74.9,0,25.6,118.7,baragarh,paikmal,bukramunda
20,797,baragarh,yes,paikmal,yes,chardapali,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,6,chardapali,13.2,77.7,0,21.1,112,baragarh,paikmal,chardapali
21,798,baragarh,yes,paikmal,yes,chhendeikela,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,7,chhendeikela,22.8,120.4,0,25.8,169,baragarh,paikmal,chhendeikela
22,799,baragarh,yes,paikmal,yes,chhetgaon,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,8,chhetgaon,15.3,35.6,0,47.9,98.8,baragarh,paikmal,chhetgaon
23,800,baragarh,yes,paikmal,yes,jamseth,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,9,jamseth,29.7,129.9,0,9.4,169,baragarh,paikmal,jamseth
24,801,baragarh,yes,paikmal,yes,jharband,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,10,jharband,16.6,172.4,0,8.6,197.6,baragarh,paikmal,jharband
25,802,baragarh,yes,paikmal,yes,jhitiki,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,11,jhitiki,20.9,176.3,0,19.2,216.4,baragarh,paikmal,jhitiki
