State,District,Block,Sl. No,Name of Gram Panchayat,SC,ST,Minority,Others,Total
Odisha,Baragarh,Barpali,8,Kainsir,18.7,0.9,0,29,48.6
Odisha,Baragarh,Barpali,9,Kanbar,9.3,0,0,29.6,38.9
Odisha,Baragarh,Barpali,10,Katapali,16,6.7,0,41.4,64.1
Odisha,Baragarh,Barpali,11,Khemasara,10.2,12.2,0,14.6,37
Odisha,Baragarh,Barpali,12,Kumbhari,24.5,9.6,0,68.5,102.6
Odisha,Baragarh,Barpali,13,Kusanpuri,7.4,31.6,0,33.7,72.7
Odisha,Baragarh,Barpali,14,Lemda,4.9,5.9,0,26.6,37.4
Odisha,Baragarh,Barpali,15,Mahada,1.3,6.6,0,26.5,34.4
Odisha,Baragarh,Barpali,16,Mahulpali,13.2,20,0,18.7,51.9
Odisha,Baragarh,Barpali,17,Patkulunda,53.1,4,0,44.1,101.2
Odisha,Baragarh,Barpali,18,Raxa,9.2,1.3,0,31.1,41.6
Odisha,Baragarh,Barpali,19,Remta,3,1.7,0,4.3,9
Odisha,Baragarh,Barpali,20,Satalama,34.7,4.8,0,41.9,81.4
Odisha,Baragarh,Barpali,21,Tileimal,19,3,0,45.1,67.1
Odisha,Baragarh,Barpali,22,Tinkani,25.4,4.5,0,48.3,78.2
Odisha,Baragarh,Barpali,23,Tulandi,8.8,12.8,0,10,31.6
Odisha,Baragarh,Barpali,,Total,335,174.4,0,721.9,1231.3
Odisha,Baragarh,Bhatli,1,Bhadigaon,33.8,45.9,0,30.2,109.9
Odisha,Baragarh,Bhatli,2,Bhatli,24.8,10.4,0,61.4,96.6
Odisha,Baragarh,Bhatli,3,Chadeigaon,50.7,3.6,0,43.3,97.6
Odisha,Baragarh,Bhatli,4,Damalpali,14.1,12.8,0,48.6,75.5
Odisha,Baragarh,Bhatli,5,Halupali,33.3,24.6,0,54.1,112
Odisha,Baragarh,Bhatli,6,Hatisar,38.1,49.6,0,39.2,126.9
Odisha,Baragarh,Bhatli,7,Kamgaon,45.4,63.5,0,53.6,162.5
Odisha,Baragarh,Bhatli,8,Kashaipali,22.5,24.1,0,37.7,84.3
Odisha,Baragarh,Bhatli,9,Kelendupali,62.6,102.7,0,78.1,243.4
Odisha,Baragarh,Bhatli,10,Kharmunda,28.5,25.9,0,28.5,82.9
Odisha,Baragarh,Bhatli,11,Mulbar,45.2,99.7,0,45.6,190.5
Odisha,Baragarh,Bhatli,12,Narangpur,46.9,127.3,0,66.7,240.9
Odisha,Baragarh,Bhatli,13,Nuagarh,21.2,13.9,0,49.9,85
Odisha,Baragarh,Bhatli,14,Sukuda,11.1,7,0,64.3,82.4
Odisha,Baragarh,Bhatli,15,Tejagula,26.9,18.7,0,23.8,69.4
Odisha,Baragarh,Bhatli,16,Urduna,9.8,11.6,0,51.5,72.9
Odisha,Baragarh,Bhatli,,Total,514.9,641.3,0,776.5,1932.7
Odisha,Baragarh,Bheden,1,Ainlapali,39.3,33.6,0,58.6,131.5
Odisha,Baragarh,Bheden,2,Areigudi,5.6,3.8,0,29.3,38.7
