s_state,s_district,s_block,Sl. No,s_gp,SC,ST,Minority,Others,Total,s_id,updated_district_name,updated_block_name,updated_gp_name
odisha,anugul,kaniha,6,bijigol,2.5,0.7,0,0.7,3.9,133,anugul,kaniha,bijigol
odisha,anugul,kaniha,7,biru,18.3,13.3,0,6.9,38.5,134,anugul,kaniha,biru
odisha,anugul,kaniha,8,burukuna,31.2,5.6,0,51.3,88.1,135,anugul,kaniha,burukuna
odisha,anugul,kaniha,9,dalaka,14.4,1.2,0,8.6,24.2,136,anugul,kaniha,dalaka
odisha,anugul,kaniha,10,derang,1.4,1,0,0.3,2.7,137,anugul,kaniha,derang
odisha,anugul,kaniha,11,gadasila,0,0,0,1.2,1.2,138,anugul,kaniha,gadasila
odisha,anugul,kaniha,12,gandamala,1.7,0,0,1.5,3.2,139,anugul,kaniha,gandamala
odisha,anugul,kaniha,13,hanumanpur,4.2,9,0,0,13.2,140,anugul,kaniha,hanumanpur
odisha,anugul,kaniha,14,hariharpur,10.1,0.3,0,9.4,19.8,141,anugul,kaniha,hariharpur
odisha,anugul,kaniha,15,kakudia,4.7,0,0,0.7,5.4,142,anugul,kaniha,kakudia
odisha,anugul,kaniha,16,kamarei,0.3,0.7,0,0.9,1.9,143,anugul,kaniha,kamarei
odisha,anugul,kaniha,17,kaniha,0,0,0,0.3,0.3,144,anugul,kaniha,kaniha
odisha,anugul,kaniha,18,karnapal,3.3,0.3,0,19.9,23.5,145,anugul,kaniha,karnapal
odisha,anugul,kaniha,19,kulei,3.7,0,0,3.8,7.5,146,anugul,kaniha,kulei
odisha,anugul,kaniha,20,kuluma,6.2,1,0,0.7,7.9,147,anugul,kaniha,kuluma
odisha,anugul,kaniha,21,parabil,6.2,0,0,10.8,17,148,anugul,kaniha,parabil
odisha,anugul,kaniha,22,rengali,2.5,0,0,4.3,6.8,149,anugul,kaniha,rengali
odisha,anugul,kaniha,23,samal,1.9,3.6,0,0,5.5,150,anugul,kaniha,samal
odisha,anugul,kaniha,24,sanatribida,2.4,0,0,8.9,11.3,151,anugul,kaniha,sanatribida
odisha,anugul,kaniha,25,susuba,8.7,4.6,0,9.4,22.7,152,anugul,kaniha,susuba
odisha,anugul,kaniha,26,talapada,7.6,0,0,7.4,15,153,anugul,kaniha,talapada
odisha,anugul,kaniha,27,jarada,NA,NA,NA,NA,NA,154,anugul,kaniha,jarada
odisha,anugul,kaniha,28,kudia,NA,NA,NA,NA,NA,155,anugul,kaniha,kudia
odisha,anugul,kishorenagar,1,ambapal,7.4,18.5,0,27.1,53,156,anugul,kishorenagar,ambapal
odisha,anugul,kishorenagar,2,angapada,33.6,28.3,0,18.8,80.7,157,anugul,kishorenagar,angapada
odisha,anugul,kishorenagar,3,bamur,22.4,31.4,0,38.2,92,158,anugul,kishorenagar,bamur
odisha,anugul,kishorenagar,4,bileinali,27.6,53.5,0,22.6,103.7,159,anugul,kishorenagar,bileinali
odisha,anugul,kishorenagar,5,dhadarpal,10.6,9.7,0,28.9,49.2,160,anugul,kishorenagar,dhadarpal
odisha,anugul,kishorenagar,6,dhaurapali,24.7,23.2,0,23.6,71.5,161,anugul,kishorenagar,dhaurapali
odisha,anugul,kishorenagar,7,gaon boinda,16.5,24.4,0,30,70.9,162,anugul,kishorenagar,gaon boinda
odisha,anugul,kishorenagar,8,handapa,18.8,20.2,0,32.4,71.4,163,anugul,kishorenagar,handapa
odisha,anugul,kishorenagar,9,himitira,10.9,15,0,53,78.9,164,anugul,kishorenagar,himitira
odisha,anugul,kishorenagar,10,jairat,10.1,1.5,0,14,25.6,165,anugul,kishorenagar,jairat
odisha,anugul,kishorenagar,11,jamunali,19.2,38.1,0,32.5,89.8,166,anugul,kishorenagar,jamunali
odisha,anugul,kishorenagar,12,jharberani,5.2,15.5,0,16.3,37,167,anugul,kishorenagar,jharberani
odisha,anugul,kishorenagar,13,kadalimunda,19,25.3,0,39.8,84.1,168,anugul,kishorenagar,kadalimunda
odisha,anugul,kishorenagar,14,kanteikulia,11.3,9.5,0,33.4,54.2,169,anugul,kishorenagar,kanteikulia
odisha,anugul,kishorenagar,15,kataranga,18.6,9.9,0,19.9,48.4,170,anugul,kishorenagar,kataranga
odisha,anugul,kishorenagar,16,luhamunda,17.4,20.7,0,20.7,58.8,171,anugul,kishorenagar,luhamunda
odisha,anugul,kishorenagar,17,nakchi,6.1,28.5,0,27.3,61.9,172,anugul,kishorenagar,nakchi
odisha,anugul,kishorenagar,18,nunukapasi,19.4,25.1,0,38.1,82.6,173,anugul,kishorenagar,nunukapasi
odisha,anugul,kishorenagar,19,raniakata,11.2,26.5,0,10.9,48.6,174,anugul,kishorenagar,raniakata
odisha,anugul,kishorenagar,20,sanjamura,25.9,67.9,0,45.5,139.3,175,anugul,kishorenagar,sanjamura
odisha,anugul,kishorenagar,21,thelkonali,6.7,9.5,0,14.6,30.8,176,anugul,kishorenagar,thelkonali
odisha,anugul,kishorenagar,22,urukula,22.3,19.3,0,45.1,86.7,177,anugul,kishorenagar,urukula
odisha,anugul,kishorenagar,23,oskapali,NA,NA,NA,NA,NA,178,anugul,kishorenagar,oskapali
odisha,anugul,pallahara,1,allori,9.7,25,0,6.7,41.4,179,anugul,pallahara,allori
