g_match_id,s_id,g_district,district_mapped,g_block,block_mapped,g_gp,gp_mapped,g_ac_id,g_ac,g_pc
116,674,baragarh,yes,barpali,yes,tinkani,yes,2,2 bijepur,bargarh
117,675,baragarh,yes,barpali,yes,tulandi,yes,2,2 bijepur,bargarh
118,654,baragarh,yes,barpali,yes,bagbadi,yes,3,3 bargarh,bargarh
119,656,baragarh,yes,barpali,yes,baramkela,yes,3,3 bargarh,bargarh
120,661,baragarh,yes,barpali,yes,kanbar,yes,3,3 bargarh,bargarh
121,662,baragarh,yes,barpali,yes,katapali,yes,3,3 bargarh,bargarh
122,665,baragarh,yes,barpali,yes,kusanpuri,yes,3,3 bargarh,bargarh
123,666,baragarh,yes,barpali,yes,lemda,yes,3,3 bargarh,bargarh
124,668,baragarh,yes,barpali,yes,mahulpali,yes,3,3 bargarh,bargarh
125,626,baragarh,yes,bargarh,yes,adgaon,yes,3,3 bargarh,bargarh
126,627,baragarh,yes,bargarh,yes,bardol,yes,3,3 bargarh,bargarh
127,628,baragarh,yes,bargarh,yes,bargaon,yes,3,3 bargarh,bargarh
128,629,baragarh,yes,bargarh,yes,barhagoda,yes,3,3 bargarh,bargarh
129,630,baragarh,yes,bargarh,yes,birmal,yes,3,3 bargarh,bargarh
130,631,baragarh,yes,bargarh,yes,bonda,yes,3,3 bargarh,bargarh
131,632,baragarh,yes,bargarh,yes,chakarkend,yes,3,3 bargarh,bargarh
132,633,baragarh,yes,bargarh,yes,deogaon,yes,3,3 bargarh,bargarh
133,634,baragarh,yes,bargarh,yes,dhanger,yes,3,3 bargarh,bargarh
134,635,baragarh,yes,bargarh,yes,gaisama,yes,3,3 bargarh,bargarh
135,636,baragarh,yes,bargarh,yes,gobindapur,yes,3,3 bargarh,bargarh
136,637,baragarh,yes,bargarh,yes,gudesira,yes,3,3 bargarh,bargarh
137,638,baragarh,yes,bargarh,yes,jumurda,yes,3,3 bargarh,bargarh
138,639,baragarh,yes,bargarh,yes,kalapani,yes,3,3 bargarh,bargarh
139,640,baragarh,yes,bargarh,yes,katapali,yes,3,3 bargarh,bargarh
