g_match_id,s_id,g_district,district_mapped,g_block,block_mapped,g_gp,gp_mapped,g_ac_id,g_ac,g_pc
116,4643,baragarh,yes,barpali,yes,tinkani,yes,2,2 bijepur,bargarh
117,4644,baragarh,yes,barpali,yes,tulandi,yes,2,2 bijepur,bargarh
118,4623,baragarh,yes,barpali,yes,bagbadi,yes,3,3 bargarh,bargarh
119,4625,baragarh,yes,barpali,yes,baramkela,yes,3,3 bargarh,bargarh
120,4630,baragarh,yes,barpali,yes,kanbar,yes,3,3 bargarh,bargarh
121,4631,baragarh,yes,barpali,yes,katapali,yes,3,3 bargarh,bargarh
122,4634,baragarh,yes,barpali,yes,kusanpuri,yes,3,3 bargarh,bargarh
123,4635,baragarh,yes,barpali,yes,lemda,yes,3,3 bargarh,bargarh
124,4637,baragarh,yes,barpali,yes,mahulpali,yes,3,3 bargarh,bargarh
125,4595,baragarh,yes,bargarh,yes,adgaon,yes,3,3 bargarh,bargarh
126,4596,baragarh,yes,bargarh,yes,bardol,yes,3,3 bargarh,bargarh
127,4597,baragarh,yes,bargarh,yes,bargaon,yes,3,3 bargarh,bargarh
128,4598,baragarh,yes,bargarh,yes,barhagoda,yes,3,3 bargarh,bargarh
129,4599,baragarh,yes,bargarh,yes,birmal,yes,3,3 bargarh,bargarh
130,4600,baragarh,yes,bargarh,yes,bonda,yes,3,3 bargarh,bargarh
131,4601,baragarh,yes,bargarh,yes,chakarkend,yes,3,3 bargarh,bargarh
132,4602,baragarh,yes,bargarh,yes,deogaon,yes,3,3 bargarh,bargarh
133,4603,baragarh,yes,bargarh,yes,dhanger,yes,3,3 bargarh,bargarh
134,4604,baragarh,yes,bargarh,yes,gaisama,yes,3,3 bargarh,bargarh
135,4605,baragarh,yes,bargarh,yes,gobindapur,yes,3,3 bargarh,bargarh
136,4606,baragarh,yes,bargarh,yes,gudesira,yes,3,3 bargarh,bargarh
137,4607,baragarh,yes,bargarh,yes,jumurda,yes,3,3 bargarh,bargarh
