constituency,constituency_code,level,scheme,year,Openning Balance,Total Fund Available,Total Expenditure on Wages,Total Expenditure on Materials,Total Expenditure on Tax,Total Expenditure on Admin Expenses,Grand Total Expenditure,Total Unspent Balance,Total Payment Due
patna (st),23,AC,MNREGA,2019-20,-215.85999999999999,2774.27,2270.57,750.7,19.43,0,3040.7400000000002,-266.4,12.870000000000001
keonjhar (st),24,AC,MNREGA,2019-20,138.15,1455.05,1119.6200000000001,259.18,3.4,0,1382.2,72.85000000000001,9.92
champua,25,AC,MNREGA,2019-20,-33.660000000000004,752.11,667.5600000000001,169.01,3.55,0,840.09,-87.98,7.52
jashipur (st),26,AC,MNREGA,2019-20,-0.54,2578.05,1701.61,807.57,9.98,0,2516.16,61.870000000000005,22.07
saraskana (st),27,AC,MNREGA,2019-20,-0.02,4615.4,1965.11,2776.93,12.74,0,4754.76,-139.35999999999999,36.1
rairangpur (st),28,AC,MNREGA,2019-20,-0.01,2439.58,1448.57,900.63,12.41,0,2361.55,78.04,15.94
bangriposi (st),29,AC,MNREGA,2019-20,0,2687.28,891.32,1661.29,17.16,0,2569.86,117.41,3.74
bargarh,3,AC,MNREGA,2019-20,-0.06,96.75,507.2,117.01,0.03,0,624.23,-527.49,3.54
karanjia (st),30,AC,MNREGA,2019-20,-0.04,3704.9900000000002,2073.87,1642.61,22.14,0,3738.63,-33.65,33.5
udala (st),31,AC,MNREGA,2019-20,0,4154.5199999999995,2138.94,1985.9,25.83,0,4150.67,3.84,23.36
badasahi (sc),32,AC,MNREGA,2019-20,-0.01,815.63,572.22,233.76,3.4,0,809.38,6.22,5.05
baripada (st),33,AC,MNREGA,2019-20,0,1200.6,764.24,446.79,5.57,0,1216.58,-15.979999999999999,15.06
morada,34,AC,MNREGA,2019-20,-0.02,1051.05,642.03,384.63,2.35,0,1029.09,21.94,7.07
jaleswar,35,AC,MNREGA,2019-20,-61.47,513.72,523.41,97.17999999999999,4.57,0,625.13,-111.39,3.12
bhograi,36,AC,MNREGA,2019-20,-0.16,15.01,23.52,1.4,0.07,0,24.97,-9.97,0.67
