geo_entity_title,Openning Balance,Total Fund Available,Total Expenditure on Wages,Total Expenditure on Materials,Total Expenditure on Tax,Total Expenditure on Admin Expenses,Grand Total Expenditure,Total Unspent Balance,Total Payment Due,level,scheme,year,SC,ST,Minority,Others,Total
71 nuapada,16.43,1327.74,1177,159.57999999999998,4.96,0,1341.52,-13.800000000000002,21.27,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
72 kharia,-80.01,1660.56,1459.35,275.43,1.4200000000000002,0,1736.15,-75.61,25.76,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
73 umerkote (st),-23.689999999999998,709.35,484.94,194.13,2.59,0,681.6999999999999,27.619999999999997,7.63,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
74 jharigam (st),-5.83,1397.27,991.57,396.95,5.41,0,1393.8999999999999,3.359999999999999,12.59,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
75 nabarangpur (st),13.7,1090.02,781.54,294.69,0,0,1076.25,13.860000000000001,8.42,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
76 dabugam (st),-54.56,972.55,705.22,324.63,0,0,1029.85,-57.28,8.71,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
77 lanjigarh (st),0,795.53,442.43,419.54,9.08,0,871.05,-75.52,12.56,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
78 junagarh,0,399.55,239.38,146.93,6.13,0,392.43,7.11,3.49,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
79 dharamgarh,0,445.17,246.03,203.43,0.27,0,449.67,-4.53,3.27,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
8 talsara (st),0,2708.17,1966.18,886.92,5.18,0,2858.28,-150.15,21.98,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
80 bhawanipatna (sc),0,469.06,223.31,215.06,6.89,0,445.24,23.79,2.22,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
81 narla,0,755.33,338.48,377.85,2.7800000000000002,0,719.08,36.24,2.99,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
