s_state,s_district,Urban Local Bodies (Municipality/Munipal Corparation/Nac,s_block,s_gp,Total_IGNDPS,s_id,updated_district_name,updated_block_name,updated_gp_name
odisha,baleshwar,NA,bahanaga,avana,0.48,136,balasore,bahanaga,avana
odisha,baleshwar,NA,bahanaga,kharasahapur,2.39,137,balasore,bahanaga,kharasahapur
odisha,baleshwar,NA,bahanaga,chittal,0.16,138,balasore,bahanaga,chittal
odisha,baleshwar,NA,bahanaga,kochiakoili,1.34,139,balasore,bahanaga,kochiakoili
odisha,baleshwar,NA,bahanaga,kuruda,0.04,140,balasore,bahanaga,kuruda
odisha,baleshwar,NA,bahanaga,talakurunia,0.48,141,balasore,bahanaga,talakurunia
odisha,baleshwar,NA,bahanaga,pandasuni,3.31,142,balasore,bahanaga,pandasuni
odisha,baleshwar,NA,bahanaga,odasal,1.13,143,balasore,bahanaga,odasal
odisha,baleshwar,NA,bahanaga,nuapur,3.35,144,balasore,bahanaga,nuapur
odisha,baleshwar,NA,baleshwar,jayadeba kasaba,2.27,145,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,buanl,3.4,146,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,parikhi,15.25,147,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,hidigan,9.14,148,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,genguti,10.21,149,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,odangi,13.48,150,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,ranasahi,11.72,151,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,kasipada,5.67,152,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,sartha,26.08,153,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,kuradiha,7.94,154,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,chhanua,9.07,155,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,bahabalpur,13.61,156,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,srirampur,13.61,157,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,haldipada,17.51,158,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,kasafal,9.07,159,balasore,NA,NA
odisha,baleshwar,NA,baleshwar,nagram,1.13,160,balasore,NA,NA
