s_state,s_district,s_block,Number of Gram Panchayats,s_gp,Opening Balance For FY 2019-20,Total Fund Available For  FY 2019-20,Total Expenditure on Wages For FY 2019-20,Total Expenditure On Materials For FY 2019-20,Total Tax Paid For FY 2019-20,Total Admin Expenses  For FY 2019-20,Grand Total Expenditure For FY 2019-20,Total Unspent Balance For FY 2019-20,Total Payment Due For FY 2019-20,s_id,updated_district_name,updated_block_name,updated_gp_name
odisha,bolangir,belpara,21,sarmuhan,4.86,46.35,41.49,0,0,0,41.49,4.86,1.41,92,bolangir,belpara,sarmuhan
odisha,bolangir,belpara,22,sihini,3.94,16.85,12.74,0,0,0,12.74,4.1,2.44,93,bolangir,belpara,sihini
odisha,bolangir,belpara,23,sulekela,-0.14,56.08,56.22,0,0,0,56.22,-0.14,0.28,94,bolangir,belpara,sulekela
odisha,bolangir,belpara,24,tentelmunda,-2.41,42.98,41.82,3.56,0,0,45.38,-2.4,0.48,95,bolangir,belpara,tentelmunda
odisha,bolangir,deogaon,1,arjunpur,-0.27,13.9,14.16,0,0,0,14.16,-0.26,0.09,96,bolangir,deogaon,arjunpur
odisha,bolangir,deogaon,2,badbahal,-0.07,62.92,32.49,30.51,0,0,62.99,-0.07,0,97,bolangir,deogaon,badbahal
odisha,bolangir,deogaon,3,badbandh,1.66,31.16,24.93,4.54,0,0,29.48,1.68,0.02,98,bolangir,deogaon,badbandh
odisha,bolangir,deogaon,4,bandhpara,0.97,25.49,22.82,1.71,0,0,24.52,0.97,0.54,99,bolangir,deogaon,bandhpara
odisha,bolangir,deogaon,5,brahmanijore,9.2,22.82,13.62,0,0,0,13.62,9.2,0,100,bolangir,deogaon,brahmanijore
odisha,bolangir,deogaon,6,deogaon,0.03,25.68,21.7,3.96,0,0,25.65,0.03,0.19,101,bolangir,deogaon,deogaon
odisha,bolangir,deogaon,7,desandh,-5.84,33.61,39.45,0,0,0,39.45,-5.84,0.24,102,bolangir,deogaon,desandh
odisha,bolangir,deogaon,8,dhandamal,3.94,31.95,28.01,0,0,0,28,3.94,0.29,103,bolangir,deogaon,dhandamal
