State ,District,Block,Sl.No,Name of Gram Panchayat ,SC,ST,Minority,Others,Total
Odisha,Balasore,Jaleswar,,Total,1150.4,1334.9,74.7,772.6,3332.6
Odisha,Balasore,Khaira,1,Achutipur,0.7,0.4,0,25.4,26.5
Odisha,Balasore,Khaira,2,Amaria- Agnipur,15.2,0.2,0,20.4,35.8
Odisha,Balasore,Khaira,3,Antara,23.8,4.6,0,63.2,91.6
Odisha,Balasore,Khaira,4,Badajaypur,18.2,3.3,0,32.6,54.1
Odisha,Balasore,Khaira,5,Badanuagan,21.5,0.5,0,23.9,45.9
Odisha,Balasore,Khaira,6,Barada,20.7,4.1,0,37.2,62
Odisha,Balasore,Khaira,7,Bartana,27.1,0,0,36,63.1
Odisha,Balasore,Khaira,8,Baunsagadia,14.7,34.6,0,36,85.3
Odisha,Balasore,Khaira,9,Dagarpada,7.3,0,3.2,27.3,37.8
Odisha,Balasore,Khaira,10,Dalanga-Ii,22.2,0,0,24.8,47
Odisha,Balasore,Khaira,11,Dungura,14.4,0,0,18.4,32.8
Odisha,Balasore,Khaira,12,Gadapokhari,26.5,56,0,29.1,111.6
Odisha,Balasore,Khaira,13,Gagandhuli,27.9,1.6,0.7,25.1,55.3
Odisha,Balasore,Khaira,14,Garsang,26.6,3.6,0,39.4,69.6
Odisha,Balasore,Khaira,15,Goliha,11.8,1.7,0,24.2,37.7
Odisha,Balasore,Khaira,16,Govindpur,7.4,0,0,34.6,42
Odisha,Balasore,Khaira,17,Haripur,13.1,6,0,19.4,38.5
Odisha,Balasore,Khaira,18,Jalada,9.8,0,0,30.6,40.4
Odisha,Balasore,Khaira,19,Jhinkiria,18.8,4.4,2,31.3,56.5
Odisha,Balasore,Khaira,20,Kaithagadia,27.9,22,0,16.2,66.1
Odisha,Balasore,Khaira,21,Khaira,8.1,0,0,11.9,20
Odisha,Balasore,Khaira,22,Kupari,17.4,10.1,0,31.8,59.3
Odisha,Balasore,Khaira,23,Kurunta,26.3,8.9,0,23.4,58.6
Odisha,Balasore,Khaira,24,Mahatipur,6.5,0,0,21.4,27.9
Odisha,Balasore,Khaira,25,Makhanpur,4.1,3,0,27.4,34.5
Odisha,Balasore,Khaira,26,Manitri,69.7,4.4,0,71.4,145.5
Odisha,Balasore,Khaira,27,Nahanga,20.4,0,0,18.6,39
Odisha,Balasore,Khaira,28,Nandur,18.2,3,0,25,46.2
Odisha,Balasore,Khaira,29,Nayakhandi,18.2,0,0,26.2,44.4
Odisha,Balasore,Khaira,30,Palasa,14.5,1,0,16.8,32.3
Odisha,Balasore,Khaira,31,Rapeya,26.3,4.4,0,52,82.7
Odisha,Balasore,Khaira,32,Ratina,0,0,0,17,17
Odisha,Balasore,Khaira,33,Sardang,19.1,10.9,0,33.7,63.7
Odisha,Balasore,Khaira,34,Sarkona,20,0,0,37.3,57.3
Odisha,Balasore,Khaira,35,Sarugaon,1.6,0,0,17.7,19.3
Odisha,Balasore,Khaira,36,Shyamsundarpur,6.9,0,0,52.8,59.7
Odisha,Balasore,Khaira,37,Sundhiragandibed,3,0,0,27.6,30.6
Odisha,Balasore,Khaira,,Total,635.9,188.7,5.9,1107.1,1937.6
Odisha,Balasore,Nilgiri,1,Ajodhya,57.4,32.6,0,29.4,119.4
Odisha,Balasore,Nilgiri,2,Arabandha,14.7,202.1,0,23.3,240.1
Odisha,Balasore,Nilgiri,3,Begunia,22.8,23.2,0,13.8,59.8
Odisha,Balasore,Nilgiri,4,Berhampur,0,32,0,14,46
Odisha,Balasore,Nilgiri,5,Bhaunriabad,30.5,277,0,8.3,315.8
Odisha,Balasore,Nilgiri,6,Chhatrapur,12,118.9,0,19.6,150.5
Odisha,Balasore,Nilgiri,7,Dharampur,10,26.3,0,21.2,57.5
Odisha,Balasore,Nilgiri,8,Dhobsila,19.1,59.5,0,22.1,100.7
Odisha,Balasore,Nilgiri,9,Garadihi,16.2,263.2,0,8.7,288.1
Odisha,Balasore,Nilgiri,10,Jadida,10,47.8,0,13.8,71.6
Odisha,Balasore,Nilgiri,11,Jamudiha,0.5,141.7,0,26.2,168.4
Odisha,Balasore,Nilgiri,12,K.C.Pur,1.3,249.1,0,34.3,284.7
Odisha,Balasore,Nilgiri,13,K.P.Lakharaj,26.5,85.1,0,36.9,148.5
Odisha,Balasore,Nilgiri,14,Kansa,50.3,46,0,20,116.3
Odisha,Balasore,Nilgiri,15,Machhua,11.1,52.7,0,13.5,77.3
Odisha,Balasore,Nilgiri,16,Mahisapata,1.4,199.6,0,5.9,206.9
Odisha,Balasore,Nilgiri,17,Matiali,10.9,188.5,0,11.5,210.9
Odisha,Balasore,Nilgiri,18,Naranpur,0.5,125.1,0,12,137.6
Odisha,Balasore,Nilgiri,19,Narasinghpur,46.3,115.7,0,32.8,194.8
Odisha,Balasore,Nilgiri,20,Pithahata,0,159.5,0,13.2,172.7
Odisha,Balasore,Nilgiri,21,R.K.Pur,3.7,54.1,0,22.4,80.2
Odisha,Balasore,Nilgiri,22,Sajanagarh,5.2,264.5,0,15.2,284.9
Odisha,Balasore,Nilgiri,23,Siadimal,2.3,104.3,0,4.8,111.4
Odisha,Balasore,Nilgiri,24,Telipal,0,133.6,0,16.7,150.3
Odisha,Balasore,Nilgiri,25,Tentulia,5.2,79.9,0,0.6,85.7
Odisha,Balasore,Nilgiri,,Total,357.9,3082,0,440.2,3880.1
Odisha,Balasore,Oupada,1,Aghirapada,8.7,55,0,38.9,102.6
Odisha,Balasore,Oupada,2,Badapokhari,22.1,75.8,0,37.5,135.4
Odisha,Balasore,Oupada,3,Baunsabania,13.1,23.9,0,60.9,97.9
Odisha,Balasore,Oupada,4,Dakhina Narasingpur,27.7,25.8,0,40.4,93.9
Odisha,Balasore,Oupada,5,Fatepur,26.5,4.3,0,52.8,83.6
Odisha,Balasore,Oupada,6,Gadasahi,8.7,174.6,0,19.2,202.5
Odisha,Balasore,Oupada,7,Iswarpur,37.7,0.4,0,45,83.1
Odisha,Balasore,Oupada,8,Kandagaradi,4.7,30.6,0,61.7,97
Odisha,Balasore,Oupada,9,Rairamchandrapur,33.6,42.8,0,21.6,98
Odisha,Balasore,Oupada,10,Shyamsundarpur,18,51.7,0,63,132.7
Odisha,Balasore,Oupada,11,Talakia,3.9,0.8,0,57.8,62.5
Odisha,Balasore,Oupada,,Total,204.7,485.7,0,498.8,1189.2
Odisha,Balasore,Remuna,1,Badapal,12.4,19.8,0,40.4,72.6
Odisha,Balasore,Remuna,2,Barunsing,9.3,7.1,0,41.3,57.7
Odisha,Balasore,Remuna,3,Bhimpura,0,2,0,4.8,6.8
Odisha,Balasore,Remuna,4,Biruan,12.4,12.2,0,24,48.6
Odisha,Balasore,Remuna,5,Chasakhanda,55.5,27.5,0,88.9,171.9
Odisha,Balasore,Remuna,6,Dahapada,0.6,0.6,0,3.1,4.3
Odisha,Balasore,Remuna,7,Durgadevi,35.2,14,0,39.8,89
Odisha,Balasore,Remuna,8,Gandarda,6.4,1.7,0,23.1,31.2
Odisha,Balasore,Remuna,9,Ganipur,0.5,30.6,0,2.4,33.5
Odisha,Balasore,Remuna,10,Gududa,25.8,38.6,0,39.7,104.1
Odisha,Balasore,Remuna,11,Haripur,1,0,0,10.5,11.5
Odisha,Balasore,Remuna,12,Inchudi,29.3,0,0,35.9,65.2
Odisha,Balasore,Remuna,13,Kalyanpur,12.1,25.1,0,30.6,67.8
Odisha,Balasore,Remuna,14,Kharidmukhura,12.3,34.3,0,22.1,68.7
Odisha,Balasore,Remuna,15,Kuligan,49.1,0.5,0,29.4,79
Odisha,Balasore,Remuna,16,Kuruda,0,0,0,3.9,3.9
Odisha,Balasore,Remuna,17,Maharajpur,11.2,0,0,45.5,56.7
Odisha,Balasore,Remuna,18,Mandarpur,36.3,1.4,0,12.2,49.9
Odisha,Balasore,Remuna,19,Mangalpur,4.3,1.5,0,3.6,9.4
