Name of the State,Name of the District,Name of the Block,Number of Gram Panchayats,Name of the Gram Panchayat,Openning Balance for FY 2018-19,Total Fund Available for the FY 2018-19,Total Expenditure on Wages for FY 2018-19,Total Expenditure on Materials for FY 2018-19,Total Expenditure on Tax for FY 2018-19,Total Expenditure on Admin Expenses  for FY 2018-19,Grand Total Expenditure for FY 2018-19,Total Unspent Balance for FY 2018-19,Total Payment Due for FY 2018-19
Odisha,Sambalpur,Naktideul,9,Naktideul,0.220,9.170,5.930,2.940,0.000,0.000,8.870,0.300,0.000
Odisha,Sambalpur,Naktideul,10,Panimura,0.240,37.830,23.230,13.630,0.730,0.000,37.590,0.240,0.020
Odisha,Sambalpur,Naktideul,11,Sahebi,0.210,11.830,11.620,0.000,0.000,0.000,11.620,0.210,0.030
Odisha,Sambalpur,Naktideul,12,Salebhata,0.340,4.840,4.410,0.000,0.000,0.000,4.410,0.440,0.040
Odisha,Sambalpur,Naktideul,13,Sarapli,0.190,19.670,12.440,7.040,0.000,0.000,19.480,0.190,0.010
Odisha,Sambalpur,Naktideul,14,Similipal,0.350,22.910,16.000,6.430,0.120,0.000,22.560,0.350,0.040
Odisha,Sambalpur,Naktideul,,Total,10.200,295.000,215.160,67.580,1.660,0.000,284.400,10.600,1.500
Odisha,Sambalpur,Naktideul,,Block Level Line Deptt.,0.000,0.000,76.870,75.080,0.480,1.610,154.030,-154.030,0.350
Odisha,Sambalpur,Naktideul,,Po,7.990,44.420,0.000,NA,NA,10.390,10.390,34.030,NA
Odisha,Sambalpur,Naktideul,,Grand Total,18.190,339.420,292.030,142.660,2.140,12.000,448.820,-109.400,1.850
Odisha,Sambalpur,Rairakhol,1,Badbahal,0.000,12.200,10.880,2.580,0.000,0.000,13.470,-1.270,0.070
Odisha,Sambalpur,Rairakhol,2,Badmal,0.000,3.180,3.400,1.380,0.000,0.000,4.780,-1.600,0.030
Odisha,Sambalpur,Rairakhol,3,Banshajal,0.000,36.570,28.220,9.310,0.000,0.000,37.540,-0.970,0.290
Odisha,Sambalpur,Rairakhol,4,Bhaliakata,0.590,20.060,13.870,5.580,0.000,0.000,19.450,0.610,0.040
Odisha,Sambalpur,Rairakhol,5,Bharatpur,0.000,24.720,22.150,2.570,0.000,0.000,24.720,0.000,0.190
Odisha,Sambalpur,Rairakhol,6,Burda,0.330,11.420,8.510,2.580,0.000,0.000,11.090,0.330,0.270
Odisha,Sambalpur,Rairakhol,7,Charmal,0.000,20.540,13.690,7.240,0.000,0.000,20.930,-0.390,0.180
Odisha,Sambalpur,Rairakhol,8,Gadgadbahal,0.080,28.110,21.290,6.710,0.020,0.000,28.030,0.080,0.190
Odisha,Sambalpur,Rairakhol,9,Kadaligarh,0.000,39.070,25.270,14.680,0.000,0.000,39.950,-0.880,0.140
Odisha,Sambalpur,Rairakhol,10,Kukudabahali,0.080,16.540,12.030,4.400,0.000,0.000,16.440,0.100,0.320
Odisha,Sambalpur,Rairakhol,11,Luhapank,0.150,61.170,46.730,14.280,0.000,0.000,61.010,0.160,0.400
Odisha,Sambalpur,Rairakhol,12,Mochibahal,0.000,20.360,16.550,3.810,0.000,0.000,20.360,0.000,0.160
Odisha,Sambalpur,Rairakhol,13,Rengali,0.000,21.230,19.460,1.770,0.000,0.000,21.230,0.000,0.090
Odisha,Sambalpur,Rairakhol,14,Tribanpur,0.000,29.730,25.620,4.120,0.000,0.000,29.740,0.000,0.130
Odisha,Sambalpur,Rairakhol,,Total,1.230,344.910,267.700,81.030,0.020,0.000,348.740,-3.830,2.530
Odisha,Sambalpur,Rairakhol,,Block Level Line Deptt.,0.100,0.100,115.000,76.730,0.000,2.690,194.420,-194.320,0.650
Odisha,Sambalpur,Rairakhol,,Po,3.810,23.620,0.000,NA,NA,11.050,11.050,12.570,NA
Odisha,Sambalpur,Rairakhol,,Grand Total,5.140,368.630,382.700,157.760,0.020,13.740,554.210,-185.580,3.180
Odisha,Sambalpur,Rengali,1,Bomaloi,0.000,31.850,29.910,1.950,0.000,0.000,31.850,0.000,0.130
Odisha,Sambalpur,Rengali,2,Ghichamura,0.000,29.700,25.920,3.740,0.000,0.000,29.660,0.040,0.130
Odisha,Sambalpur,Rengali,3,Jangla,0.000,39.560,31.540,9.830,0.000,0.000,41.360,-1.800,0.050
Odisha,Sambalpur,Rengali,4,Jhankarpali,0.000,30.800,26.700,4.100,0.000,0.000,30.800,0.000,0.000
Odisha,Sambalpur,Rengali,5,Katarbaga,0.000,32.490,30.080,2.410,0.000,0.000,32.490,0.000,0.070
Odisha,Sambalpur,Rengali,6,Khinda,0.000,17.240,16.080,1.170,0.000,0.000,17.240,0.000,0.110
Odisha,Sambalpur,Rengali,7,Kinaloi,0.060,33.180,28.040,5.090,0.000,0.000,33.120,0.060,0.180
Odisha,Sambalpur,Rengali,8,Laida,0.000,56.410,37.400,18.980,0.000,0.000,56.390,0.010,0.820
Odisha,Sambalpur,Rengali,9,Lapanga,0.060,24.520,21.530,2.930,0.000,0.000,24.460,0.060,0.190
Odisha,Sambalpur,Rengali,10,Nishanbhanga,0.250,23.800,22.090,1.470,0.000,0.000,23.550,0.250,0.120
Odisha,Sambalpur,Rengali,11,Rengali,0.910,27.860,22.480,4.460,0.000,0.000,26.950,0.910,0.090
Odisha,Sambalpur,Rengali,12,Rengloi,0.070,12.580,10.630,1.880,0.000,0.000,12.510,0.070,0.040
Odisha,Sambalpur,Rengali,13,Salad,0.890,26.640,20.870,4.870,0.000,0.000,25.750,0.890,0.090
Odisha,Sambalpur,Rengali,14,Tabadabahal,0.340,31.320,17.790,12.430,0.700,0.000,30.930,0.390,0.050
Odisha,Sambalpur,Rengali,15,Tamperkela,0.000,26.760,20.510,6.230,0.110,0.000,26.850,-0.090,0.120
Odisha,Sambalpur,Rengali,16,Thelkoloi,0.000,3.940,4.730,4.460,0.000,0.000,9.190,-5.240,0.130
Odisha,Sambalpur,Rengali,,Total,2.580,448.650,366.280,86.000,0.810,0.000,453.090,-4.440,2.340
Odisha,Sambalpur,Rengali,,Block Level Line Deptt.,0.000,0.000,105.790,103.400,0.000,2.990,212.180,-212.180,0.840
Odisha,Sambalpur,Rengali,,Po,7.330,37.920,0.000,NA,NA,12.790,12.790,25.130,NA
Odisha,Sambalpur,Rengali,,Grand Total,9.910,486.570,472.070,189.400,0.810,15.780,678.060,-191.490,3.180
Odisha,Sonepur,Binka,1,Babupalli,0.000,0.190,0.000,0.000,0.000,0.000,0.000,0.190,0.000
Odisha,Sonepur,Binka,2,Bankighirdi,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Odisha,Sonepur,Binka,3,Baunsuni,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Odisha,Sonepur,Binka,4,Bhandar,0.000,1.440,1.440,0.000,0.000,0.000,1.440,0.000,0.040
Odisha,Sonepur,Binka,5,Charda,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Odisha,Sonepur,Binka,6,Julunda,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Odisha,Sonepur,Binka,7,Kaintara,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Odisha,Sonepur,Binka,8,Kuhibahal,0.000,0.550,0.550,0.000,0.000,0.000,0.550,0.000,0.020
Odisha,Sonepur,Binka,9,Mahada,0.000,0.620,0.620,0.000,0.000,0.000,0.620,0.000,0.000
Odisha,Sonepur,Binka,10,Mahadevpali,0.000,0.190,0.190,0.000,0.000,0.000,0.190,0.000,0.000
Odisha,Sonepur,Binka,11,Meghala,0.000,0.010,0.040,0.000,0.000,0.000,0.040,-0.030,0.000
Odisha,Sonepur,Binka,12,Saledi,0.000,0.000,0.050,0.000,0.000,0.000,0.050,-0.050,0.000
Odisha,Sonepur,Binka,13,Sankara,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Odisha,Sonepur,Binka,14,Silati,0.000,3.700,3.530,0.170,0.000,0.000,3.700,0.000,0.050
Odisha,Sonepur,Binka,15,Sindurpur,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Odisha,Sonepur,Binka,16,Singhijuba,0.000,7.830,4.510,3.320,0.000,0.000,7.830,0.000,0.000
Odisha,Sonepur,Binka,,Total,0.000,14.530,10.940,3.500,0.000,0.000,14.430,0.100,0.110
Odisha,Sonepur,Binka,,Block Level Line Deptt.,0.000,0.000,361.820,126.010,0.000,0.660,488.490,-488.490,2.560
Odisha,Sonepur,Binka,,Po,8.610,324.540,0.000,NA,NA,11.100,11.100,313.440,NA
Odisha,Sonepur,Binka,,Grand Total,8.610,339.070,372.760,129.510,0.000,11.760,514.020,-174.950,2.670
Odisha,Sonepur,birmaharajpur,1,Bagbar,0.000,9.220,9.220,0.440,0.000,0.000,9.650,-0.440,0.700
Odisha,Sonepur,birmaharajpur,2,Bahalpadar,0.000,1.700,0.370,1.300,0.020,0.000,1.700,0.000,0.010
Odisha,Sonepur,birmaharajpur,3,Champamal,0.000,1.480,1.590,0.000,0.000,0.000,1.590,-0.110,0.010
Odisha,Sonepur,birmaharajpur,4,Durjantaila,0.000,0.000,0.310,0.000,0.000,0.000,0.310,-0.310,0.010
Odisha,Sonepur,birmaharajpur,5,Hilung,0.000,1.170,1.170,0.000,0.000,0.000,1.170,0.000,0.020
Odisha,Sonepur,birmaharajpur,6,Jatesingha,0.000,0.000,0.170,0.000,0.000,0.000,0.170,-0.170,0.000
Odisha,Sonepur,birmaharajpur,7,Kamira,0.000,0.000,0.090,0.000,0.000,0.000,0.090,-0.090,0.000
Odisha,Sonepur,birmaharajpur,8,Kanjhariapali,0.000,0.000,0.170,0.000,0.000,0.000,0.170,-0.170,0.000
Odisha,Sonepur,birmaharajpur,9,Khandahata,0.000,2.830,2.830,0.000,0.000,0.000,2.830,0.000,0.150
Odisha,Sonepur,birmaharajpur,10,Luturpank,0.000,0.000,0.340,0.000,0.000,0.000,0.340,-0.340,0.000
Odisha,Sonepur,birmaharajpur,11,Mursundhi,0.000,0.000,0.170,0.000,0.000,0.000,0.170,-0.170,0.000
Odisha,Sonepur,birmaharajpur,12,Pitamahul,0.000,0.610,0.610,0.000,0.000,0.000,0.610,0.000,0.000
Odisha,Sonepur,birmaharajpur,13,Sangrampur,0.000,4.290,4.320,0.000,0.000,0.000,4.320,-0.030,0.090
Odisha,Sonepur,birmaharajpur,14,Subalaya,0.000,7.230,7.230,0.000,0.000,0.000,7.230,0.000,0.000
Odisha,Sonepur,birmaharajpur,15,Ufula,0.000,6.380,4.890,1.490,0.000,0.000,6.380,0.000,0.050
Odisha,Sonepur,birmaharajpur,,Total,0.000,34.910,33.510,3.230,0.020,0.000,36.750,-1.840,1.050
Odisha,Sonepur,birmaharajpur,,Block Level Line Deptt.,9.480,9.480,446.550,123.460,0.330,1.890,572.230,-562.750,11.250
Odisha,Sonepur,birmaharajpur,,Po,12.080,407.690,0.000,NA,NA,9.680,9.680,398.010,NA
Odisha,Sonepur,birmaharajpur,,Grand Total,21.560,452.080,480.060,126.690,0.350,11.570,618.660,-166.580,12.300
Odisha,Sonepur,Dunguripali,1,Andharibanji,0.000,0.000,0.170,0.000,0.000,0.000,0.170,-0.170,0.000
Odisha,Sonepur,Dunguripali,2,Badkarley,0.000,0.000,0.350,0.000,0.000,0.000,0.350,-0.350,0.000
Odisha,Sonepur,Dunguripali,3,Baidupali,0.000,0.000,0.460,0.000,0.000,0.000,0.460,-0.460,0.000
Odisha,Sonepur,Dunguripali,4,Bandhapali,0.000,0.000,0.070,0.000,0.000,0.000,0.070,-0.070,0.000
Odisha,Sonepur,Dunguripali,5,Bankipali,0.000,0.000,0.090,0.000,0.000,0.000,0.090,-0.090,0.000
Odisha,Sonepur,Dunguripali,6,Beheramal,0.000,0.000,0.050,0.000,0.000,0.000,0.050,-0.050,0.000
Odisha,Sonepur,Dunguripali,7,Bhimtikra,0.000,0.000,0.350,0.970,0.120,0.000,1.450,-1.450,0.000
Odisha,Sonepur,Dunguripali,8,Cherupali,0.000,0.000,0.890,0.000,0.000,0.000,0.890,-0.890,0.010
Odisha,Sonepur,Dunguripali,9,Chinajuri,0.000,0.000,0.160,0.000,0.000,0.000,0.160,-0.160,0.000
Odisha,Sonepur,Dunguripali,10,Digsira,0.000,0.000,0.350,0.000,0.000,0.000,0.350,-0.350,0.000
Odisha,Sonepur,Dunguripali,11,Dungripali,0.000,0.000,0.190,0.000,0.000,0.000,0.190,-0.190,0.000
Odisha,Sonepur,Dunguripali,12,Gajbandh,0.000,0.000,0.190,0.000,0.000,0.000,0.190,-0.190,0.000
Odisha,Sonepur,Dunguripali,13,Ichhapur,0.000,0.000,0.200,0.000,0.000,0.000,0.200,-0.200,0.010
Odisha,Sonepur,Dunguripali,14,Kapasira,0.000,0.000,0.090,0.040,0.010,0.000,0.140,-0.140,0.000
Odisha,Sonepur,Dunguripali,15,Karlajuri,0.000,0.000,0.610,0.000,0.000,0.000,0.610,-0.610,0.000
Odisha,Sonepur,Dunguripali,16,Lingmarni,0.000,0.000,0.250,0.000,0.000,0.000,0.250,-0.250,0.000
Odisha,Sonepur,Dunguripali,17,Mayabarha,0.000,0.000,0.370,0.000,0.000,0.000,0.370,-0.370,0.000
Odisha,Sonepur,Dunguripali,18,Pandakital- Naikenpali,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Odisha,Sonepur,Dunguripali,19,Rampur,0.000,0.000,0.190,0.000,0.000,0.000,0.190,-0.190,0.030
Odisha,Sonepur,Dunguripali,20,Sahala,0.000,0.000,0.190,0.000,0.000,0.000,0.190,-0.190,0.000
Odisha,Sonepur,Dunguripali,21,Samaleichuan,0.000,0.980,1.070,0.000,0.000,0.000,1.070,-0.090,0.020
Odisha,Sonepur,Dunguripali,22,Sargul,0.000,0.000,0.210,0.000,0.000,0.000,0.210,-0.210,0.000
Odisha,Sonepur,Dunguripali,23,Sukha,0.000,1.270,1.730,0.000,0.000,0.000,1.730,-0.470,0.000
Odisha,Sonepur,Dunguripali,24,Sunapali,0.000,0.000,0.450,0.000,0.000,0.000,0.450,-0.450,0.020
Odisha,Sonepur,Dunguripali,25,Tamamura,0.000,0.000,0.130,0.000,0.000,0.000,0.130,-0.130,0.000
Odisha,Sonepur,Dunguripali,26,Tangerkarley,0.000,0.470,0.570,0.200,0.030,0.000,0.800,-0.330,0.000
Odisha,Sonepur,Dunguripali,,Total,0.000,2.720,9.410,1.220,0.160,0.000,10.790,-8.070,0.090
Odisha,Sonepur,Dunguripali,,Block Level Line Deptt.,0.000,0.000,257.520,63.550,2.730,0.210,324.010,-324.010,2.490
Odisha,Sonepur,Dunguripali,,Po,3.940,320.910,0.000,NA,NA,19.480,19.480,301.430,NA
Odisha,Sonepur,Dunguripali,,Grand Total,3.940,323.630,266.930,64.770,2.890,19.690,354.280,-30.650,2.580
Odisha,Sonepur,Sonepur,1,Baladi,0.000,0.250,0.250,0.000,0.000,0.000,0.250,0.000,0.000
Odisha,Sonepur,Sonepur,2,Bishimunda,0.000,0.050,0.000,0.050,0.000,0.000,0.050,0.000,0.000
Odisha,Sonepur,Sonepur,3,Chhakormal,0.000,2.620,1.910,0.710,0.000,0.000,2.620,0.000,0.000
Odisha,Sonepur,Sonepur,4,Hardakhol,0.000,4.410,2.750,1.510,0.000,0.000,4.260,0.150,0.080
Odisha,Sonepur,Sonepur,5,Janmura,0.000,4.250,1.270,2.710,0.260,0.000,4.250,0.000,0.020
Odisha,Sonepur,Sonepur,6,Kalapathar,0.000,1.070,0.540,0.530,0.000,0.000,1.070,0.000,0.000
Odisha,Sonepur,Sonepur,7,Khaliapali,0.000,2.080,2.060,0.080,0.000,0.000,2.140,-0.050,0.010
Odisha,Sonepur,Sonepur,8,Khari,0.000,0.070,0.000,0.000,0.000,0.000,0.000,0.070,0.000
Odisha,Sonepur,Sonepur,9,Kharjhura,0.000,2.350,2.350,0.000,0.000,0.000,2.350,0.000,0.040
Odisha,Sonepur,Sonepur,10,Lachhipur,0.000,0.320,0.320,0.000,0.000,0.000,0.320,0.000,0.010
Odisha,Sonepur,Sonepur,11,Mallikmunda,0.000,1.890,1.660,0.220,0.000,0.000,1.890,0.000,0.040
Odisha,Sonepur,Sonepur,12,Mayurudan,0.000,0.560,0.560,0.000,0.000,0.000,0.560,0.000,0.070
Odisha,Sonepur,Sonepur,13,Narayanpur,0.000,6.200,4.680,1.540,0.000,0.000,6.220,-0.020,0.030
Odisha,Sonepur,Sonepur,14,Rengali,0.000,1.190,1.190,0.000,0.000,0.000,1.190,0.000,0.040
Odisha,Sonepur,Sonepur,,Total,0.000,27.320,19.530,7.370,0.260,0.000,27.170,0.150,0.350
Odisha,Sonepur,Sonepur,,Block Level Line Deptt.,0.000,0.000,317.630,112.360,4.820,3.240,438.050,-438.050,3.210
Odisha,Sonepur,Sonepur,,Po,6.270,339.710,0.000,NA,NA,14.670,14.670,325.040,NA
Odisha,Sonepur,Sonepur,,Grand Total,6.270,367.030,337.160,119.730,5.080,17.910,479.890,-112.860,3.560
Odisha,Sonepur,Tarbha,1,Badvainro,0.000,0.560,0.560,0.000,0.000,0.000,0.560,0.000,0.060
Odisha,Sonepur,Tarbha,2,Baghia,0.000,1.750,1.730,0.020,0.000,0.000,1.750,0.000,0.000
Odisha,Sonepur,Tarbha,3,Balikhamar,0.000,2.040,2.040,0.000,0.000,0.000,2.040,0.000,0.000
Odisha,Sonepur,Tarbha,4,Brahmani,0.000,4.620,4.510,0.000,0.000,0.000,4.510,0.110,0.230
Odisha,Sonepur,Tarbha,5,Charbhata,0.000,0.290,0.290,0.000,0.000,0.000,0.290,0.000,0.000
Odisha,Sonepur,Tarbha,6,Deulpadar,0.000,43.720,37.520,6.200,0.000,0.000,43.720,0.000,0.280
Odisha,Sonepur,Tarbha,7,Dubula,0.000,1.880,1.880,0.000,0.000,0.000,1.880,0.000,0.100
Odisha,Sonepur,Tarbha,8,Jarajaring,0.000,0.040,0.020,0.000,0.000,0.000,0.020,0.020,0.000
Odisha,Sonepur,Tarbha,9,Jhartarbha,0.000,0.230,0.230,0.000,0.000,0.000,0.230,0.000,0.000
Odisha,Sonepur,Tarbha,10,Kamsara,0.000,3.480,3.620,0.000,0.000,0.000,3.620,-0.150,0.420
Odisha,Sonepur,Tarbha,11,Katapali,0.000,3.420,2.440,0.980,0.000,0.000,3.420,0.000,0.070
Odisha,Sonepur,Tarbha,12,Kumbharmunda,0.000,15.100,12.950,7.040,0.000,0.000,19.990,-4.900,0.110
Odisha,Sonepur,Tarbha,13,Maraduguchha,0.000,0.990,2.250,1.530,0.000,0.000,3.780,-2.790,0.020
Odisha,Sonepur,Tarbha,14,Menda,0.000,0.170,0.170,0.000,0.000,0.000,0.170,0.000,0.000
Odisha,Sonepur,Tarbha,15,Paikbahal,0.000,88.970,86.630,2.440,0.000,0.000,89.070,-0.110,4.730
Odisha,Sonepur,Tarbha,16,Pua,0.000,0.020,0.020,0.000,0.000,0.000,0.020,0.000,0.000
Odisha,Sonepur,Tarbha,17,Ranisarda,0.000,15.670,15.850,0.970,0.000,0.000,16.820,-1.150,0.110
Odisha,Sonepur,Tarbha,18,Sargaj,0.000,0.630,0.630,0.000,0.000,0.000,0.630,0.000,0.030
Odisha,Sonepur,Tarbha,19,Sibtula,0.000,0.260,0.260,0.000,0.000,0.000,0.260,0.000,0.010
Odisha,Sonepur,Tarbha,20,Singhari,0.000,0.540,0.540,0.000,0.000,0.000,0.540,0.000,0.000
Odisha,Sonepur,Tarbha,21,Tulunda,0.000,0.050,0.050,0.000,0.000,0.000,0.050,0.000,0.010
Odisha,Sonepur,Tarbha,,Total,0.000,184.430,174.210,19.180,0.000,0.000,193.390,-8.970,6.170
Odisha,Sonepur,Tarbha,,Block Level Line Deptt.,0.000,0.000,329.020,100.840,0.000,0.720,430.590,-430.590,8.540
Odisha,Sonepur,Tarbha,,Po,-2.130,385.640,0.000,NA,NA,20.550,20.550,365.090,NA
Odisha,Sonepur,Tarbha,,Grand Total,-2.130,570.070,503.230,120.020,0.000,21.270,644.530,-74.470,14.710
Odisha,Sonepur,Ullunda,1,Bishipada,0.000,0.000,0.470,0.000,0.000,0.000,0.470,-0.470,0.000
Odisha,Sonepur,Ullunda,2,Chadeipank,0.000,0.000,0.260,0.000,0.000,0.000,0.260,-0.260,0.010
Odisha,Sonepur,Ullunda,3,Jaloe,0.000,5.810,6.490,0.310,0.000,0.000,6.790,-0.990,0.010
Odisha,Sonepur,Ullunda,4,Jaunrabhaunra,0.000,0.000,0.140,0.000,0.000,0.000,0.140,-0.140,0.010
Odisha,Sonepur,Ullunda,5,Kadodar,0.000,11.940,11.430,0.770,0.000,0.000,12.190,-0.250,0.310
Odisha,Sonepur,Ullunda,6,Kalapathar,0.000,12.350,10.620,1.790,0.000,0.000,12.410,-0.060,0.100
Odisha,Sonepur,Ullunda,7,Kotsamalei,0.000,7.750,4.940,3.170,0.000,0.000,8.110,-0.360,0.020
Odisha,Sonepur,Ullunda,8,Kshemaloe,0.000,1.770,1.800,0.000,0.000,0.000,1.800,-0.030,0.090
Odisha,Sonepur,Ullunda,9,Lastala,0.000,0.100,0.170,0.000,0.000,0.000,0.170,-0.070,0.000
Odisha,Sonepur,Ullunda,10,Mahada,0.000,1.900,2.510,0.030,0.000,0.000,2.540,-0.640,0.090
Odisha,Sonepur,Ullunda,11,Mundoghat,0.000,3.190,2.690,0.240,0.000,0.000,2.930,0.260,0.020
Odisha,Sonepur,Ullunda,12,Nimna,0.000,1.510,1.570,0.000,0.000,0.000,1.570,-0.060,0.000
Odisha,Sonepur,Ullunda,13,Panchamahala,0.000,7.050,2.650,4.820,0.000,0.000,7.470,-0.420,0.010
Odisha,Sonepur,Ullunda,14,Raxa,0.000,1.050,1.280,0.000,0.000,0.000,1.280,-0.230,0.000
Odisha,Sonepur,Ullunda,15,S.Patrapali,0.000,4.240,5.200,0.370,0.000,0.000,5.570,-1.330,0.030
Odisha,Sonepur,Ullunda,16,Sindhol,0.000,5.060,4.600,0.460,0.000,0.000,5.060,0.000,0.200
Odisha,Sonepur,Ullunda,17,Ullunda,0.000,1.420,0.630,0.980,0.000,0.000,1.610,-0.200,0.000
Odisha,Sonepur,Ullunda,,Total,0.000,65.140,57.460,12.920,0.000,0.000,70.390,-5.250,0.910
Odisha,Sonepur,Ullunda,,Block Level Line Deptt.,0.000,0.000,361.780,188.630,0.000,0.830,551.240,-551.240,4.500
Odisha,Sonepur,Ullunda,,Po,3.740,396.880,0.000,NA,NA,9.510,9.510,387.370,NA
Odisha,Sonepur,Ullunda,,Grand Total,3.740,462.020,419.240,201.550,0.000,10.340,631.140,-169.120,5.410
Odisha,Sundargarh,Balisankara,1,Balisankara,0.000,38.960,36.020,3.070,0.000,0.000,39.090,-0.130,0.680
Odisha,Sundargarh,Balisankara,2,Bandega,0.000,39.470,33.770,5.960,0.000,0.000,39.730,-0.260,0.100
Odisha,Sundargarh,Balisankara,3,Bandhabahal,0.000,44.010,30.200,13.770,0.000,0.000,43.970,0.030,0.120
Odisha,Sundargarh,Balisankara,4,Beheradihi,0.000,64.020,52.780,17.550,0.000,0.000,70.320,-6.300,0.110
Odisha,Sundargarh,Balisankara,5,Bhandar Karua Bahal,0.000,26.590,23.350,3.200,0.000,0.000,26.550,0.030,0.020
Odisha,Sundargarh,Balisankara,6,Birkaldihi,0.000,54.620,47.390,7.370,0.000,0.000,54.760,-0.140,0.140
Odisha,Sundargarh,Balisankara,7,Deobhubanpur,0.000,38.810,32.890,6.020,0.000,0.000,38.910,-0.090,0.060
Odisha,Sundargarh,Balisankara,8,Dhubendand,0.000,27.500,28.790,12.750,0.000,0.000,41.530,-14.040,0.040
Odisha,Sundargarh,Balisankara,9,Kinjirkela,0.000,63.230,53.430,9.770,0.000,0.000,63.200,0.030,0.000
Odisha,Sundargarh,Balisankara,10,Kurei,0.000,48.260,38.970,40.760,0.000,0.000,79.730,-31.470,0.210
Odisha,Sundargarh,Balisankara,11,Kusummura,0.000,54.030,42.720,12.650,0.000,0.000,55.370,-1.340,0.050
Odisha,Sundargarh,Balisankara,12,Lulukidihi,0.000,18.280,15.130,3.470,0.000,0.000,18.600,-0.320,0.040
Odisha,Sundargarh,Balisankara,13,Rampur,0.000,49.880,31.470,26.310,0.000,0.000,57.790,-7.910,0.340
Odisha,Sundargarh,Balisankara,14,Sagbahal,0.000,41.680,31.130,12.710,0.000,0.000,43.850,-2.170,0.000
Odisha,Sundargarh,Balisankara,15,Saunamara,0.000,12.720,10.730,2.370,0.000,0.000,13.100,-0.380,0.040
Odisha,Sundargarh,Balisankara,16,Talsara,0.000,43.200,33.520,23.180,0.000,0.000,56.700,-13.500,0.130
Odisha,Sundargarh,Balisankara,17,Tilaikani,0.000,42.260,37.940,16.510,0.000,0.000,54.450,-12.190,0.270
Odisha,Sundargarh,Balisankara,18,Tildega,0.000,24.250,22.630,1.630,0.000,0.000,24.250,0.000,0.140
Odisha,Sundargarh,Balisankara,19,Tumlia,0.000,63.210,41.960,26.270,0.000,0.000,68.230,-5.020,0.240
Odisha,Sundargarh,Balisankara,,Total,0.000,794.970,644.810,245.320,0.000,0.000,890.130,-95.160,2.740
Odisha,Sundargarh,Balisankara,,Block Level Line Deptt.,0.000,0.000,23.980,37.480,4.170,0.400,66.040,-66.040,0.230
Odisha,Sundargarh,Balisankara,,Po,0.000,120.340,0.000,NA,NA,16.280,16.280,104.060,NA
Odisha,Sundargarh,Balisankara,,Grand Total,0.000,915.310,668.790,282.800,4.170,16.680,972.450,-57.140,2.970
Odisha,Sundargarh,Bargaon,1,Bamdera,0.000,40.650,37.090,4.270,0.000,0.000,41.370,-0.720,0.010
Odisha,Sundargarh,Bargaon,2,Baranga Kachhar,0.000,28.520,19.620,8.600,0.000,0.000,28.220,0.300,0.680
Odisha,Sundargarh,Bargaon,3,Bargaon,0.000,37.940,33.220,4.700,0.000,0.000,37.920,0.010,0.120
Odisha,Sundargarh,Bargaon,4,Bhoipali,0.000,24.000,20.530,3.460,0.000,0.000,24.000,0.000,0.120
Odisha,Sundargarh,Bargaon,5,Dandajamira,0.000,26.470,19.850,6.620,0.000,0.000,26.470,0.000,0.690
Odisha,Sundargarh,Bargaon,6,Ekma,0.000,36.490,25.660,10.780,0.000,0.000,36.440,0.050,0.510
Odisha,Sundargarh,Bargaon,7,Fulabari,0.000,77.990,51.850,26.040,0.000,0.000,77.900,0.100,0.090
Odisha,Sundargarh,Bargaon,8,Itama,0.000,22.860,19.690,3.170,0.000,0.000,22.860,0.000,0.340
Odisha,Sundargarh,Bargaon,9,Jarangaloi,0.000,124.180,88.130,35.810,0.000,0.000,123.940,0.240,0.630
Odisha,Sundargarh,Bargaon,10,Pamra,0.000,59.350,39.180,20.170,0.000,0.000,59.350,0.000,0.000
Odisha,Sundargarh,Bargaon,11,Rungaon,0.000,58.400,33.590,24.630,0.000,0.000,58.220,0.190,2.620
Odisha,Sundargarh,Bargaon,12,Sahaj Bahal,0.000,68.590,56.400,12.240,0.000,0.000,68.650,-0.060,1.290
Odisha,Sundargarh,Bargaon,13,Tikili Para,0.000,25.010,20.150,4.870,0.000,0.000,25.010,0.000,0.090
Odisha,Sundargarh,Bargaon,14,Timna,0.000,8.520,7.370,1.300,0.000,0.000,8.670,-0.150,0.000
Odisha,Sundargarh,Bargaon,15,Tudalaga,0.000,32.040,29.550,2.490,0.000,0.000,32.040,0.000,0.390
Odisha,Sundargarh,Bargaon,,Total,0.000,671.010,501.890,169.170,0.000,0.000,671.050,-0.040,7.570
Odisha,Sundargarh,Bargaon,,Block Level Line Deptt.,0.000,0.000,36.200,31.530,0.960,0.680,69.370,-69.370,0.620
Odisha,Sundargarh,Bargaon,,Po,0.000,25.980,0.000,NA,NA,14.870,14.870,11.110,NA
