Name of the State,Name of the District,Name of the Block,Number of Gram Panchayats,Name of the Gram Panchayat,Openning Balance for FY 2018-19,Total Fund Available for the FY 2018-19,Total Expenditure on Wages for FY 2018-19,Total Expenditure on Materials for FY 2018-19,Total Expenditure on Tax for FY 2018-19,Total Expenditure on Admin Expenses  for FY 2018-19,Grand Total Expenditure for FY 2018-19,Total Unspent Balance for FY 2018-19,Total Payment Due for FY 2018-19
Odisha,Bolangir,Belpara,10,Ghagurli,2.950,34.730,28.010,3.480,0.000,0.000,31.490,3.230,2.090
Odisha,Bolangir,Belpara,11,Juba,1.410,9.350,7.940,0.000,0.000,0.000,7.940,1.410,0.120
Odisha,Bolangir,Belpara,12,Kandhenjhula,0.460,10.220,9.740,0.000,0.000,0.000,9.740,0.480,0.000
Odisha,Bolangir,Belpara,13,Kanut,-0.800,15.480,16.210,0.000,0.000,0.000,16.210,-0.730,0.000
Odisha,Bolangir,Belpara,14,Kapani,0.210,7.660,7.430,0.000,0.000,0.000,7.430,0.230,0.090
Odisha,Bolangir,Belpara,15,Madhyapur,1.920,4.100,2.180,0.000,0.000,0.000,2.180,1.920,0.090
Odisha,Bolangir,Belpara,16,Mandal,0.320,33.750,25.720,7.740,0.000,0.000,33.470,0.290,0.160
Odisha,Bolangir,Belpara,17,Nunhad,1.840,22.510,19.980,0.690,0.000,0.000,20.670,1.840,0.130
Odisha,Bolangir,Belpara,18,Pandrijore,2.550,12.470,9.920,0.000,0.000,0.000,9.920,2.550,0.030
Odisha,Bolangir,Belpara,19,Parlimal,1.220,15.180,10.380,3.550,0.000,0.000,13.930,1.250,0.040
Odisha,Bolangir,Belpara,20,Salendi,-0.040,6.830,6.870,0.000,0.000,0.000,6.870,-0.040,0.070
Odisha,Bolangir,Belpara,21,Sarmuhan,4.860,20.720,15.870,0.000,0.000,0.000,15.870,4.860,0.240
Odisha,Bolangir,Belpara,22,Sihini,3.940,12.640,8.700,0.000,0.000,0.000,8.700,3.940,0.080
Odisha,Bolangir,Belpara,23,Sulekela,-0.140,14.620,14.680,0.000,0.000,0.000,14.680,-0.050,0.080
