g_ac_id,g_ac,g_block,g_gp,g_district,g_pc,g_match_id
5,5 bhatli,sohella,salepali,baragarh,bargarh,217
5,5 bhatli,sohella,sanimal,baragarh,bargarh,218
5,5 bhatli,sohella,sarkanda,baragarh,bargarh,219
5,5 bhatli,sohella,sohella.,baragarh,bargarh,220
5,5 bhatli,sohella,srigida,baragarh,bargarh,221
5,5 bhatli,sohella,tabda,baragarh,bargarh,222
5,5 bhatli,sohella,tungibandhali,baragarh,bargarh,223
5,5 bhatli,bhatli,bhadigaon,baragarh,bargarh,224
5,5 bhatli,bhatli,bhatli,baragarh,bargarh,225
5,5 bhatli,bhatli,chadeigaon,baragarh,bargarh,226
5,5 bhatli,bhatli,damalpali,baragarh,bargarh,227
5,5 bhatli,bhatli,halupali,baragarh,bargarh,228
5,5 bhatli,bhatli,hatisar,baragarh,bargarh,229
5,5 bhatli,bhatli,kamgaon,baragarh,bargarh,230
5,5 bhatli,bhatli,kashaipali,baragarh,bargarh,231
5,5 bhatli,bhatli,kelendupali,baragarh,bargarh,232
5,5 bhatli,bhatli,kharmunda,baragarh,bargarh,233
5,5 bhatli,bhatli,mulbar,baragarh,bargarh,234
5,5 bhatli,bhatli,narangpur,baragarh,bargarh,235
5,5 bhatli,bhatli,nuagarh,baragarh,bargarh,236
5,5 bhatli,bhatli,sukuda,baragarh,bargarh,237
5,5 bhatli,bhatli,tejagula,baragarh,bargarh,238
5,5 bhatli,bhatli,urduna,baragarh,bargarh,239
5,5 bhatli,ambabhona,ambabhona,baragarh,bargarh,240
5,5 bhatli,ambabhona,banjipali,baragarh,bargarh,241
5,5 bhatli,ambabhona,bhainatara,baragarh,bargarh,242
5,5 bhatli,ambabhona,bhukta,baragarh,bargarh,243
5,5 bhatli,ambabhona,bungapali,baragarh,bargarh,244
5,5 bhatli,ambabhona,dunguri,baragarh,bargarh,245
5,5 bhatli,ambabhona,dwari,baragarh,bargarh,246
5,5 bhatli,ambabhona,kandpala,baragarh,bargarh,247
5,5 bhatli,ambabhona,kapasira,baragarh,bargarh,248
5,5 bhatli,ambabhona,karla,baragarh,bargarh,249
5,5 bhatli,ambabhona,khola,baragarh,bargarh,250
5,5 bhatli,ambabhona,kumbho,baragarh,bargarh,251
5,5 bhatli,ambabhona,lakhanpur,baragarh,bargarh,252
5,5 bhatli,ambabhona,ruchida,baragarh,bargarh,253
5,5 bhatli,ambabhona,uttam,baragarh,bargarh,254
6,6 brajarajnagar,lakhanpur,attabira,jharsuguda,bargarh,255
6,6 brajarajnagar,lakhanpur,badimal,jharsuguda,bargarh,256
6,6 brajarajnagar,lakhanpur,baghmunda,jharsuguda,bargarh,257
6,6 brajarajnagar,lakhanpur,bandhabahal,jharsuguda,bargarh,258
6,6 brajarajnagar,lakhanpur,banjari,jharsuguda,bargarh,259
6,6 brajarajnagar,lakhanpur,bhikampali,jharsuguda,bargarh,260
6,6 brajarajnagar,lakhanpur,bhounrkhol,jharsuguda,bargarh,261
6,6 brajarajnagar,lakhanpur,charpali,jharsuguda,bargarh,262
6,6 brajarajnagar,lakhanpur,dalgaon,jharsuguda,bargarh,263
6,6 brajarajnagar,lakhanpur,jamgaon,jharsuguda,bargarh,264
6,6 brajarajnagar,lakhanpur,kadamdihi,jharsuguda,bargarh,265
6,6 brajarajnagar,lakhanpur,kanaktora,jharsuguda,bargarh,266
6,6 brajarajnagar,lakhanpur,kandheikela,jharsuguda,bargarh,267
6,6 brajarajnagar,lakhanpur,katarbaga,jharsuguda,bargarh,268
6,6 brajarajnagar,lakhanpur,kudaloi,jharsuguda,bargarh,269
6,6 brajarajnagar,lakhanpur,kumarbandh,jharsuguda,bargarh,270
6,6 brajarajnagar,lakhanpur,kushraloi,jharsuguda,bargarh,271
6,6 brajarajnagar,lakhanpur,lakhanpur,jharsuguda,bargarh,272
6,6 brajarajnagar,lakhanpur,machida,jharsuguda,bargarh,273
