SL NO. for AC,AC,ULB,Wards of ULBs,District,PCs,Sl. No. of PCs,Notified Area Council (NAC),Municipality (M),Municipal Corporation (MC),Outgrowth (OG)
78,78 Junagarh,Junagarh (NAC),Junagarh (NAC) - Ward No.11,Kalahandi,Kalahandi,11,Junagarh (NAC),,,
78,78 Junagarh,Junagarh (NAC),Junagarh (NAC) - Ward No.12,Kalahandi,Kalahandi,11,Junagarh (NAC),,,
78,78 Junagarh,Junagarh (NAC),Junagarh (NAC) - Ward No.2,Kalahandi,Kalahandi,11,Junagarh (NAC),,,
78,78 Junagarh,Junagarh (NAC),Junagarh (NAC) - Ward No.3,Kalahandi,Kalahandi,11,Junagarh (NAC),,,
78,78 Junagarh,Junagarh (NAC),Junagarh (NAC) - Ward No.4,Kalahandi,Kalahandi,11,Junagarh (NAC),,,
78,78 Junagarh,Junagarh (NAC),Junagarh (NAC) - Ward No.5,Kalahandi,Kalahandi,11,Junagarh (NAC),,,
78,78 Junagarh,Junagarh (NAC),Junagarh (NAC) - Ward No.6,Kalahandi,Kalahandi,11,Junagarh (NAC),,,
78,78 Junagarh,Junagarh (NAC),Junagarh (NAC) - Ward No.7,Kalahandi,Kalahandi,11,Junagarh (NAC),,,
78,78 Junagarh,Junagarh (NAC),Junagarh (NAC) - Ward No.8,Kalahandi,Kalahandi,11,Junagarh (NAC),,,
78,78 Junagarh,Junagarh (NAC),Junagarh (NAC) - Ward No.9,Kalahandi,Kalahandi,11,Junagarh (NAC),,,
80,80 Bhawanipatna (SC),Bhawanipatna (M),Bhawanipatna (M) - Ward No.1,Kalahandi,Kalahandi,11,,Bhawanipatna (M),,
80,80 Bhawanipatna (SC),Bhawanipatna (M),Bhawanipatna (M) - Ward No.10,Kalahandi,Kalahandi,11,,Bhawanipatna (M),,
80,80 Bhawanipatna (SC),Bhawanipatna (M),Bhawanipatna (M) - Ward No.11,Kalahandi,Kalahandi,11,,Bhawanipatna (M),,
80,80 Bhawanipatna (SC),Bhawanipatna (M),Bhawanipatna (M) - Ward No.12,Kalahandi,Kalahandi,11,,Bhawanipatna (M),,
80,80 Bhawanipatna (SC),Bhawanipatna (M),Bhawanipatna (M) - Ward No.13,Kalahandi,Kalahandi,11,,Bhawanipatna (M),,
80,80 Bhawanipatna (SC),Bhawanipatna (M),Bhawanipatna (M) - Ward No.14,Kalahandi,Kalahandi,11,,Bhawanipatna (M),,
80,80 Bhawanipatna (SC),Bhawanipatna (M),Bhawanipatna (M) - Ward No.15,Kalahandi,Kalahandi,11,,Bhawanipatna (M),,
80,80 Bhawanipatna (SC),Bhawanipatna (M),Bhawanipatna (M) - Ward No.16,Kalahandi,Kalahandi,11,,Bhawanipatna (M),,
80,80 Bhawanipatna (SC),Bhawanipatna (M),Bhawanipatna (M) - Ward No.17,Kalahandi,Kalahandi,11,,Bhawanipatna (M),,
80,80 Bhawanipatna (SC),Bhawanipatna (M),Bhawanipatna (M) - Ward No.18,Kalahandi,Kalahandi,11,,Bhawanipatna (M),,
80,80 Bhawanipatna (SC),Bhawanipatna (M),Bhawanipatna (M) - Ward No.19,Kalahandi,Kalahandi,11,,Bhawanipatna (M),,
80,80 Bhawanipatna (SC),Bhawanipatna (M),Bhawanipatna (M) - Ward No.2,Kalahandi,Kalahandi,11,,Bhawanipatna (M),,
80,80 Bhawanipatna (SC),Bhawanipatna (M),Bhawanipatna (M) - Ward No.20,Kalahandi,Kalahandi,11,,Bhawanipatna (M),,
80,80 Bhawanipatna (SC),Bhawanipatna (M),Bhawanipatna (M) - Ward No.3,Kalahandi,Kalahandi,11,,Bhawanipatna (M),,
80,80 Bhawanipatna (SC),Bhawanipatna (M),Bhawanipatna (M) - Ward No.4,Kalahandi,Kalahandi,11,,Bhawanipatna (M),,
80,80 Bhawanipatna (SC),Bhawanipatna (M),Bhawanipatna (M) - Ward No.5,Kalahandi,Kalahandi,11,,Bhawanipatna (M),,
80,80 Bhawanipatna (SC),Bhawanipatna (M),Bhawanipatna (M) - Ward No.6,Kalahandi,Kalahandi,11,,Bhawanipatna (M),,
80,80 Bhawanipatna (SC),Bhawanipatna (M),Bhawanipatna (M) - Ward No.7,Kalahandi,Kalahandi,11,,Bhawanipatna (M),,
80,80 Bhawanipatna (SC),Bhawanipatna (M),Bhawanipatna (M) - Ward No.8,Kalahandi,Kalahandi,11,,Bhawanipatna (M),,
80,80 Bhawanipatna (SC),Bhawanipatna (M),Bhawanipatna (M) - Ward No.9,Kalahandi,Kalahandi,11,,Bhawanipatna (M),,
80,80 Bhawanipatna (SC),Kesinga (NAC),Kesinga (NAC) - Ward No.1,Kalahandi,Kalahandi,11,Kesinga (NAC),,,
80,80 Bhawanipatna (SC),Kesinga (NAC),Kesinga (NAC) - Ward No.10,Kalahandi,Kalahandi,11,Kesinga (NAC),,,
80,80 Bhawanipatna (SC),Kesinga (NAC),Kesinga (NAC) - Ward No.11,Kalahandi,Kalahandi,11,Kesinga (NAC),,,
80,80 Bhawanipatna (SC),Kesinga (NAC),Kesinga (NAC) - Ward No.12,Kalahandi,Kalahandi,11,Kesinga (NAC),,,
80,80 Bhawanipatna (SC),Kesinga (NAC),Kesinga (NAC) - Ward No.2,Kalahandi,Kalahandi,11,Kesinga (NAC),,,
80,80 Bhawanipatna (SC),Kesinga (NAC),Kesinga (NAC) - Ward No.3,Kalahandi,Kalahandi,11,Kesinga (NAC),,,
80,80 Bhawanipatna (SC),Kesinga (NAC),Kesinga (NAC) - Ward No.4,Kalahandi,Kalahandi,11,Kesinga (NAC),,,
80,80 Bhawanipatna (SC),Kesinga (NAC),Kesinga (NAC) - Ward No.5,Kalahandi,Kalahandi,11,Kesinga (NAC),,,
80,80 Bhawanipatna (SC),Kesinga (NAC),Kesinga (NAC) - Ward No.6,Kalahandi,Kalahandi,11,Kesinga (NAC),,,
80,80 Bhawanipatna (SC),Kesinga (NAC),Kesinga (NAC) - Ward No.7,Kalahandi,Kalahandi,11,Kesinga (NAC),,,
80,80 Bhawanipatna (SC),Kesinga (NAC),Kesinga (NAC) - Ward No.8,Kalahandi,Kalahandi,11,Kesinga (NAC),,,
80,80 Bhawanipatna (SC),Kesinga (NAC),Kesinga (NAC) - Ward No.9,Kalahandi,Kalahandi,11,Kesinga (NAC),,,
73,73 Umerkote (ST),Umerkote (NAC),Umarkote M) - Ward No.1,Nabrangpur,Nabarangpur (ST),12,Umerkote (NAC),,,
73,73 Umerkote (ST),Umerkote (NAC),Umarkote (M) - Ward No.10,Nabrangpur,Nabarangpur (ST),12,Umerkote (NAC),,,
73,73 Umerkote (ST),Umerkote (NAC),Umarkote (M) - Ward No.11,Nabrangpur,Nabarangpur (ST),12,Umerkote (NAC),,,
73,73 Umerkote (ST),Umerkote (NAC),Umarkote (M) - Ward No.12,Nabrangpur,Nabarangpur (ST),12,Umerkote (NAC),,,
73,73 Umerkote (ST),Umerkote (NAC),Umarkote (M) - Ward No.13,Nabrangpur,Nabarangpur (ST),12,Umerkote (NAC),,,
73,73 Umerkote (ST),Umerkote (NAC),Umarkote (M) - Ward No.14,Nabrangpur,Nabarangpur (ST),12,Umerkote (NAC),,,
73,73 Umerkote (ST),Umerkote (NAC),Umarkote (M) - Ward No.2,Nabrangpur,Nabarangpur (ST),12,Umerkote (NAC),,,
73,73 Umerkote (ST),Umerkote (NAC),Umarkote (M) - Ward No.3,Nabrangpur,Nabarangpur (ST),12,Umerkote (NAC),,,
73,73 Umerkote (ST),Umerkote (NAC),Umarkote (M) - Ward No.4,Nabrangpur,Nabarangpur (ST),12,Umerkote (NAC),,,
73,73 Umerkote (ST),Umerkote (NAC),Umarkote (M) - Ward No.5,Nabrangpur,Nabarangpur (ST),12,Umerkote (NAC),,,
73,73 Umerkote (ST),Umerkote (NAC),Umarkote (M) - Ward No.6,Nabrangpur,Nabarangpur (ST),12,Umerkote (NAC),,,
73,73 Umerkote (ST),Umerkote (NAC),Umarkote (M) - Ward No.7,Nabrangpur,Nabarangpur (ST),12,Umerkote (NAC),,,
73,73 Umerkote (ST),Umerkote (NAC),Umarkote (M) - Ward No.8,Nabrangpur,Nabarangpur (ST),12,Umerkote (NAC),,,
73,73 Umerkote (ST),Umerkote (NAC),Umarkote (M) - Ward No.9,Nabrangpur,Nabarangpur (ST),12,Umerkote (NAC),,,
75,75 Nabarangpur (ST),Nabarangpur (M),Nabarangapur (M) - Ward No.1,Nabrangpur,Nabarangpur (ST),12,,Nabarangpur (M),,
75,75 Nabarangpur (ST),Nabarangpur (M),Nabarangapur (M) - Ward No.10,Nabrangpur,Nabarangpur (ST),12,,Nabarangpur (M),,
75,75 Nabarangpur (ST),Nabarangpur (M),Nabarangapur (M) - Ward No.11,Nabrangpur,Nabarangpur (ST),12,,Nabarangpur (M),,
75,75 Nabarangpur (ST),Nabarangpur (M),Nabarangapur (M) - Ward No.12,Nabrangpur,Nabarangpur (ST),12,,Nabarangpur (M),,
75,75 Nabarangpur (ST),Nabarangpur (M),Nabarangapur (M) - Ward No.13,Nabrangpur,Nabarangpur (ST),12,,Nabarangpur (M),,
75,75 Nabarangpur (ST),Nabarangpur (M),Nabarangapur (M) - Ward No.14,Nabrangpur,Nabarangpur (ST),12,,Nabarangpur (M),,
75,75 Nabarangpur (ST),Nabarangpur (M),Nabarangapur (M) - Ward No.15,Nabrangpur,Nabarangpur (ST),12,,Nabarangpur (M),,
75,75 Nabarangpur (ST),Nabarangpur (M),Nabarangapur (M) - Ward No.16,Nabrangpur,Nabarangpur (ST),12,,Nabarangpur (M),,
75,75 Nabarangpur (ST),Nabarangpur (M),Nabarangapur (M) - Ward No.17,Nabrangpur,Nabarangpur (ST),12,,Nabarangpur (M),,
75,75 Nabarangpur (ST),Nabarangpur (M),Nabarangapur (M) - Ward No.2,Nabrangpur,Nabarangpur (ST),12,,Nabarangpur (M),,
75,75 Nabarangpur (ST),Nabarangpur (M),Nabarangapur (M) - Ward No.3,Nabrangpur,Nabarangpur (ST),12,,Nabarangpur (M),,
75,75 Nabarangpur (ST),Nabarangpur (M),Nabarangapur (M) - Ward No.4,Nabrangpur,Nabarangpur (ST),12,,Nabarangpur (M),,
75,75 Nabarangpur (ST),Nabarangpur (M),Nabarangapur (M) - Ward No.5,Nabrangpur,Nabarangpur (ST),12,,Nabarangpur (M),,
75,75 Nabarangpur (ST),Nabarangpur (M),Nabarangapur (M) - Ward No.6,Nabrangpur,Nabarangpur (ST),12,,Nabarangpur (M),,
75,75 Nabarangpur (ST),Nabarangpur (M),Nabarangapur (M) - Ward No.7,Nabrangpur,Nabarangpur (ST),12,,Nabarangpur (M),,
75,75 Nabarangpur (ST),Nabarangpur (M),Nabarangapur (M) - Ward No.8,Nabrangpur,Nabarangpur (ST),12,,Nabarangpur (M),,
75,75 Nabarangpur (ST),Nabarangpur (M),Nabarangapur (M) - Ward No.9,Nabrangpur,Nabarangpur (ST),12,,Nabarangpur (M),,
142,142 Kotpad (ST),Kotpad (NAC),Kotpad (NAC) - Ward No.1,Koraput,Nabarangpur (ST),12,Kotpad (NAC),,,
142,142 Kotpad (ST),Kotpad (NAC),Kotpad (NAC) - Ward No.11,Koraput,Nabarangpur (ST),12,Kotpad (NAC),,,
142,142 Kotpad (ST),Kotpad (NAC),Kotpad (NAC) - Ward No.12,Koraput,Nabarangpur (ST),12,Kotpad (NAC),,,
142,142 Kotpad (ST),Kotpad (NAC),Kotpad (NAC) - Ward No.13,Koraput,Nabarangpur (ST),12,Kotpad (NAC),,,
142,142 Kotpad (ST),Kotpad (NAC),Kotpad (NAC) - Ward No.2,Koraput,Nabarangpur (ST),12,Kotpad (NAC),,,
142,142 Kotpad (ST),Kotpad (NAC),Kotpad (NAC) - Ward No.3,Koraput,Nabarangpur (ST),12,Kotpad (NAC),,,
142,142 Kotpad (ST),Kotpad (NAC),Kotpad (NAC) - Ward No.4,Koraput,Nabarangpur (ST),12,Kotpad (NAC),,,
142,142 Kotpad (ST),Kotpad (NAC),Kotpad (NAC) - Ward No.5,Koraput,Nabarangpur (ST),12,Kotpad (NAC),,,
142,142 Kotpad (ST),Kotpad (NAC),Kotpad (NAC) - Ward No.6,Koraput,Nabarangpur (ST),12,Kotpad (NAC),,,
142,142 Kotpad (ST),Kotpad (NAC),Kotpad (NAC) - Ward No.7,Koraput,Nabarangpur (ST),12,Kotpad (NAC),,,
142,142 Kotpad (ST),Kotpad (NAC),Kotpad (NAC) - Ward No.8,Koraput,Nabarangpur (ST),12,Kotpad (NAC),,,
142,142 Kotpad (ST),Kotpad (NAC),Kotpad (NAC) - Ward No.9,Koraput,Nabarangpur (ST),12,Kotpad (NAC),,,
142,142 Kotpad (ST),Kotpad (NAC),Kotpad (NAC) - Ward No.10,Koraput,Nabarangpur (ST),12,Kotpad (NAC),,,
146,146 Malkangiri (ST),MalkangirI (NAC),Malkangiri (M) - Ward No.1,Malkangiri,Nabarangpur (ST),12,MalkangirI (NAC),,,
146,146 Malkangiri (ST),MalkangirI (NAC),Malkangiri (M) - Ward No.10,Malkangiri,Nabarangpur (ST),12,MalkangirI (NAC),,,
146,146 Malkangiri (ST),MalkangirI (NAC),Malkangiri (M) - Ward No.11,Malkangiri,Nabarangpur (ST),12,MalkangirI (NAC),,,
146,146 Malkangiri (ST),MalkangirI (NAC),Malkangiri (M) - Ward No.12,Malkangiri,Nabarangpur (ST),12,MalkangirI (NAC),,,
146,146 Malkangiri (ST),MalkangirI (NAC),Malkangiri (M) - Ward No.13,Malkangiri,Nabarangpur (ST),12,MalkangirI (NAC),,,
146,146 Malkangiri (ST),MalkangirI (NAC),Malkangiri (M) - Ward No.14,Malkangiri,Nabarangpur (ST),12,MalkangirI (NAC),,,
146,146 Malkangiri (ST),MalkangirI (NAC),Malkangiri (M) - Ward No.15,Malkangiri,Nabarangpur (ST),12,MalkangirI (NAC),,,
146,146 Malkangiri (ST),MalkangirI (NAC),Malkangiri (M) - Ward No.16,Malkangiri,Nabarangpur (ST),12,MalkangirI (NAC),,,
146,146 Malkangiri (ST),MalkangirI (NAC),Malkangiri (M) - Ward No.17,Malkangiri,Nabarangpur (ST),12,MalkangirI (NAC),,,
146,146 Malkangiri (ST),MalkangirI (NAC),Malkangiri (M) - Ward No.18,Malkangiri,Nabarangpur (ST),12,MalkangirI (NAC),,,
146,146 Malkangiri (ST),MalkangirI (NAC),Malkangiri (M) - Ward No.19,Malkangiri,Nabarangpur (ST),12,MalkangirI (NAC),,,
146,146 Malkangiri (ST),MalkangirI (NAC),Malkangiri (M) - Ward No.2,Malkangiri,Nabarangpur (ST),12,MalkangirI (NAC),,,
146,146 Malkangiri (ST),MalkangirI (NAC),Malkangiri (M) - Ward No.3,Malkangiri,Nabarangpur (ST),12,MalkangirI (NAC),,,
146,146 Malkangiri (ST),MalkangirI (NAC),Malkangiri (M) - Ward No.4,Malkangiri,Nabarangpur (ST),12,MalkangirI (NAC),,,
146,146 Malkangiri (ST),MalkangirI (NAC),Malkangiri (M) - Ward No.5,Malkangiri,Nabarangpur (ST),12,MalkangirI (NAC),,,
146,146 Malkangiri (ST),MalkangirI (NAC),Malkangiri (M) - Ward No.6,Malkangiri,Nabarangpur (ST),12,MalkangirI (NAC),,,
146,146 Malkangiri (ST),MalkangirI (NAC),Malkangiri (M) - Ward No.7,Malkangiri,Nabarangpur (ST),12,MalkangirI (NAC),,,
146,146 Malkangiri (ST),MalkangirI (NAC),Malkangiri (M) - Ward No.8,Malkangiri,Nabarangpur (ST),12,MalkangirI (NAC),,,
146,146 Malkangiri (ST),MalkangirI (NAC),Malkangiri (M) - Ward No.9,Malkangiri,Nabarangpur (ST),12,MalkangirI (NAC),,,
147,147 Chitrakonda (ST),Balimela (NAC),Balimela Ward No - 1,Malkangiri,Nabarangpur (ST),12,Balimela (NAC),,,
147,147 Chitrakonda (ST),Balimela (NAC),Balimela Ward No - 2,Malkangiri,Nabarangpur (ST),12,Balimela (NAC),,,
147,147 Chitrakonda (ST),Balimela (NAC),Balimela Ward No - 3,Malkangiri,Nabarangpur (ST),12,Balimela (NAC),,,
147,147 Chitrakonda (ST),Balimela (NAC),Balimela Ward No - 4,Malkangiri,Nabarangpur (ST),12,Balimela (NAC),,,
147,147 Chitrakonda (ST),Balimela (NAC),Balimela Ward No - 5,Malkangiri,Nabarangpur (ST),12,Balimela (NAC),,,
147,147 Chitrakonda (ST),Balimela (NAC),Balimela Ward No - 6,Malkangiri,Nabarangpur (ST),12,Balimela (NAC),,,
147,147 Chitrakonda (ST),Balimela (NAC),Balimela Ward No - 7,Malkangiri,Nabarangpur (ST),12,Balimela (NAC),,,
147,147 Chitrakonda (ST),Balimela (NAC),Balimela Ward No - 8,Malkangiri,Nabarangpur (ST),12,Balimela (NAC),,,
147,147 Chitrakonda (ST),Balimela (NAC),Balimela Ward No - 9,Malkangiri,Nabarangpur (ST),12,Balimela (NAC),,,
147,147 Chitrakonda (ST),Balimela (NAC),Balimela Ward No - 10,Malkangiri,Nabarangpur (ST),12,Balimela (NAC),,,
147,147 Chitrakonda (ST),Balimela (NAC),Balimela Ward No - 11,Malkangiri,Nabarangpur (ST),12,Balimela (NAC),,,
147,147 Chitrakonda (ST),Balimela (NAC),Balimela Ward No - 12,Malkangiri,Nabarangpur (ST),12,Balimela (NAC),,,
82,82 Baliguda (ST),Baliguda (NAC),Baliguda (NAC) - Ward No. 1,Kandhamal(Phulbani),Kandhamal,13,Baliguda (NAC),,,
82,82 Baliguda (ST),Baliguda (NAC),Baliguda (NAC) - Ward No. 10,Kandhamal(Phulbani),Kandhamal,13,Baliguda (NAC),,,
82,82 Baliguda (ST),Baliguda (NAC),Baliguda (NAC) - Ward No. 11,Kandhamal(Phulbani),Kandhamal,13,Baliguda (NAC),,,
82,82 Baliguda (ST),Baliguda (NAC),Baliguda (NAC) - Ward No. 12,Kandhamal(Phulbani),Kandhamal,13,Baliguda (NAC),,,
82,82 Baliguda (ST),Baliguda (NAC),Baliguda (NAC) - Ward No. 13,Kandhamal(Phulbani),Kandhamal,13,Baliguda (NAC),,,
82,82 Baliguda (ST),Baliguda (NAC),Baliguda (NAC) - Ward No. 2,Kandhamal(Phulbani),Kandhamal,13,Baliguda (NAC),,,
82,82 Baliguda (ST),Baliguda (NAC),Baliguda (NAC) - Ward No. 3,Kandhamal(Phulbani),Kandhamal,13,Baliguda (NAC),,,
82,82 Baliguda (ST),Baliguda (NAC),Baliguda (NAC) - Ward No. 4,Kandhamal(Phulbani),Kandhamal,13,Baliguda (NAC),,,
82,82 Baliguda (ST),Baliguda (NAC),Baliguda (NAC) - Ward No. 5,Kandhamal(Phulbani),Kandhamal,13,Baliguda (NAC),,,
82,82 Baliguda (ST),Baliguda (NAC),Baliguda (NAC) - Ward No. 6,Kandhamal(Phulbani),Kandhamal,13,Baliguda (NAC),,,
82,82 Baliguda (ST),Baliguda (NAC),Baliguda (NAC) - Ward No. 7,Kandhamal(Phulbani),Kandhamal,13,Baliguda (NAC),,,
82,82 Baliguda (ST),Baliguda (NAC),Baliguda (NAC) - Ward No. 8,Kandhamal(Phulbani),Kandhamal,13,Baliguda (NAC),,,
82,82 Baliguda (ST),Baliguda (NAC),Baliguda (NAC) - Ward No. 9,Kandhamal(Phulbani),Kandhamal,13,Baliguda (NAC),,,
83,83 G. Udayagiri (ST),G.Udayagiri (NAC),G. Udayagiri (NAC) - Ward No.1,Kandhamal(Phulbani),Kandhamal,13,G.Udayagiri (NAC),,,
83,83 G. Udayagiri (ST),G.Udayagiri (NAC),G. Udayagiri (NAC) - Ward No.10,Kandhamal(Phulbani),Kandhamal,13,G.Udayagiri (NAC),,,
83,83 G. Udayagiri (ST),G.Udayagiri (NAC),G. Udayagiri (NAC) - Ward No.11,Kandhamal(Phulbani),Kandhamal,13,G.Udayagiri (NAC),,,
83,83 G. Udayagiri (ST),G.Udayagiri (NAC),G. Udayagiri (NAC) - Ward No.12,Kandhamal(Phulbani),Kandhamal,13,G.Udayagiri (NAC),,,
83,83 G. Udayagiri (ST),G.Udayagiri (NAC),G. Udayagiri (NAC) - Ward No.13,Kandhamal(Phulbani),Kandhamal,13,G.Udayagiri (NAC),,,
83,83 G. Udayagiri (ST),G.Udayagiri (NAC),G. Udayagiri (NAC) - Ward No.2,Kandhamal(Phulbani),Kandhamal,13,G.Udayagiri (NAC),,,
83,83 G. Udayagiri (ST),G.Udayagiri (NAC),G. Udayagiri (NAC) - Ward No.3,Kandhamal(Phulbani),Kandhamal,13,G.Udayagiri (NAC),,,
83,83 G. Udayagiri (ST),G.Udayagiri (NAC),G. Udayagiri (NAC) - Ward No.4,Kandhamal(Phulbani),Kandhamal,13,G.Udayagiri (NAC),,,
83,83 G. Udayagiri (ST),G.Udayagiri (NAC),G. Udayagiri (NAC) - Ward No.5,Kandhamal(Phulbani),Kandhamal,13,G.Udayagiri (NAC),,,
83,83 G. Udayagiri (ST),G.Udayagiri (NAC),G. Udayagiri (NAC) - Ward No.6,Kandhamal(Phulbani),Kandhamal,13,G.Udayagiri (NAC),,,
83,83 G. Udayagiri (ST),G.Udayagiri (NAC),G. Udayagiri (NAC) - Ward No.7,Kandhamal(Phulbani),Kandhamal,13,G.Udayagiri (NAC),,,
83,83 G. Udayagiri (ST),G.Udayagiri (NAC),G. Udayagiri (NAC) - Ward No.8,Kandhamal(Phulbani),Kandhamal,13,G.Udayagiri (NAC),,,
83,83 G. Udayagiri (ST),G.Udayagiri (NAC),G. Udayagiri (NAC) - Ward No.9,Kandhamal(Phulbani),Kandhamal,13,G.Udayagiri (NAC),,,
84,84 Phulbani (ST),Phulbani (NAC),Phulabani (M) - Ward No.1,Kandhamal(Phulbani),Kandhamal,13,Phulbani (NAC),,,
84,84 Phulbani (ST),Phulbani (NAC),Phulabani (M) - Ward No.10,Kandhamal(Phulbani),Kandhamal,13,Phulbani (NAC),,,
84,84 Phulbani (ST),Phulbani (NAC),Phulabani (M) - Ward No.11,Kandhamal(Phulbani),Kandhamal,13,Phulbani (NAC),,,
84,84 Phulbani (ST),Phulbani (NAC),Phulabani (M) - Ward No.12,Kandhamal(Phulbani),Kandhamal,13,Phulbani (NAC),,,
84,84 Phulbani (ST),Phulbani (NAC),Phulabani (M) - Ward No.13,Kandhamal(Phulbani),Kandhamal,13,Phulbani (NAC),,,
84,84 Phulbani (ST),Phulbani (NAC),Phulabani (M) - Ward No.2,Kandhamal(Phulbani),Kandhamal,13,Phulbani (NAC),,,
84,84 Phulbani (ST),Phulbani (NAC),Phulabani (M) - Ward No.3,Kandhamal(Phulbani),Kandhamal,13,Phulbani (NAC),,,
84,84 Phulbani (ST),Phulbani (NAC),Phulabani (M) - Ward No.4,Kandhamal(Phulbani),Kandhamal,13,Phulbani (NAC),,,
84,84 Phulbani (ST),Phulbani (NAC),Phulabani (M) - Ward No.5,Kandhamal(Phulbani),Kandhamal,13,Phulbani (NAC),,,
84,84 Phulbani (ST),Phulbani (NAC),Phulabani (M) - Ward No.6,Kandhamal(Phulbani),Kandhamal,13,Phulbani (NAC),,,
84,84 Phulbani (ST),Phulbani (NAC),Phulabani (M) - Ward No.7,Kandhamal(Phulbani),Kandhamal,13,Phulbani (NAC),,,
84,84 Phulbani (ST),Phulbani (NAC),Phulabani (M) - Ward No.8,Kandhamal(Phulbani),Kandhamal,13,Phulbani (NAC),,,
84,84 Phulbani (ST),Phulbani (NAC),Phulabani (M) - Ward No.9,Kandhamal(Phulbani),Kandhamal,13,Phulbani (NAC),,,
86,86 Boudh,Boudhgarh (NAC),Boudhgarh (NAC) - Ward No.1,Boudh,Kandhamal,13,Boudhgarh (NAC),,,
86,86 Boudh,Boudhgarh (NAC),Boudhgarh (NAC) - Ward No.10,Boudh,Kandhamal,13,Boudhgarh (NAC),,,
86,86 Boudh,Boudhgarh (NAC),Boudhgarh (NAC) - Ward No.11,Boudh,Kandhamal,13,Boudhgarh (NAC),,,
86,86 Boudh,Boudhgarh (NAC),Boudhgarh (NAC) - Ward No.12,Boudh,Kandhamal,13,Boudhgarh (NAC),,,
86,86 Boudh,Boudhgarh (NAC),Boudhgarh (NAC) - Ward No.13,Boudh,Kandhamal,13,Boudhgarh (NAC),,,
86,86 Boudh,Boudhgarh (NAC),Boudhgarh (NAC) - Ward No.14,Boudh,Kandhamal,13,Boudhgarh (NAC),,,
86,86 Boudh,Boudhgarh (NAC),Boudhgarh (NAC) - Ward No.15,Boudh,Kandhamal,13,Boudhgarh (NAC),,,
86,86 Boudh,Boudhgarh (NAC),Boudhgarh (NAC) - Ward No.16,Boudh,Kandhamal,13,Boudhgarh (NAC),,,
86,86 Boudh,Boudhgarh (NAC),Boudhgarh (NAC) - Ward No.17,Boudh,Kandhamal,13,Boudhgarh (NAC),,,
86,86 Boudh,Boudhgarh (NAC),Boudhgarh (NAC) - Ward No.2,Boudh,Kandhamal,13,Boudhgarh (NAC),,,
86,86 Boudh,Boudhgarh (NAC),Boudhgarh (NAC) - Ward No.3,Boudh,Kandhamal,13,Boudhgarh (NAC),,,
86,86 Boudh,Boudhgarh (NAC),Boudhgarh (NAC) - Ward No.4,Boudh,Kandhamal,13,Boudhgarh (NAC),,,
86,86 Boudh,Boudhgarh (NAC),Boudhgarh (NAC) - Ward No.5,Boudh,Kandhamal,13,Boudhgarh (NAC),,,
86,86 Boudh,Boudhgarh (NAC),Boudhgarh (NAC) - Ward No.6,Boudh,Kandhamal,13,Boudhgarh (NAC),,,
86,86 Boudh,Boudhgarh (NAC),Boudhgarh (NAC) - Ward No.7,Boudh,Kandhamal,13,Boudhgarh (NAC),,,
86,86 Boudh,Boudhgarh (NAC),Boudhgarh (NAC) - Ward No.8,Boudh,Kandhamal,13,Boudhgarh (NAC),,,
86,86 Boudh,Boudhgarh (NAC),Boudhgarh (NAC) - Ward No.9,Boudh,Kandhamal,13,Boudhgarh (NAC),,,
121,121 Daspalla (SC),Dasapalla (NAC),Dasapalla (NAC) - Ward No.1,Nayagarh,Kandhamal,13,Dasapalla (NAC),,,
121,121 Daspalla (SC),Dasapalla (NAC),Dasapalla (NAC) - Ward No.10,Nayagarh,Kandhamal,13,Dasapalla (NAC),,,
121,121 Daspalla (SC),Dasapalla (NAC),Dasapalla (NAC) - Ward No.11,Nayagarh,Kandhamal,13,Dasapalla (NAC),,,
121,121 Daspalla (SC),Dasapalla (NAC),Dasapalla (NAC) - Ward No.12,Nayagarh,Kandhamal,13,Dasapalla (NAC),,,
121,121 Daspalla (SC),Dasapalla (NAC),Dasapalla (NAC) - Ward No.13,Nayagarh,Kandhamal,13,Dasapalla (NAC),,,
121,121 Daspalla (SC),Dasapalla (NAC),Dasapalla (NAC) - Ward No.14,Nayagarh,Kandhamal,13,Dasapalla (NAC),,,
121,121 Daspalla (SC),Dasapalla (NAC),Dasapalla (NAC) - Ward No.15,Nayagarh,Kandhamal,13,Dasapalla (NAC),,,
121,121 Daspalla (SC),Dasapalla (NAC),Dasapalla (NAC) - Ward No.16,Nayagarh,Kandhamal,13,Dasapalla (NAC),,,
121,121 Daspalla (SC),Dasapalla (NAC),Dasapalla (NAC) - Ward No.2,Nayagarh,Kandhamal,13,Dasapalla (NAC),,,
121,121 Daspalla (SC),Dasapalla (NAC),Dasapalla (NAC) - Ward No.3,Nayagarh,Kandhamal,13,Dasapalla (NAC),,,
121,121 Daspalla (SC),Dasapalla (NAC),Dasapalla (NAC) - Ward No.4,Nayagarh,Kandhamal,13,Dasapalla (NAC),,,
121,121 Daspalla (SC),Dasapalla (NAC),Dasapalla (NAC) - Ward No.5,Nayagarh,Kandhamal,13,Dasapalla (NAC),,,
121,121 Daspalla (SC),Dasapalla (NAC),Dasapalla (NAC) - Ward No.6,Nayagarh,Kandhamal,13,Dasapalla (NAC),,,
121,121 Daspalla (SC),Dasapalla (NAC),Dasapalla (NAC) - Ward No.7,Nayagarh,Kandhamal,13,Dasapalla (NAC),,,
