SL NO. for AC,AC,Blocks,Gram Panchayats,Notified Area Council (NAC),Municipality (M),Municipal Corporation (MC),Outgrowth (OG),Wards of ULBs,District,Sl. No. of PCs,PCs,REMARKS
2,2 Bijepur,Bijepur,BIJEPUR,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Bijepur,BUDAPALI,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Bijepur,CHARPALI (NEW),,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Bijepur,GANTHIAPALI,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Bijepur,JARING,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Bijepur,JOKHIPALI,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Bijepur,KHARMUNDA,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Bijepur,LAUMUNDA,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Bijepur,M.SRIGIDA,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Bijepur,PADA,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Bijepur,PAHANDI,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Bijepur,PATHARLA,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Bijepur,SAIPALI,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Bijepur,SAMALEIPADAR,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Bijepur,SANBAUSEN,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Bijepur,SURUBALI,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Bijepur,T.GANDPALI,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Bijepur,TALPADAR,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Barpali,Patkulunda,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Barpali,Agalpur,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Barpali,Bandhpali,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Barpali,Barguda,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Barpali,Bhatigaon,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Barpali,Gopeipali,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Barpali,Kainsir,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Barpali,Khemasara,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Barpali,Mahada,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Barpali,Raxa,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Barpali,Remta,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Barpali,Satalama,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Barpali,Tileimal,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Barpali,Kumbhari,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Barpali,Tinkani,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Barpali,Tulandi,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,,,Barpali (NAC),,,,Barapali (NAC) - Ward No.1,Baragarh,1,Bargarh,
2,2 Bijepur,,,Barpali (NAC),,,,Barapali (NAC) - Ward No.10,Baragarh,1,Bargarh,
2,2 Bijepur,,,Barpali (NAC),,,,Barapali (NAC) - Ward No.11,Baragarh,1,Bargarh,
2,2 Bijepur,,,Barpali (NAC),,,,Barapali (NAC) - Ward No.2,Baragarh,1,Bargarh,
2,2 Bijepur,,,Barpali (NAC),,,,Barapali (NAC) - Ward No.3,Baragarh,1,Bargarh,
2,2 Bijepur,,,Barpali (NAC),,,,Barapali (NAC) - Ward No.4,Baragarh,1,Bargarh,
2,2 Bijepur,,,Barpali (NAC),,,,Barapali (NAC) - Ward No.5,Baragarh,1,Bargarh,
2,2 Bijepur,,,Barpali (NAC),,,,Barapali (NAC) - Ward No.6,Baragarh,1,Bargarh,
2,2 Bijepur,,,Barpali (NAC),,,,Barapali (NAC) - Ward No.7,Baragarh,1,Bargarh,
2,2 Bijepur,,,Barpali (NAC),,,,Barapali (NAC) - Ward No.8,Baragarh,1,Bargarh,
2,2 Bijepur,,,Barpali (NAC),,,,Barapali (NAC) - Ward No.9,Baragarh,1,Bargarh,
3,3 Bargarh,Barpali,Bagbadi,,,,,,Baragarh,1,Bargarh,AC consists of one Complete block of Bargarh and parts of Barpali block and Bargarh municipality.
3,3 Bargarh,Barpali,Baramkela,,,,,,Baragarh,1,Bargarh,
